x1,x2,x3,x4
0.00046588,0.0,0.0003255,0.0
0.00065086,0.0,0.00093427,0.0
0.00127179,0.0,0.0036027,0.0
0.00329635,0.0,0.01325294,0.0
0.00752841,0.0,0.04625903,0.0
0.01416487,0.0,0.09210154,2.83e-6
0.05657206,3.0e-7,0.16441555,0.00049272
0.14441006,0.00118508,0.24408681,0.00811856
0.23608838,0.03137782,0.33535886,0.03761943
0.31642025,0.07655718,0.41679103,0.09423451
0.38562538,0.11600874,0.48496039,0.16899889
0.43137527,0.13835354,0.509362,0.2240686
0.43198711,0.14285868,0.52124471,0.25248251
0.41900465,0.1277434,0.49552873,0.24355108
0.356408,0.08868641,0.45324133,0.18671454
0.28813948,0.03572006,0.39347146,0.12382819
0.19940005,0.00199226,0.32048506,0.06419052
0.11042513,2.156e-5,0.23342369,0.0174028
0.03614507,0.0,0.14665257,0.00031029
0.0134638,0.0,0.08885074,0.0
0.00746905,0.0,0.04300344,0.0
0.00161827,0.0,0.00581137,0.0
0.00038752,0.0,0.00068229,0.0
0.00017239,0.0,0.00026366,0.0
0.00025806,0.0,0.00038428,0.0
0.00050849,0.0,0.00129489,0.0
0.00096747,0.0,0.00429608,0.0
0.00305507,0.0,0.01514884,0.0
0.0109032,0.0,0.05697978,0.0
0.02076934,0.0,0.11125648,6.3e-6
0.05262212,1.36e-6,0.19723513,0.00091155
0.11482676,0.00158054,0.30255974,0.01764987
0.1792129,0.03541425,0.4053985,0.06099944
0.23558645,0.08755867,0.49372235,0.13430373
0.27504849,0.13947167,0.55260039,0.22374098
0.30333769,0.17609227,0.57770247,0.29243053
0.2909244,0.17162889,0.58432974,0.31464865
0.27615405,0.15214234,0.55734038,0.29116436
0.2359411,0.10118387,0.50437622,0.22093058
0.19298687,0.05067244,0.4328946,0.13716489
0.1332528,0.00572041,0.34960705,0.06379483
0.07301455,9.61e-6,0.26058036,0.0163566
0.02881858,0.0,0.16438345,0.00026609
0.01779729,0.0,0.09463257,0.0
0.01241406,0.0,0.04544783,0.0
0.00201022,0.0,0.00689867,0.0
0.00036739,0.0,0.00089554,0.0
0.00017784,0.0,0.00030745,0.0
0.00029016,0.0,0.00040253,0.0
0.00043576,0.0,0.00121265,0.0
0.00096785,0.0,0.00461718,0.0
0.00545187,0.0,0.01715487,0.0
0.01536365,0.0,0.05955161,0.0
0.02346332,0.0,0.10638076,7.31e-6
0.05232465,7.6e-7,0.18800892,0.0006314
0.11463134,0.00064758,0.29111341,0.01302659
0.18621869,0.01970962,0.39953679,0.04912829
0.25751178,0.05162699,0.4877027,0.10181332
0.31156552,0.08186001,0.54438005,0.17314412
0.36543157,0.10630194,0.57112007,0.23172707
0.36950376,0.1040572,0.5638095,0.24739144
0.35523643,0.09069197,0.52873792,0.22822383
0.305195,0.06345726,0.47580922,0.17634913
0.23491558,0.03205139,0.40752783,0.11750763
0.16659943,0.00531089,0.33066083,0.05875649
0.07760005,9.48e-6,0.24231863,0.00964499
0.03076085,0.0,0.15160416,0.00021978
0.01274296,0.0,0.08660641,0.0
0.00967481,0.0,0.04273875,0.0
0.00208548,0.0,0.00626194,0.0
0.00016367,0.0,0.0008219,0.0
6.381e-5,0.0,0.00032201,0.0
6.519e-5,0.0,0.00049157,0.0
0.0001154,0.0,0.00144961,0.0
0.00040954,0.0,0.00486963,0.0
0.00305647,0.0,0.01732715,0.0
0.00995468,0.0,0.05663061,0.0
0.01548904,0.0,0.10271192,1.938e-5
0.04932877,3.1e-7,0.18091374,0.0018357
0.11452501,0.00147222,0.27689028,0.0206139
0.18134759,0.03651295,0.3779913,0.06589126
0.2376882,0.08281896,0.46615772,0.12246769
0.28446129,0.11921632,0.52438106,0.19489005
0.31459831,0.1402973,0.54820844,0.25011213
0.31019409,0.13537153,0.54526001,0.27082742
0.29065104,0.11482515,0.52597919,0.24715371
0.25492275,0.08384365,0.47854958,0.19586417
0.19439812,0.04352122,0.4129599,0.13072696
0.13246745,0.00678138,0.33951966,0.07352479
0.06985184,6.14e-6,0.24762075,0.01765151
0.0301163,0.0,0.15465128,0.00041566
0.01698289,0.0,0.08571028,0.0
0.01099654,0.0,0.04270856,0.0
0.00166072,0.0,0.00563718,0.0
0.00015632,0.0,0.00087011,0.0
7.662e-5,0.0,0.00036886,0.0
9.224e-5,0.0,0.00055444,0.0
0.00024841,0.0,0.00142861,0.0
0.00051609,0.0,0.00444954,0.0
0.0021517,0.0,0.0156001,0.0
0.00761657,0.0,0.05502149,1.0e-8
0.01127706,0.0,0.10034216,2.19e-5
0.04062475,9.0e-8,0.18050874,0.00152178
0.11660989,0.00065332,0.27639196,0.02241584
0.21268869,0.01805508,0.37405079,0.06720221
0.3026209,0.04995338,0.46321308,0.13204579
0.36373644,0.0786597,0.5195896,0.22356715
0.39747842,0.11043155,0.55101269,0.28204403
0.40634306,0.11823967,0.55464531,0.29843138
0.37921417,0.09954709,0.53207422,0.27203652
0.32354065,0.06747569,0.48522592,0.20409213
0.25749295,0.02383852,0.4155325,0.12085255
0.16434756,0.0014367,0.33811596,0.05644345
0.07880629,1.86e-6,0.2483058,0.01883917
0.0284041,0.0,0.15506214,0.00044621
0.01197975,0.0,0.08600917,0.0
0.00815775,0.0,0.04245097,0.0
0.00111517,0.0,0.00502183,0.0
7.369e-5,0.0,0.00056305,0.0
3.596e-5,0.0,0.00023732,0.0
4.356e-5,0.0,0.00035022,0.0
6.56e-5,0.0,0.00104309,0.0
0.00016578,0.0,0.00348515,0.0
0.00158067,0.0,0.01466747,0.0
0.00535209,0.0,0.05618194,3.0e-8
0.01073984,0.0,0.10552684,3.536e-5
0.0343687,1.3e-7,0.19380442,0.00180113
0.08967923,0.00053346,0.29894206,0.01799609
0.14329267,0.02354434,0.40300154,0.05684769
0.19646676,0.07189225,0.48439355,0.1204414
0.25372599,0.12076716,0.55151651,0.20210224
