x1,x2,x3,x4
0.00020194,-0.0,0.00018254,0.0
0.0004701,-0.0,0.0011558,0.0
0.00088886,-0.0,0.009198,0.0
0.00268168,-0.0,0.02978837,0.0
0.00691813,-0.0,0.0656936,0.0
0.01646653,-0.0,0.12316774,1.29e-6
0.07359841,6.327e-5,0.21680921,0.00158293
0.15137476,0.01306322,0.31171141,0.01504051
0.23819461,0.05798819,0.40181038,0.05446863
0.3035904,0.1086929,0.47834813,0.11196094
0.33836714,0.14679096,0.53099374,0.17152789
0.37094533,0.16634479,0.55456444,0.21175992
0.37826141,0.15612904,0.55703344,0.21734349
0.35256235,0.12368354,0.52255555,0.183098
0.32848897,0.07357222,0.46716642,0.12589323
0.26243082,0.02952635,0.39291492,0.07288917
0.16595325,0.00232709,0.30606205,0.02918764
0.07389065,8.0e-8,0.21834546,0.00452296
0.01759292,-0.0,0.12877809,1.446e-5
0.01096514,-0.0,0.07694475,0.0
0.00744442,-0.0,0.03377822,0.0
0.00220195,-0.0,0.00651896,0.0
0.00048365,-0.0,0.00066748,0.0
0.00020375,-0.0,0.00015362,0.0
0.0003188,-0.0,0.00023805,0.0
0.00132193,-0.0,0.00152706,0.0
0.00475723,-0.0,0.01062219,0.0
0.00708504,-0.0,0.03291214,0.0
0.01063883,-0.0,0.0773,0.0
0.02058763,-0.0,0.13474371,3.9e-6
0.07096948,3.676e-5,0.23476271,0.00289565
0.14763236,0.008661,0.34351582,0.02359409
0.23590773,0.04587888,0.4453029,0.05909479
0.31163357,0.08602572,0.5329967,0.11091282
0.35084028,0.11882827,0.58340026,0.16562026
0.36566259,0.14150549,0.5910907,0.20027029
0.37568229,0.13713422,0.57482824,0.1996264
0.34014339,0.11168661,0.54348558,0.17547999
0.28001618,0.07066002,0.48840937,0.12489435
0.2200111,0.03161631,0.40583393,0.0753586
0.13558369,0.00153413,0.31828638,0.03129823
0.06291165,-0.0,0.22640578,0.00476831
0.01828003,-0.0,0.13527868,2.029e-5
0.01159576,-0.0,0.07984568,0.0
0.0058852,-0.0,0.03596259,0.0
0.0008612,-0.0,0.00752318,0.0
0.00018639,-0.0,0.00083439,0.0
6.666e-5,-0.0,0.00018126,0.0
8.972e-5,-0.0,0.00025988,0.0
0.00031573,-0.0,0.00158954,0.0
0.00194771,-0.0,0.01053487,0.0
0.00839005,-0.0,0.03518126,0.0
0.01627851,-0.0,0.08265626,0.0
0.02709095,-0.0,0.14245895,6.91e-6
0.06539165,2.597e-5,0.24200581,0.00237101
0.13821249,0.00578734,0.34544715,0.02050217
0.21477839,0.03260924,0.44436243,0.06258195
0.28729651,0.06921774,0.53062008,0.1253741
0.31951864,0.11848924,0.57458227,0.18976438
0.35274093,0.14320542,0.59413306,0.22745557
0.34639334,0.14182985,0.57386794,0.2277933
0.31522691,0.11390128,0.53332229,0.19510056
0.26930325,0.07089838,0.46716224,0.14018108
0.20684158,0.0267674,0.38638231,0.08448002
0.12965782,0.00096019,0.30283745,0.03714551
0.0573873,-0.0,0.2147975,0.00519383
0.02211994,-0.0,0.1245237,2.715e-5
0.0122967,-0.0,0.07086676,0.0
0.00803641,-0.0,0.03019049,0.0
0.00319131,-0.0,0.00527168,0.0
0.00039335,-0.0,0.00056592,0.0
0.00013758,-0.0,0.00013127,0.0
0.00020259,0.0,0.00020423,0.0
0.00093216,0.0,0.00120067,0.0
0.00364864,0.0,0.007532,0.0
0.00858698,0.0,0.02964584,0.0
0.01348982,0.0,0.06916035,0.0
0.022699,0.0,0.12202752,1.597e-5
0.07016462,1.421e-5,0.21668421,0.00527728
0.15481658,0.00640787,0.31252419,0.02707799
0.24544647,0.04977835,0.40378769,0.07338142
0.31515012,0.10216645,0.48089507,0.13301045
0.37277715,0.14556494,0.53356509,0.19182541
0.39487676,0.16502323,0.54834537,0.22476092
0.37614705,0.16213788,0.53894318,0.22324919
0.34248946,0.12887356,0.5071166,0.2007347
0.29792304,0.07703987,0.45104851,0.15894128
0.21121884,0.02947489,0.3777127,0.1025163
0.11325136,0.00126722,0.29883153,0.05005253
0.04685507,0.0,0.21011033,0.0092827
0.01788239,0.0,0.12274899,4.836e-5
0.012146,0.0,0.06942673,0.0
0.0075082,0.0,0.02905725,0.0
0.00150651,0.0,0.00596537,0.0
0.00024745,0.0,0.00063274,0.0
0.00010255,0.0,0.00013607,0.0
0.00012532,0.0,0.000198,0.0
0.0003656,0.0,0.00116624,0.0
0.00148443,0.0,0.0076208,0.0
0.00458209,0.0,0.02893397,0.0
0.00968998,0.0,0.07050734,0.0
0.01574973,0.0,0.12614814,2.856e-5
0.05905795,1.725e-5,0.2174058,0.0040011
0.13556607,0.00601189,0.3063264,0.03101577
0.22563969,0.03573209,0.40180044,0.07389867
0.31479132,0.07201639,0.47995478,0.13309266
0.38165387,0.09946723,0.53358471,0.2009771
0.42240505,0.12161576,0.5499253,0.23876704
0.41305827,0.12073268,0.54121306,0.23702196
0.39040338,0.09448096,0.50754097,0.20276596
0.32296682,0.05522492,0.44937148,0.14773603
0.25107308,0.01424253,0.38516784,0.08555408
0.1481597,0.00049257,0.30017024,0.03788745
0.0558194,0.0,0.20548886,0.00722823
0.01460484,0.0,0.11868917,4.939e-5
0.00564239,0.0,0.06557757,0.0
0.00201576,0.0,0.02657193,0.0
0.00045487,0.0,0.00435473,0.0
0.00013446,0.0,0.00049635,0.0
4.295e-5,0.0,0.00013398,0.0
5.502e-5,0.0,0.0002173,0.0
0.00012534,0.0,0.0013529,0.0
0.00039869,0.0,0.00842945,0.0
0.0024497,0.0,0.0293473,0.0
0.00735789,0.0,0.07033275,0.0
0.01902753,0.0,0.12658067,3.595e-5
0.05526682,7.28e-6,0.22567354,0.00313464
0.1348483,0.00280646,0.32727434,0.02157735
0.21383687,0.02803017,0.42711064,0.05510825
0.29415308,0.06978244,0.49978493,0.10043946
0.3470645,0.11116094,0.55725161,0.15792817
0.3553974,0.1405298,0.56229737,0.19779864
0.32748304,0.140503,0.55028227,0.20396412
0.29679446,0.10807506,0.50668222,0.17731321
0.26460637,0.06050058,0.44849082,0.1297923
0.19799626,0.02045012,0.37539873,0.07414349
0.1151793,0.00057413,0.29122971,0.03099176
0.05216914,0.0,0.20451603,0.00807527
0.01859383,0.0,0.12165289,7.596e-5
0.01020056,0.0,0.06876789,0.0
0.00521528,0.0,0.03137501,0.0
0.00114994,0.0,0.00645078,0.0
0.00021916,0.0,0.0006774,0.0
8.513e-5,0.0,0.00015405,0.0
0.00014052,0.0,0.0002314,0.0
0.00053439,0.0,0.0014945,0.0
0.00255268,0.0,0.01024953,0.0
0.00854347,0.0,0.03259109,0.0
0.01285253,0.0,0.07042108,0.0
0.02944017,0.0,0.1231961,6.845e-5
0.08516263,6.57e-6,0.21001122,0.00617907
0.19180421,0.00335887,0.30523026,0.02927022
0.29847436,0.03524665,0.39837757,0.07140695
0.38673154,0.06790868,0.47643965,0.13796825
