x1,x2,x3,x4
0.60534591,0.52772832,0.40354326,0.5292755
0.60223602,0.52233022,0.41019684,0.5228601
0.59573331,0.51811443,0.4182598,0.51783013
0.57321908,0.52915249,0.42146262,0.5137405
0.55459914,0.54730942,0.42167084,0.51651737
0.54798633,0.55827427,0.42024306,0.51941483
0.54987186,0.56496105,0.40987889,0.52190235
0.5399823,0.57212373,0.39935789,0.51971736
0.53192449,0.57621983,0.39370261,0.51192408
0.5316613,0.57434194,0.38988068,0.50626413
0.50791194,0.56481369,0.36436613,0.48470692
0.5149971,0.56508382,0.36947329,0.48352884
0.52207991,0.57154524,0.37433877,0.48173312
0.53211155,0.58650196,0.37987963,0.48111605
0.5333545,0.59489051,0.37989043,0.48347685
0.5345056,0.59565921,0.37952992,0.49021298
0.52308719,0.6014497,0.37624422,0.49407531
0.52162697,0.60802675,0.37201604,0.500653
0.51697007,0.60907205,0.36992458,0.50760371
0.51911734,0.60970306,0.36867323,0.51169884
0.5293332,0.6135646,0.36875716,0.51368414
0.53358357,0.61955828,0.36827907,0.51112175
0.57606035,0.63177537,0.36333392,0.50788919
0.58388462,0.63542747,0.34619451,0.50818562
0.58804412,0.63812994,0.33202012,0.50576194
0.59140931,0.63799157,0.32136648,0.50484321
0.61016268,0.64328305,0.31465302,0.50498819
0.62351144,0.64349379,0.31439018,0.50357014
0.62557482,0.64330819,0.31582996,0.50816307
0.6370489,0.64327329,0.31154275,0.51575911
0.65845899,0.64088682,0.30111591,0.52609553
0.6747854,0.63928172,0.28583928,0.53260644
0.68990784,0.64057042,0.28011458,0.53692579
0.70464348,0.63608991,0.27673265,0.53733095
0.68556992,0.63757186,0.25892519,0.52127347
0.70497225,0.63106346,0.26272112,0.51286116
0.71625973,0.62519436,0.26727679,0.50405023
0.73198467,0.61581285,0.2726862,0.50335943
0.7467816,0.60981134,0.27920931,0.50665585
0.75571643,0.60772041,0.28564242,0.50821676
0.76027206,0.60472801,0.28940034,0.5156814
0.76349895,0.60646013,0.29769929,0.52439005
0.76556055,0.61056165,0.30581143,0.52659828
0.75873335,0.61156995,0.31986646,0.52619929
0.75108642,0.61651329,0.33481154,0.52585623
0.74231178,0.61997601,0.3444915,0.52610683
0.73967582,0.6259837,0.36477643,0.5174469
0.72820357,0.62325594,0.36440966,0.51421836
0.70804602,0.62487295,0.35896766,0.51453068
0.68118985,0.62786424,0.35523495,0.51643945
0.65456929,0.62862586,0.35196233,0.51810704
0.63921952,0.62517796,0.34783468,0.52064966
0.63578496,0.62214058,0.3431224,0.52396285
0.63987574,0.6184781,0.33667653,0.52690521
0.64489857,0.60387438,0.32022628,0.53142181
0.65460052,0.59033902,0.30482068,0.53879378
0.67853559,0.57162173,0.30376138,0.54298098
0.68977854,0.55092288,0.30775032,0.54783449
0.66709189,0.50317019,0.3001621,0.53062724
0.65572641,0.4898359,0.31841806,0.52956311
0.64371375,0.48004519,0.33731426,0.52758477
0.63749263,0.46640748,0.35479813,0.5239447
0.64143239,0.44953516,0.37186614,0.52502475
0.64890902,0.43518556,0.38420494,0.53442658
0.65489345,0.42705754,0.39065341,0.54713272
0.66152219,0.41986456,0.3938373,0.55785554
0.67460266,0.42983717,0.40067867,0.56782303
0.68874467,0.44713328,0.40917077,0.57021296
0.70210753,0.45856614,0.41465151,0.56797685
0.70417761,0.46759308,0.4099879,0.5587783
0.69458322,0.48067692,0.40689707,0.54051309
0.67905085,0.48553505,0.39433978,0.53761016
0.65781642,0.49463148,0.37704443,0.5391182
0.63430278,0.50817448,0.35977304,0.53907764
0.61117297,0.52235307,0.34783792,0.54139745
0.58980563,0.53444457,0.33902918,0.542849
0.57713494,0.54701317,0.33524454,0.54608662
0.57119878,0.55976105,0.33539605,0.54679623
0.57265362,0.56117249,0.33118756,0.54548297
0.57998269,0.56114973,0.33169,0.53999251
0.60269314,0.56081934,0.3382282,0.53771163
0.62263104,0.56323203,0.34768808,0.53080157
0.63173897,0.52890842,0.33973197,0.51121234
0.65884262,0.5215944,0.35168402,0.50855988
0.68052334,0.50847257,0.36225255,0.50325187
0.69915324,0.49573895,0.37259987,0.50393454
0.71442209,0.49118933,0.3813873,0.5063898
0.71901491,0.4953679,0.39197369,0.5127325
0.71727166,0.4999952,0.39786035,0.51350768
0.71575937,0.50257178,0.40502703,0.51886156
0.71001776,0.50613189,0.41918919,0.52093823
0.70623073,0.49875248,0.43591974,0.5195934
0.71574047,0.48443584,0.45041746,0.51250599
0.73279015,0.46937012,0.45960705,0.50314807
0.76018295,0.44481673,0.45682411,0.48045646
0.77053247,0.44514544,0.45617905,0.47667965
0.77050646,0.43967612,0.45122827,0.46994326
0.76422829,0.42467421,0.44158094,0.46282904
0.75902697,0.39711104,0.43095675,0.45417112
0.75543973,0.38451416,0.4239789,0.45253053
0.7511829,0.36843723,0.41669115,0.45216744
0.7410501,0.35437072,0.40324845,0.45392997
0.72459438,0.35574516,0.38861123,0.46137711
0.69635655,0.35873421,0.37959096,0.47086603
0.67996239,0.36014676,0.36424647,0.4755267
0.66448561,0.36378307,0.35480824,0.47809749
0.6356163,0.38232798,0.33368643,0.47537092
0.63130036,0.39553348,0.33543735,0.47616784
0.62096687,0.40861331,0.33674031,0.47939949
0.61391255,0.4261546,0.34443811,0.47368828
0.5979704,0.4494659,0.35513584,0.46990436
0.59863823,0.46552821,0.36391701,0.4697989
0.59476471,0.4865723,0.36610936,0.47024185
0.59629622,0.50303309,0.36267916,0.47283758
0.6069032,0.51257851,0.35549833,0.47571628
0.61873901,0.52098553,0.35395917,0.47866649
0.62966783,0.52769545,0.35142215,0.47928574
0.64256112,0.53689982,0.34122345,0.47589397
0.6697123,0.54758729,0.33884585,0.4554444
0.66852407,0.54486865,0.32768693,0.4415893
0.65514681,0.53897666,0.31358822,0.43092984
0.64016294,0.53019986,0.30582642,0.42005771
0.63091137,0.52893794,0.30473978,0.40825033
0.62387463,0.52831487,0.30784299,0.40175117
0.6156579,0.52465059,0.31160031,0.39986686
0.60763446,0.53164343,0.31034351,0.39853877
0.60737043,0.54199237,0.30197329,0.39952234
0.60786798,0.55231035,0.29748098,0.40714001
0.60659389,0.55546492,0.29565541,0.41193333
0.61873825,0.55963342,0.29768568,0.41761287
0.61148871,0.53374895,0.27685342,0.4218865
0.60432676,0.53195151,0.28639077,0.4234638
0.59805051,0.53052705,0.30133283,0.42318957
0.5933397,0.52565289,0.31269643,0.4230589
0.59613479,0.5274225,0.32232221,0.42234897
0.59582903,0.5375265,0.33211396,0.42794048
0.59637515,0.54863065,0.33308948,0.44254319
0.60211552,0.54835293,0.32783172,0.46395572
0.60998527,0.53389701,0.32048352,0.48208229
0.61533963,0.51824,0.3196715,0.49688905
0.62190342,0.5089538,0.32069582,0.50180975
0.62165983,0.50750804,0.31897506,0.50266142
0.61611388,0.50589376,0.3196988,0.49087046
0.60608266,0.50494306,0.31749404,0.48964953
0.59374626,0.49402088,0.31318111,0.49166334
0.5830532,0.48312801,0.3066707,0.49094424
0.57109551,0.47017482,0.29930813,0.49329756
0.55926127,0.46747277,0.29210345,0.49595588
0.54543768,0.46556207,0.28668223,0.50689494
0.53966802,0.4752244,0.27608774,0.51940179
0.52909558,0.49286327,0.26046667,0.5318067
0.51035647,0.5133904,0.25470727,0.5413477
0.49441881,0.53193219,0.25505312,0.55377263
0.48697478,0.54438632,0.25519789,0.56116289
0.46740592,0.55734463,0.24871153,0.54815697
0.4588169,0.56419673,0.26103158,0.54460761
0.44925748,0.5803073,0.27529929,0.53924935
0.45136705,0.58912461,0.28746557,0.52548343
0.44992267,0.58833652,0.29339867,0.51132296
0.44990556,0.60018487,0.30048647,0.50645528
0.44787836,0.61125838,0.30999284,0.51118522
0.46025792,0.61173879,0.32265656,0.5227691
0.48699314,0.6074519,0.33586297,0.53090825
0.51262575,0.60434377,0.35202383,0.52905094
0.53332314,0.59658346,0.3696284,0.51934111
0.54155433,0.58539512,0.38445993,0.50541746
0.54841355,0.56464438,0.41358769,0.4748381
0.54602409,0.56433613,0.42812026,0.46716262
