x1,x2,x3,x4
0.408445,0.56332357,0.31064004,0.38541728
0.40884305,0.57374839,0.30429491,0.3876272
0.41719168,0.57846281,0.30012756,0.3930344
0.42781208,0.58399373,0.29726729,0.39815311
0.44323717,0.58594826,0.28970558,0.40303698
0.45864735,0.58429527,0.27856118,0.40042791
0.46776272,0.58524549,0.26968361,0.39914734
0.47707288,0.58216034,0.26773668,0.39447762
0.49146784,0.57281273,0.2751141,0.39076464
0.50205431,0.56676363,0.28539455,0.38659323
0.46513647,0.53262381,0.27110622,0.37121906
0.48880139,0.53757865,0.28841387,0.374266
0.51329266,0.53707916,0.30419173,0.37719521
0.53094164,0.54048209,0.31661965,0.38182626
0.54072569,0.54455825,0.32316288,0.39497834
0.54737925,0.54888389,0.32415714,0.41061552
0.55486938,0.55216627,0.32611949,0.42611167
0.5600788,0.54825611,0.33246754,0.43922355
0.55976975,0.54612054,0.34312166,0.44147587
0.55855769,0.54163404,0.3511545,0.43967589
0.55932858,0.53949074,0.35510941,0.43514285
0.5533431,0.54008528,0.35567671,0.43117159
0.55354318,0.50764616,0.37164887,0.42830109
0.54324588,0.5103083,0.35832814,0.42990023
0.53308573,0.51201359,0.34773803,0.43342491
0.52303957,0.51031723,0.33963648,0.43623609
0.51660565,0.50401373,0.33216333,0.43217971
0.51460903,0.49689357,0.32420374,0.43119162
0.51223912,0.49351453,0.30907131,0.42883634
0.51344936,0.48695525,0.28760304,0.42596463
0.51745852,0.48270682,0.27050669,0.42061759
0.52880436,0.47704224,0.26147706,0.41400303
0.53586477,0.46603249,0.2654502,0.40144469
0.54253652,0.45711268,0.27315707,0.39070778
0.50484876,0.42463361,0.25906735,0.36333455
0.53745052,0.4333508,0.26593591,0.35919816
0.56385768,0.44350182,0.27342798,0.360745
0.57195777,0.44814253,0.27890362,0.36604207
0.5623758,0.45408772,0.28257524,0.36967228
0.54407669,0.45690812,0.28542747,0.37871007
0.53847941,0.45965492,0.28736644,0.38246696
0.53854065,0.45669775,0.2916126,0.38096945
0.54377412,0.45148739,0.29827094,0.37371243
0.54569132,0.44183444,0.30651822,0.3649319
0.5393779,0.43755532,0.31039364,0.35704122
0.53433691,0.43722913,0.30920323,0.35185573
