x1,x2,x3,x4
0.46527046,0.54705328,0.30465127,0.42091549
0.46536414,0.54170818,0.30225858,0.41947828
0.46927047,0.53849566,0.30144178,0.41975866
0.48102922,0.53561355,0.30163129,0.42003348
0.49315202,0.53462084,0.30000878,0.41802024
0.50663601,0.53148366,0.29127843,0.41402716
0.51329847,0.52920293,0.28476128,0.4121854
0.50962992,0.52526349,0.28285384,0.40995988
0.51620832,0.51886362,0.28736252,0.4063253
0.52031102,0.50600939,0.29541027,0.40106951
0.50231675,0.47963935,0.29278965,0.38811673
0.50973766,0.48190498,0.304269,0.38712599
0.51421195,0.48268147,0.31292072,0.38748149
0.51662699,0.48517527,0.32005576,0.39024247
0.51659883,0.48932559,0.3245611,0.39824233
0.51093428,0.49306717,0.32530538,0.40598855
0.50293728,0.49453446,0.3196185,0.41172755
0.49820925,0.49494009,0.31325444,0.41487488
0.49734165,0.49311479,0.31353155,0.41488971
0.49742519,0.48856264,0.31659183,0.41324373
0.49470943,0.48442512,0.31952313,0.41002015
0.48629272,0.47884169,0.31836187,0.40594261
0.49104001,0.46645292,0.32165711,0.40306786
0.47474392,0.46652678,0.31238853,0.40154535
0.46560175,0.46757354,0.30435584,0.40291724
0.45798237,0.46744484,0.2961006,0.40433478
0.45477998,0.46853737,0.2891253,0.40676897
0.45948844,0.47046484,0.28172979,0.40847942
0.46643726,0.4726809,0.27582496,0.40772452
0.47704724,0.47331165,0.26040031,0.40825572
0.48502108,0.47524928,0.24522952,0.40835908
0.48492976,0.4732982,0.23644085,0.40592648
0.48823789,0.46947515,0.23240627,0.39912537
0.50437655,0.46560046,0.23304094,0.39210139
0.48970586,0.44992353,0.22214682,0.38020457
0.52652887,0.45214424,0.23338476,0.37141654
0.55371517,0.45368184,0.24664754,0.36864398
0.56137653,0.4546995,0.25773813,0.36883773
0.56992787,0.45899911,0.26687051,0.37180931
0.57890469,0.46427605,0.27197209,0.37433575
0.58408204,0.46933233,0.27468292,0.37892806
0.58511468,0.4708713,0.27594403,0.38143281
0.58418246,0.46777858,0.28185654,0.37867338
