x1,x2
2142.03363252,2682.10671528
2109.360172,2611.95487357
2061.31096535,2594.65715918
2065.15490188,2619.64274664
2119.93099746,2773.40020792
2531.2322064,3240.43849657
2931.96258987,3743.03319815
3244.2824331,4073.61173991
3398.03989439,4182.20294694
3391.31300546,4197.57869307
3382.66414826,4188.92983587
3338.45887814,4113.9730735
3400.92284679,4167.78818495
3365.36643387,4188.92983587
3326.92706855,4143.76358162
3239.47751244,4246.58888385
3152.98894047,4229.29116946
3101.09579728,4147.60751815
3031.90493971,4011.14777126
2981.93376479,3879.49294504
2936.76751054,3660.38856271
2858.92779576,3329.81002094
2563.90566692,3046.3197017
2322.69864953,2816.64449391
2207.38055357,2707.09230274
2157.40937865,2642.70636583
2167.98020411,2624.4476673
2172.78512478,2637.90144516
2266.96156981,2765.71233486
2743.6096998,3135.69122607
2942.53341533,3545.07046674
3258.6971951,3840.09259558
3393.23497372,3944.83986608
3406.68875159,3994.811041
3374.01529106,3990.00612033
3327.88805268,3935.23002475
3393.23497372,3962.13758048
3366.327418,3936.19100889
3335.57592574,3946.76183435
3247.1653855,4155.29539122
3162.5987818,4198.5396772
3108.78367035,4117.81701003
3039.59281277,4045.74320005
3001.15344745,3910.24443729
2930.0406216,3627.71510218
2839.7081131,3330.77100508
2549.49090493,3060.7344637
2334.23045913,2854.1228751
2202.5756329,2740.7267474
2133.38477532,2673.45785809
2116.08706093,2651.35522303
2092.0624576,2671.53588982
2147.79953732,2780.12709685
2566.78861932,3154.91090873
2976.16785999,3571.97802247
3286.56573496,3868.92211957
3419.18154532,3970.78643767
3421.10351358,4021.71859672
3377.8592276,4011.14777126
3343.26379881,3940.99592955
3421.10351358,3973.66939007
3381.70316413,3952.52773915
3349.99068774,3988.08415207
3264.4630999,4114.93405763
3179.89649619,4162.98326428
3146.26205154,4081.29961297
3078.03217809,3982.31824727
3034.7878921,3853.54637344
2974.24589172,3640.20789591
2877.18649429,3344.22478294
2601.38404811,3062.65643196
2359.21604659,2887.75731975
2209.30252183,2741.68773153
2143.95560079,2672.49687395
2135.30674359,2657.12112782
2110.32115613,2692.67754075
2172.78512478,2837.78614483
2584.08633371,3289.44868736
2971.36293932,3795.88732546
3284.64376669,4149.52948642
3414.37662465,4254.27675692
3406.68875159,4227.36920119
3389.39103719,4187.96885174
3343.26379881,4148.56850228
3408.61071985,4202.38361373
3354.7956084,4181.24196281
3332.69297334,4238.90101079
3244.2824331,4313.85777317
3151.0669722,4312.89678903
3121.27646408,4223.52526466
3058.81249543,4104.36323217
3007.88033638,3956.37167568
2950.2212884,3745.91615055
2854.1228751,3427.83040251
2584.08633371,3116.47154341
2348.64522112,2878.14747842
2199.6926805,2812.80055737
2124.73591813,2750.33658873
2117.04804506,2723.429033
2095.90639414,2753.21954113
2154.52642625,2894.48420868
2572.55452412,3381.70316413
2969.44097106,3891.02475463
3270.2290047,4218.720344
3402.84481505,4325.38958276
3386.50808479,4315.77974143
3380.74217999,4280.22332851
3330.77100508,4198.5396772
3395.15694199,4242.74494732
3340.38084641,4225.44723293
3301.94148109,4220.64231226
3204.88208365,4302.32596357
3131.84728954,4330.19450343
3073.22725743,4228.33018533
2995.38754265,4103.40224803
2946.37735187,3966.94250114
2868.53763709,3739.18926161
2804.15170018,3448.97205344
2561.98369865,3173.16960726
2346.72325286,2966.55801866
2228.52220449,2827.21531937
2141.07264839,2759.94643006
2100.7113148,2728.23395367
2054.58407642,2734.9608426
2020.94963176,2820.48843044
2167.01921998,3057.8515113
2382.27966578,3384.58611653
2669.61392155,3653.66167377
2865.65468469,3804.53618266
2913.70389134,3875.6490085
2908.89897068,3897.75164356
2881.03043082,3872.76605611
2873.34255776,3852.58538931
2818.56646217,3838.17062732
2774.36119205,3857.39030998
2739.76576326,3977.51332661
2718.62411234,4039.97729525
2710.93623927,3959.25462808
2683.06769942,3916.01034209
2652.31620716,3802.61421439
2624.4476673,3634.44199111
2625.40865143,3386.50808479
2451.47052336,3144.34008327
2241.97598236,2942.53341533
2130.50182292,2797.42481125
2071.88179081,2723.429033
2015.18372696,2690.75557248
1998.8469967,2696.52147728
1917.16334539,2771.47823965
2033.44242549,2977.12884412
2173.74610891,3266.38506816
2466.84626948,3517.20192688
2677.30179462,3690.17907083
2777.24414445,3788.1994524
2785.89300165,3826.63881772
2767.63430312,3810.30208746
2764.75135072,3806.45815093
2745.53166806,3795.88732546
2705.17033448,3805.49716679
2690.75557248,3946.76183435
2707.09230274,4137.99767682
2717.66312821,4087.06551777
2724.39001714,4033.25040632
2733.03887433,3916.97132622
2715.74115994,3720.93056309
2701.32639794,3438.40122798
2460.11938055,3132.80827367
2253.50779195,2964.63605039
