x1,x2
2693.67258448,3327.07848929
2626.7430172,3252.38897219
2541.38356908,3250.44898473
2487.06392028,3265.96888439
2456.99411469,3334.83843912
2481.2439579,3597.70673959
2655.84282906,4244.6925566
2902.22123614,4951.81798479
3206.79926694,5200.13637933
3355.20830742,5180.73650476
3427.95783707,5155.51666781
3438.62776809,5037.17743292
3443.47773673,4940.17806005
3483.24747961,4933.38810395
3484.21747334,4908.168267
3495.85739808,4854.81861193
3550.17704688,5093.43706918
3880.94490836,5508.59438504
3917.80467005,5259.30599678
3670.45626924,4879.06845514
3443.47773673,4549.2705874
3293.12870879,4213.65275729
3171.87949271,3851.8450965
2964.30083478,3513.3172852
2802.31188209,3306.70862099
2700.46254058,3171.87949271
2668.45274754,3103.9799317
2686.88262838,3097.1899756
2776.12205142,3096.21998187
2894.46128631,3307.67861472
3352.29832624,3890.64484564
3901.31477666,4559.94051842
4181.64296424,4751.99927669
4252.45250643,4731.62940839
4347.51189184,4882.94843006
4390.1916159,4772.36914499
4313.56211134,4664.69984111
4324.23204235,4685.06970941
4264.09243118,4598.74026756
4125.38332798,4530.84070656
4073.97366036,4737.44937076
4259.24246253,5110.89695629
4174.85300814,4908.168267
4005.10410562,4587.10034282
3832.44522192,4250.51251898
3685.00617517,3945.93448818
3523.98721621,3627.77654518
3236.86907253,3319.31853946
3006.01056511,3107.85990662
2891.55130513,3002.13059019
2836.26166259,2971.09079088
2847.90158734,3004.07057765
2871.18143682,3105.91991916
3014.74050867,3389.15808793
3481.30749215,4041.96386731
4028.38395511,4730.65941466
4275.73235592,4942.11804751
4350.42187303,4955.69795971
4444.51126471,5052.69733257
4426.08138386,5077.91716952
4353.33185421,5010.01760851
4369.8217476,5009.04761478
4298.04221168,4893.61836107
4154.48313984,4813.1088816
4085.6135851,4973.15784682
4242.75256915,5307.80568321
4157.39312102,5057.54730122
3957.57441292,4744.23932686
3776.18558566,4465.85112674
3619.04660162,4159.33310848
3482.27748588,3819.83530345
3222.3191666,3512.34729147
3002.13059019,3304.76863353
2881.85136784,3193.21935474
2817.83178175,3142.77968085
2833.35168141,3143.74967458
2842.08162497,3203.88928575
2995.34063409,3437.65777436
3506.5273291,4101.13348476
3942.05451326,4774.30913245
4204.92281373,5001.28766496
4323.26204862,5006.1376336
4446.45125216,5070.15721969
4467.79111419,5034.26745173
4452.27121454,4945.99802242
4602.62024248,4943.08804124
4643.35997908,4896.52834226
4513.38081944,4818.92884397
4436.75131488,4993.52771513
4567.70046825,5286.46582118
4403.7715281,5025.53750817
4157.39312102,4730.65941466
3930.41458852,4404.74152183
3722.83593059,4064.27372307
3588.97679603,3733.5058616
3328.04848302,3426.01784962
3060.33021391,3209.70924813
2951.6909163,3109.79989407
2906.10121106,3052.57026408
2909.01119224,3045.78030798
2903.19122987,3114.64986272
3020.56047104,3354.2383137
3416.31791233,4005.10410562
3941.08451953,4695.73964043
4283.49230575,4934.35809768
4361.09180404,4899.43832345
4410.5614842,4952.78797852
4430.93135251,4918.83819802
4317.44208625,4798.55897567
4179.70297678,4722.89946483
3975.03430004,4598.74026756
3847.96512158,4534.72068147
3814.01534108,4735.5093833
3895.49481429,5049.78735139
3852.81509023,4888.76839243
3672.3962567,4503.68088215
3501.67736045,4161.27309594
3360.05827607,3885.794877
3245.59901609,3635.53649501
3026.38043341,3357.14829488
2827.53171904,3154.41960559
2644.20290432,3009.89054002
2568.54339348,2919.68112326
2534.59361298,2900.28124868
2490.94389519,2916.77114207
2468.63403943,2995.34063409
2647.11288551,3198.06932338
2972.06078461,3511.37729774
3260.14892202,3856.69506514
3441.53774928,4085.6135851
3564.72695281,4239.84258796
3553.08702807,4266.03241863
3533.6871535,4206.86280119
3535.62714095,4148.66317747
3456.08765521,4123.44334052
3357.14829488,4154.48313984
3383.33812556,4340.72193574
3565.69694654,4687.00969687
3539.50711587,4548.30059367
3374.608182,4172.91302068
3324.16850811,3906.1647453
3235.8990788,3676.27623161
3154.41960559,3481.30749215
2944.9009602,3245.59901609
2743.14226464,3089.43002577
2611.22311754,3010.86053375
2528.77365061,2960.42085986
2494.82387011,2964.30083478
2436.62424639,2975.94075952
2402.67446588,3019.59047731
2521.98369451,3161.20956169
2763.51213294,3397.88803149
3055.48024527,3677.24622534
3262.08890947,3902.28477039
3393.03806284,4096.28351612
3454.14766775,4137.02325272
3457.05764893,4080.76361646
3426.01784962,4054.57378579
3395.94804403,4030.32394257
3352.29832624,4047.78382969
3419.22789352,4309.68213642
3716.04597449,4728.7194272
3754.84572363,4570.61044943
3494.88740435,4287.37228066
3346.47836387,3987.64421851
3218.43919168,3746.11578007
3136.95971848,3482.27748588
2946.84094766,3252.38897219
