x1,x2
7011.49607414,10082.97352103
6769.6863137,9851.03354673
6741.06393389,9846.09865366
6630.52232912,9900.38247743
6864.43626064,10252.73384264
7598.74834949,11196.28539766
8158.36522365,11775.6418441
8388.33124072,12024.36045484
8558.09156233,11958.2328877
8619.28423641,11875.32668412
8621.25819363,11852.626176
8622.24517225,11768.7329938
8447.54995756,11655.23045319
8452.48485063,11597.98569358
8541.3129259,11734.18874231
8468.27650846,11995.73807503
8377.47447597,12068.77449247
8240.28444861,12053.96981326
8215.60998326,12002.64692533
8255.08912782,11815.12098866
7930.37316381,11318.6707458
7985.64396619,11286.10045154
7865.23257528,11099.56149349
7390.49586193,10503.42641061
7165.46473793,10113.56985806
6977.93880126,9917.16111387
6893.05864045,9775.03619345
6803.24358657,9839.18980336
6992.74348047,10301.09579473
7665.86289524,11133.11876636
8115.92514325,11679.90491854
8391.29217656,11994.75109642
8486.04212351,11903.94906393
8478.1462946,11723.33197756
8495.91190965,11633.51692368
8554.14364788,11598.97267219
8607.44049304,11496.32689633
8630.14100116,11449.93890147
8526.50824669,11508.1706397
8499.85982411,11741.09759261
8514.66450332,11861.50898352
8387.34426211,11890.13136333
8398.20102686,11924.67561482
8414.9796633,11741.09759261
8041.90174719,11128.18387329
8122.83399354,11195.29841905
7986.63094481,10987.04593149
7530.64682512,10542.90555517
7178.29545991,10231.02031313
6888.12374738,10041.52041924
6819.0352444,9952.69234397
6735.1420622,10078.03862796
6880.22791847,10495.53058169
7593.81345642,11342.35823254
8238.31049139,11755.90227182
8514.66450332,12014.4906687
8605.46653581,11778.60277994
8653.8284879,11771.69392965
8709.09929028,11881.2485558
8735.74771286,11857.56106907
8699.22950414,11779.58975856
8660.73733819,11740.110614
8562.03947679,11905.92302116
8562.03947679,12178.32911863
8535.39105421,12207.93847705
8412.01872746,12230.63898517
8441.62808588,12250.37855746
8423.86247083,12076.67032138
8060.65434086,11600.94662942
8038.94081135,11637.46483814
7920.50337767,11318.6707458
7526.69891066,10856.76475443
7195.07409635,10582.38469973
7000.63930938,10339.58796068
6940.43361392,10323.79630285
6906.87634105,10425.4551001
7154.60797317,10857.75173305
7808.97479428,11719.3840631
8388.33124072,12211.88639151
8629.15402255,12351.05037609
8693.30763246,12148.71976021
8643.95870176,12110.22759426
8733.77375563,12086.54010753
8687.38576077,12084.5661503
8570.92228432,12047.06096296
8612.37538611,12052.98283465
8500.84680272,12125.03227347
8416.95362053,12388.55556342
8445.57600033,12410.26909293
8406.09685577,12401.3862854
8417.94059914,12402.37326402
8398.20102686,12299.72748816
8108.02931433,11763.79810073
8186.98760346,11871.37876966
8103.09442126,11642.39973121
7627.3707293,11199.2463335
7354.96463182,10852.81683998
7287.85008607,10631.73363043
7230.60532645,10595.21542171
7139.80329396,10710.69191955
7349.04276014,11106.47034378
8023.14915353,12043.11304851
8555.13062649,12465.53989532
8728.83886256,12566.21171395
8837.40651011,12583.977329
8811.74506614,12473.43572423
8897.61220556,12452.70917333
8825.56276674,12391.51649926
8790.03153663,12325.38893212
8770.29196435,12310.58425291
8680.47691048,12391.51649926
8582.76602769,12616.54762326
8550.19573342,12634.31323832
8388.33124072,12588.91222207
8403.13591993,12511.92789018
8288.6464007,12261.23532221
7946.16482163,11721.35802033
7965.90439391,11761.82414351
7874.11538281,11470.66545236
7419.11824173,10986.05895287
7014.45700998,10559.68419161
6792.38682182,10265.56456462
6696.64989626,10207.33282639
6593.01714178,10204.37189055
6675.92334536,10335.64004622
6898.98051213,10573.5018922
7032.22262503,10666.27788192
7324.36829479,11053.17349863
7532.62078235,10998.88967485
7617.50094316,11089.69170735
7639.21447266,11161.74114617
7710.27693287,11180.49373984
7677.70663861,11219.9728844
7630.33166514,11186.41561152
7716.19880456,11398.61601354
7786.27428616,11689.77470468
7879.05027588,11881.2485558
7914.58150598,11934.54540096
7987.61792342,11823.01681758
7896.81589093,11458.821709
7639.21447266,10954.47563722
7718.17276179,11064.03026338
7673.75872416,10890.32202731
7318.4464231,10441.24675792
6983.86067294,10049.41624815
6785.47797152,9797.73670157
6632.49628634,9661.53365283
6579.19944119,9680.2862465
6547.61612554,9742.46589918
6770.67329231,9913.21319941
6931.5508064,9971.44493764
7180.26941714,10244.83801373
7396.41773361,10329.71817454
7524.72495344,10490.59568862
7629.34468652,10613.96801538
7600.72230672,10660.35601024
7492.15465917,10669.23881776
7469.45415105,10645.55133103
7481.29789442,10787.67625145
7501.0374667,11129.17085191
7614.54000731,11218.98590578
7737.91233407,11215.03799133
7836.61019547,11203.19424796
7812.92270873,11024.55111882
7583.94367028,10483.68683833
7814.89666596,10773.85855085
7848.45393884,10699.8351548
7495.11559501,10377.09314801
