x1,x2
10579.9912475,16815.40476437
10240.92528983,16609.50955887
10140.81110734,16470.67196618
10093.58743635,16534.89615872
9997.25114754,16612.34297913
9963.25010443,17315.03120339
10274.92633293,18815.7994673
10485.54390553,19958.61230514
10832.16565056,20616.91027867
11285.51289202,20282.56668809
11596.2446471,20083.28279654
11582.0775458,19834.88628715
11546.18755585,19718.71605653
11464.96284176,19575.15609674
11453.62916072,19722.49395021
11398.84970238,19883.99890498
11424.35048471,20244.78775131
11387.51602134,20238.17643737
11445.12889994,19990.72440141
11528.24256088,19737.60552493
11572.6328116,19444.81876482
11551.85439637,18984.86020942
11495.18599119,18355.8409119
11227.90001341,17507.70378101
10644.21544004,16976.90971914
10363.70683439,16671.84480457
10260.75923164,16507.50642955
10239.03634299,16581.17535628
10249.4255506,16801.23766307
10562.04625252,17455.75774293
11616.07858891,18744.0194874
12752.28011281,20140.89567514
13223.57234924,20582.90923556
13145.18105541,20470.51689861
12979.89820696,20428.01559473
12814.61535851,20295.78931597
12872.22823711,20073.83806234
13781.75614029,20036.05912555
13013.89925007,20039.83701923
12757.94695333,20322.23457172
12663.49961136,20653.74474204
12434.93704379,20579.13134188
12362.21259048,20417.62638711
12200.70763571,20168.28540431
12178.98474705,19882.10995814
12109.093714,19634.65792218
12056.20320249,18782.74289761
11673.69146751,18151.83465325
11198.6213374,17434.03485427
10673.49411605,17149.74835494
10574.32440698,16983.52103308
10415.65287247,16989.18787359
10398.65235092,17159.19308914
10587.54703486,17595.53980904
11738.86013347,19049.08440196
12880.72849789,20515.85162276
13160.29263012,20900.25230458
13077.17896919,20821.86101074
13008.23240955,20711.35762064
12917.56296126,20376.06955664
12819.33772561,20199.45302716
12891.11770551,20066.28227498
12701.27854815,20088.00516363
12681.44460633,20294.84484255
12697.50065447,20564.96424058
12597.38647198,20496.96215437
12352.76785628,20229.67617659
12263.98735483,20014.3362369
12280.98787638,19618.60187404
12199.76316229,19152.03200471
12022.20215938,18465.39982859
11549.02097611,17684.32031049
11012.56007372,17043.96733194
10573.37993356,16571.73062209
10453.43180926,16299.72227721
10407.15261169,16399.8364597
10353.31762677,16487.67248773
10430.76444719,16919.29684054
11218.45527922,18089.49940755
12318.76681317,19530.76584601
12710.72328235,20151.28488275
12693.72276079,20092.72753073
12676.72223924,19980.33519379
12552.99622125,19929.33362912
12443.43730457,19741.3834186
12488.77202872,19693.2152742
12442.49283115,19835.83076057
12336.71180814,19888.72127208
12288.54366374,20136.17330804
12144.03923052,20003.00255586
11915.47666296,19802.77419088
11868.25299197,19617.65740062
11861.64167803,19353.20484311
11697.30330301,18953.69258657
11535.79834824,18240.6151547
11084.34005362,17594.59533562
10649.88228056,16904.18526582
10353.31762677,16586.8421968
10118.14374526,16471.6164396
9995.3622007,16475.39433328
9939.63826894,16456.50486488
10242.81423666,16994.85471411
11197.67686398,18305.78382066
12376.37969177,19992.61334825
12715.44564944,20427.07112131
12691.83381395,20326.95693882
12587.94173778,20244.78775131
12386.76889939,20192.84171322
12123.26081529,19910.44416073
12375.43521835,19741.3834186
12332.93391446,19712.10474259
12227.15289146,19734.77210467
12085.4818785,19900.05495311
11931.53271109,19907.61074047
11866.36404513,19810.32997824
11727.52645244,19511.87637762
11532.96492798,18920.63601688
11356.34839849,18378.50827397
11321.40288196,17905.3270907
11093.78478782,17426.47906692
10604.54755641,16915.51894686
10225.81371511,16548.11878659
10005.75140832,16265.7212341
9864.08039536,16191.10783395
9731.85411661,16087.21575778
9670.46334433,16321.44516586
9863.13592194,16696.40111349
10369.3736749,17348.08777308
10928.50193937,17963.88444273
11396.01628212,18657.12793279
11572.6328116,19104.80833373
11606.63385471,19203.97804279
11512.18651274,19169.03252627
11315.73604145,19009.41651834
11221.28869948,18884.74602693
11189.17660321,18960.30390051
11175.95397533,19339.98221523
11282.67947176,19522.26558523
11292.12420595,19410.81772171
11318.5694617,19024.52809305
11243.01158813,18481.45587672
11002.1708661,17998.82995925
10840.66591134,17588.9284951
10657.43806791,17095.91337002
10374.096042,16641.62165514
10121.92163894,16407.39224706
10035.97455775,16249.66518597
9859.35802827,16254.38755307
9646.85150883,16222.2754568
9614.73941256,16280.83280882
9658.18518987,16475.39433328
9807.41199018,16835.23870618
10285.31554055,17293.30831474
10652.71570082,17874.15946785
10978.55903061,18336.95144351
11082.45110678,18605.1818947
10958.7250888,18649.57214543
10900.16773678,18669.40608724
10860.49985315,18846.96709015
10919.05720517,19038.69519435
10911.50141781,19286.14723031
11063.56163839,19278.59144295
11207.12159818,19122.7533287
11366.73760611,18912.13575611
11536.74282166,18798.79894574
11575.46623186,18458.78851465
11393.18286186,17998.82995925
11033.33848895,17489.75878604
