x1,x2
10596.83713465,15853.43226495
10172.96364926,15650.42412117
10133.48984353,15632.56692334
10113.75294066,15854.37211746
10028.22636157,16188.01976117
10573.34082171,16723.73569614
12019.77384612,18829.94518782
13670.15486683,20669.23656454
14070.53203928,20735.02624077
14155.11876585,20472.80738839
14168.27670109,20628.82290629
14165.45714354,20668.29671202
13990.64457529,20535.77750706
13875.04271564,20360.96493881
13999.10324795,20300.81437769
13975.60693501,20698.37199258
13641.9592913,21034.83919384
13688.95191718,21123.18533049
13531.05669424,20943.67349965
13344.02604326,20472.80738839
12958.68651109,19527.3157558
12575.22668396,18907.95294677
11936.12697207,17882.5738502
11989.69856556,16982.19513845
10591.19801954,16167.34300579
10361.87400528,15898.54518579
10434.24264912,15846.85329732
10648.52902311,15899.4850383
10156.98615647,16047.98173607
10388.18987577,16671.10395516
11845.90113039,18456.82373838
13297.03341739,20106.26490657
13875.98256816,20691.79302496
14012.26118319,20285.77673741
14066.77262921,20362.84464384
13989.70472277,20223.74647125
13878.80212571,19962.46747139
13858.12537032,19809.27151104
13626.92165102,19795.17372328
13420.15409718,20190.85163314
13360.00353606,20916.41777664
13323.34928788,21140.1026758
12938.94960822,20713.40963286
12854.36288165,20372.24316902
12778.23482773,19961.52761888
12202.10523451,19357.20245013
11715.26163046,17980.31851202
12245.33845032,17266.03059873
10686.12312381,16215.27548418
10393.82899087,16287.64412802
10364.69356283,16125.0496425
10272.58801612,16207.75666404
10304.54300171,16566.78032572
10813.94306619,17298.92543684
12135.37570577,19684.27112622
13592.14710788,21697.43521867
14010.38147816,21747.2474021
14135.38186298,21454.01341664
14280.11915068,21303.63701384
14383.5029276,21042.35801398
13835.5689099,20873.18456084
14001.9228055,20877.88382342
13764.14011858,21249.12556783
13726.54601788,21652.32229783
13699.29029487,21778.26253518
13558.31241725,21688.97654601
13346.84560081,21199.3133844
13173.91273759,20939.91408958
13098.7245362,20230.32543888
12645.71562277,19034.83303663
12187.06759424,18293.28940034
11550.7874399,17332.76012747
10781.98808059,16458.69728621
10692.70209143,16096.85406698
10702.10061661,15821.47727935
10567.70170661,15725.61232257
10364.69356283,16100.61347704
10648.52902311,16922.98442984
12243.45874528,18759.45624901
13527.29728417,20291.41585251
14150.41950326,20574.31146028
13963.38885228,20203.06971587
13942.7120969,20446.4915179
13955.87003214,20431.45387762
13873.1630106,20592.16865811
13509.44008634,20655.13877678
13309.25150011,20685.21405734
13269.77769438,21090.29049238
13447.40982018,21354.38904979
13391.01866913,21432.39680874
13161.69465487,20968.1096651
13146.65701459,20563.03323007
12688.00898605,19730.32389957
12257.55653305,18927.68984964
11641.95313409,18098.73992922
11022.59032507,17147.60918152
10556.4234764,16271.66663523
10173.90350178,16010.38763537
10053.60237954,15825.23668942
10212.437455,15874.10902033
10196.4599622,16203.99725397
10563.00244402,17138.21065635
12015.07458354,18938.96807985
13579.92902515,21052.69639168
13985.00546018,21249.12556783
14071.47189179,21036.71889888
13971.84752494,21298.93775126
13646.65855389,21161.7192837
13712.44823011,20923.93659678
13200.22860808,20829.01149251
13005.67913697,20549.87529482
12890.07727731,20432.39373014
12844.96435648,20620.36423363
12756.61821983,20766.04137384
12699.28721626,20491.60443874
12389.13588549,19617.54159748
12276.3535834,18646.67394691
11798.90850451,18061.14582852
11326.16268822,17110.95493334
10868.4545122,16699.29953068
10313.94152689,15897.60533327
10006.60975367,15639.14589096
9710.55621066,15504.74698096
9702.097538,15501.92742341
9572.39789059,15466.21302774
9375.02886192,15686.13851683
9794.20308472,16206.81681152
10603.41610227,17087.4586204
11370.33575654,17816.78417397
11853.41995053,18389.15435712
12166.39083885,18983.14114817
12303.6093064,19146.67548622
12041.39045402,19168.29209412
11737.81809088,19050.81052943
11579.92286794,18860.9603209
11494.39628885,19044.23156181
11551.72729241,19606.26336727
11629.73505137,19688.03053629
11727.47971318,19471.86445727
11684.24649738,18814.90754754
11528.23097948,18141.97314502
11293.26785011,17531.06900866
11052.66560563,16875.05195145
11677.66752976,16283.88471795
10193.64040465,15781.0636211
9789.50382213,15613.76987299
9531.98423234,15429.55877956
9300.78051304,15472.79199536
9249.08862458,15575.23591977
9369.38974681,15625.0481032
9482.17204891,16007.56807781
9824.27836528,16494.41168187
10670.14563101,17180.50401964
11219.95935374,17870.35576747
11564.88522766,18360.01892908
11657.93062689,18735.02008356
11521.65201186,18714.34332817
11404.17044717,18597.801616
11281.04976738,18695.54627782
11358.11767381,19054.5699395
11531.99038955,19669.23348594
11628.79519885,19913.59514048
11678.60738228,19661.7146658
11940.82623465,19269.79616601
11999.09709074,18365.65804419
11771.65278151,17685.20482153
11531.05053703,17135.3910988
10849.65746185,16362.83232942
