x1,x2
0.42604628,0.83314456
0.38432725,0.79912318
0.34821864,0.7690656
0.33047685,0.73970458
0.31359902,0.71390319
0.28396832,0.67259746
0.26926865,0.63946014
0.27158955,0.61224666
0.2796367,0.59552471
0.29346093,0.5805435
0.30728682,0.5513469
0.32259339,0.56396331
0.33500205,0.58050249
0.34638424,0.58700928
0.343849,0.60216123
0.32766937,0.60419187
0.30774813,0.60303052
0.28832503,0.59104564
0.28975092,0.57253241
0.30379313,0.5605749
0.3213293,0.54501999
0.32769643,0.52113213
0.32466188,0.44731595
0.29001096,0.4387833
0.26190421,0.43126759
0.23209252,0.41445946
0.2030257,0.39470536
0.1904604,0.3789768
0.17821213,0.37239573
0.15028935,0.37576451
0.12360352,0.39844211
0.13234983,0.41785826
0.15933223,0.42766463
0.19073669,0.42941944
0.19865269,0.43253608
0.22118519,0.44380732
0.23992625,0.45089288
0.26054491,0.46251391
0.28729321,0.46975913
0.3109231,0.46475621
0.33298181,0.45138572
0.33109077,0.43503511
0.32830351,0.41775265
0.35187661,0.40119049
0.38119509,0.38956132
0.39602445,0.3829807
0.37890167,0.44082999
0.39155142,0.42733182
0.39494038,0.41760386
0.39625141,0.41371377
0.39132793,0.40856577
0.38330001,0.40501198
0.36163596,0.39711448
0.34219487,0.38873854
0.29732543,0.38153826
0.26300565,0.37862818
0.2337623,0.38469144
0.21232385,0.39321706
0.18681733,0.40594602
0.18186216,0.38900854
0.18301286,0.38140974
0.19140606,0.3750813
0.19438818,0.37140581
0.19194861,0.37159469
0.18311207,0.35866094
0.16976888,0.34518321
0.16386967,0.32684019
0.17154686,0.30775983
0.17512001,0.29678541
0.17090201,0.299174
0.16506711,0.29586512
0.15403145,0.29080567
0.14278293,0.28844429
0.14174664,0.2942872
0.14786274,0.29726402
0.15456466,0.29109059
0.1537958,0.28891727
0.13094476,0.28682861
0.12067635,0.28404032
0.13075477,0.28996785
0.16051659,0.28804391
0.19597934,0.283325
0.22305831,0.2768969
0.24421756,0.26040595
0.27370599,0.25332971
0.29590214,0.25886712
0.30504761,0.27846994
0.31004279,0.31072864
0.3112052,0.32943965
0.30415507,0.35091299
0.31807396,0.36516652
0.33928393,0.38256513
0.34558621,0.39303273
0.33783581,0.39880067
0.33365005,0.35773167
0.31772692,0.3536195
0.2972489,0.35238697
0.28332178,0.35031234
0.28082387,0.35316654
0.28320582,0.35648465
0.27728263,0.35797602
0.24953948,0.35551331
0.23249407,0.35489409
0.24380922,0.36228807
0.2749073,0.37011494
0.31914727,0.3750089
0.35376508,0.38340156
0.3784045,0.38841699
0.39826198,0.37254882
0.41821121,0.34952984
0.43956714,0.32951844
0.45735924,0.31792597
0.46252331,0.31742323
0.45445515,0.30712192
0.46591156,0.29944546
0.48905643,0.29134545
0.50966867,0.27925558
0.51829586,0.2718829
0.49861638,0.26048523
0.4761717,0.26566071
0.4476739,0.25408442
0.41187798,0.24192619
0.37745545,0.23349192
0.34843343,0.23370569
0.33104222,0.24475407
0.30230972,0.25068888
0.28521981,0.25820344
0.26606885,0.27446413
0.25164692,0.28625157
0.25132284,0.30152916
0.21690241,0.30608432
0.21897756,0.31199237
0.225142,0.30359782
0.24192061,0.29565676
0.26320727,0.30788155
0.26533506,0.3237548
0.27180635,0.35182502
0.27494907,0.37778211
0.27642382,0.39826256
0.28257928,0.40444206
0.30143522,0.4022226
0.32804638,0.40521348
0.34291004,0.34842018
0.36940823,0.36934455
0.39604471,0.390537
0.4092941,0.41516029
0.42923953,0.44407505
0.4381174,0.47582403
0.42511031,0.50719816
0.39423989,0.52778561
0.3621985,0.54342021
0.33558824,0.55297388
0.31904849,0.57234767
0.333146,0.58681015
0.3391287,0.57531657
0.35827135,0.59856726
0.37985564,0.6112561
0.41036032,0.63170393
0.43151248,0.65190261
0.4385912,0.67796361
0.44191572,0.71633402
0.44132168,0.75419671
0.45291361,0.79995233
0.48194418,0.83984356
0.50592415,0.87290837
0.50803219,0.89479229
0.51609528,0.83500236
0.49680714,0.87350229
