x1,x2,x3
2179.65790607,2765.19327993,2208.38976028
2125.16645842,2692.86826759,2174.7041381
2108.32364732,2675.0347029,2125.16645842
2133.09248717,2700.79429634,2129.12947279
2249.01065762,2859.31487132,2185.60242763
2644.3213415,3340.82111785,2609.64496572
3036.65976459,3858.98524733,3022.78921428
3346.76563941,4199.80448356,3344.78413222
3524.11053267,4311.75963964,3503.30470721
3536.99032939,4327.61169714,3496.36943205
3529.06430064,4318.6949148,3487.45264971
3503.30470721,4241.41613449,3441.8779844
3575.62971955,4296.89833574,3506.27696799
3542.93485095,4318.6949148,3469.61908502
3495.37867846,4272.12949589,3429.98894128
3409.18311581,4378.14013042,3339.83036425
3318.03378519,4360.30656573,3250.66254082
3269.4868591,4276.09251027,3197.16184676
3253.6348016,4135.40549997,3125.82758802
3346.76563941,3999.67225764,3074.30840115
3265.52384473,3773.78043828,3027.74298225
2909.8433046,3432.96120206,2947.49194116
2583.88537228,3140.68889193,2643.3305879
2377.8086248,2903.89878304,2394.65143589
2230.18633935,2790.95287336,2275.76100465
2185.60242763,2724.57238259,2224.24181778
2170.74112373,2705.74806431,2235.14010731
2199.47297794,2719.61861462,2240.09387528
2312.41888762,2851.38884257,2337.18772746
2695.84052837,3232.82897614,2828.60150992
3086.19744427,3654.89000704,3033.68750381
3425.03517331,3959.05136029,3359.64543613
3576.62047314,4067.043502,3498.35093924
3598.4170522,4118.56268888,3512.22148955
3574.63896595,4113.60892091,3478.53586737
3538.97183658,4057.13596607,3430.97969487
3595.44479142,4084.87706669,3498.35093924
3598.4170522,4058.12671966,3470.60983862
3543.92560455,4069.02500919,3438.90572362
3461.69305627,4284.01853902,3347.756393
3356.67317535,4328.60245073,3260.57007676
3314.07077082,4245.37914886,3205.08787551
3312.08926363,4171.07262934,3133.75361677
3420.08140534,4031.37637263,3094.12347302
3289.30193098,3740.09481609,3020.80770709
2931.63988366,3433.95195565,2927.67686929
2610.63571931,3155.55019583,2628.469284
2386.72540714,2942.53817319,2406.54047902
2288.64080137,2825.62924914,2270.80723669
2212.35277466,2756.27649758,2199.47297794
2211.36202107,2733.48916493,2181.63941326
2239.10312169,2754.2949904,2156.87057341
