x1,x2,x3
2636.23052016,3405.75167011,2757.36804312
2544.88091268,3329.29602037,2688.85583751
2524.02937184,3327.31015934,2601.47795209
2532.96574649,3343.1970476,2545.87384319
2576.65468919,3413.69511424,2515.0929972
2804.03577737,3682.77928409,2539.9162601
3408.73046166,4345.06393831,2718.64375299
3836.68351408,5068.91028452,2970.84810407
4149.45662664,5323.10049663,3282.62828612
4261.65777496,5303.24188631,3434.54665507
4235.84158154,5277.42569289,3509.01644378
4440.38526785,5156.28816993,3519.93867945
4316.26895334,5056.99511833,3524.90333204
4418.54079649,5050.04460471,3565.61348319
4335.13463315,5024.2284113,3566.60641371
4137.54146045,4969.61723291,3578.5215799
4118.67578064,5213.87813986,3634.1256888
4287.47396837,5638.85240074,3972.71499478
4190.1667778,5383.66925811,4010.44635439
4009.45342388,4994.44049581,3757.24907279
3897.25227556,4656.84412035,3524.90333204
3627.17517519,4313.29016179,3370.99910205
3284.61414715,3942.9270793,3246.88278754
2986.73499233,3596.39432919,3034.3956571
2786.16302808,3384.90012927,2868.57626092
2688.85583751,3246.88278754,2764.31855673
2634.24465912,3177.37765141,2731.5518497
2656.08913048,3170.4271378,2750.4175295
2708.71444783,3169.43420728,2841.76713698
2966.87638201,3385.89305979,2962.90465994
3519.93867945,3982.64429994,3431.56786353
4042.22013091,4667.76635603,3993.56653562
4294.42448199,4864.36659821,4280.52345476
4434.42768475,4843.51505737,4353.00738243
4599.25415042,4998.41221788,4450.31457301
4524.78436171,4885.21813905,4494.00351572
5360.83185624,4775.00285176,4415.56200495
4634.999649,4795.8543926,4426.48424062
4562.51572132,4707.48357667,4364.92254863
4438.39940682,4637.97844055,4222.93348483
4360.95082656,4849.47264047,4170.30816748
4428.47010166,5231.75088915,4359.95789605
4388.75288101,5024.2284113,4273.57294115
4171.30109799,4695.56841048,4099.81010084
4020.37565955,4351.0215214,3923.06846898
3752.28442021,4039.24133936,3772.14303054
3410.71632269,3713.56013009,3607.31656487
3100.92200167,3397.80822598,3313.40913211
2808.00749944,3181.34937348,3077.09166929
2733.53771073,3073.11994723,2959.92586839
2695.80635112,3041.34617071,2903.32882898
2700.7710037,3075.10580826,2915.24399517
2754.38925157,3179.36351244,2939.07432756
3007.58653316,3469.29922314,3086.02804393
3678.80756203,4137.54146045,3563.62762216
4169.31523696,4842.52212686,4123.64043322
4334.14170263,5058.98097936,4376.83771482
4364.92254863,5072.88200658,4453.29336456
4402.65390824,5172.17505819,4549.60762462
4408.61149133,5197.99125161,4530.74194481
4347.04979934,5128.48611548,4456.27215611
4407.61856082,5127.49318497,4473.15197488
4336.12756366,5009.33445355,4399.67511669
4141.51318251,4926.92122072,4252.72140031
4158.39300129,5090.75475587,4182.22333367
4378.82357585,5433.31578391,4343.07807727
4235.84158154,5177.13971077,4255.70019186
4021.36859007,4856.42315408,4051.15650555
4001.50997975,4571.45209597,3865.47849905
3754.27028125,4257.68605289,3704.62375544
3373.97789359,3910.16037227,3564.62055268
3048.29668432,3595.40139868,3298.51517437
2841.76713698,3382.91426824,3073.11994723
2732.54478021,3268.72725889,2949.99656323
2699.77807318,3217.09487205,2884.46314917
2701.76393422,3218.08780257,2900.35003743
2764.31855673,3279.64949457,2909.28641207
3019.50169936,3518.94574894,3066.16943361
3571.57106629,4198.11022193,3589.44381558
4028.31910368,4887.20400008,4035.26961729
4252.72140031,5119.54974084,4304.35378715
4280.52345476,5124.51439342,4425.49131011
4351.0215214,5190.04780748,4551.59348565
4374.85185379,5153.30937838,4573.437957
4291.44569044,5062.95270142,4557.55106874
4308.32550921,5059.97390987,4711.45529873
4264.6365665,5012.3132451,4753.15838041
4155.41420974,4932.87880382,4620.10569126
4132.57680787,5111.60629671,4541.66418049
4313.29016179,5411.47131256,4675.70980016
4170.30816748,5144.37300374,4507.90454294
4009.45342388,4842.52212686,4255.70019186
3945.90587085,4508.89747346,4023.3544511
3677.81463151,4160.37886232,3810.86732066
3341.21118656,3821.78955634,3673.84290945
3042.33910123,3507.03058275,3406.74460062
2858.64695575,3285.60707766,3132.69577819
2767.29734828,3183.33523451,3021.48756039
2708.71444783,3124.75233406,2974.81982613
2709.70737834,3117.80182045,2977.79861768
2778.21958395,3188.29988709,2971.84103459
3018.50876884,3433.55372456,3091.98562703
3593.41553764,4099.81010084,3497.10127759
4073.99390742,4806.77662828,4034.27668678
4279.53052425,5051.03753523,4384.78115895
4294.42448199,5015.29203665,4464.21560023
4368.89427069,5069.90321503,4514.85505655
4338.11342469,5035.15064697,4535.70659739
4223.92641535,4912.02726298,4419.53372701
4133.56973838,4834.57868273,4278.53759373
3985.62309149,4707.48357667,4069.02925484
3885.33710937,4641.95016261,3938.95535723
3944.91294033,4847.48677944,3904.20278917
4132.57680787,5169.19626664,3987.60895252
4067.04339381,5004.36980097,3943.92000982
3832.71179202,4610.1763861,3759.23493383
3696.68031131,4259.67191392,3584.479163
3443.48302972,3977.67964736,3439.51130765
3213.12314999,3721.50357422,3322.34550676
2874.53384401,3436.53251611,3097.94321013
2651.1244779,3229.01003825,2894.39245433
2539.9162601,3081.06339135,2706.7285868
2483.31922068,2988.72085336,2629.28000654
2459.4888883,2968.86224304,2594.52743848
2467.43233242,2985.74206181,2549.84556526
