x1,x2,x3
7603.97655039,10403.40490676,7234.31758591
7505.19715767,10164.09400689,6984.82324349
7482.79358407,10159.00228561,6955.2912601
7597.86648486,10215.01121962,6841.23670356
7914.57154809,10578.56011858,7082.58429194
8644.72437877,11552.09722614,7840.23241749
9227.2172925,12149.86530369,8417.63360995
9518.46374936,12406.4880559,8654.90782131
9591.7845357,12338.25899083,8830.06303313
9759.81133774,12252.71807342,8893.20037693
9732.31604286,12229.29615557,8895.23706544
9664.08697779,12142.73689391,8896.25540969
9576.50937188,12025.62730461,8716.0084766
9488.93176597,11966.56333783,8721.10019787
9409.5009141,12107.09484499,8812.7511808
9281.189538,12376.95607251,8737.39370595
9258.78596439,12452.31354736,8643.70603451
9231.29066951,12437.03838354,8502.1561831
9352.47363583,12384.08448229,8476.69757673
9578.54606039,12190.59907388,8517.43134692
9276.09781672,11678.37191373,8182.3960871
9016.42003176,11644.76655333,8239.42336537
8640.65100175,11452.29948917,8115.18536628
8162.029202,10837.21955929,7625.36177974
7838.19572899,10434.97357866,7393.17928965
7670.16892695,10232.32307196,7199.69388124
7679.33402524,10085.68149927,7112.11627533
7819.8655324,10151.87387583,7019.44694815
8155.91913647,10628.45898706,7214.96904506
8812.7511808,11486.92319384,7909.47982682
9373.85886518,12051.08591098,8373.844807
9711.94915777,12375.93772825,8657.96285408
9893.21443512,12282.25005681,8755.72390254
9897.28781214,12095.89305819,8747.5771485
9849.42563216,12003.22373101,8765.90734508
9812.76523899,11967.58168209,8825.98965611
9710.93081351,11861.67387959,8880.98024587
9533.73891318,11813.81169962,8904.40216373
9529.66553616,11873.89401065,8797.47601698
9572.43599486,12114.22325478,8769.9807221
9651.86684674,12238.46125386,8785.25588592
9676.30710885,12267.99323725,8653.88947706
9783.2332556,12303.63528616,8665.09126386
9874.88423853,12114.22325478,8682.40311619
9302.57476735,11481.83147256,8297.46898789
9166.11663721,11551.07888189,8380.97321678
8804.60442676,11336.20824413,8240.44170962
8267.9370045,10877.95332948,7769.96666392
7939.01181021,10556.15654497,7406.41776496
7805.60871283,10360.63444806,7107.02455406
7788.2968605,10268.98346513,7035.74045622
7876.89281067,10398.31318548,6949.18119457
8217.01979176,10829.07280525,7098.87780002
8948.19096669,11702.81217585,7835.14069622
9309.70317713,12129.4984186,8500.11949459
9636.59168291,12396.30461335,8785.25588592
9685.47220714,12152.92033646,8878.94355736
9687.50889565,12145.79192667,8928.84242585
9783.2332556,12258.82813895,8985.86970411
9742.49948541,12234.38787684,9013.36499899
9702.78405947,12153.93868071,8975.68626157
9593.82122421,12113.20491052,8935.97083563
9537.8122902,12284.28674532,8834.13641015
9529.66553616,12565.34975964,8834.13641015
9539.84897871,12595.90008728,8806.64111527
9533.73891318,12619.32200514,8679.34808343
9672.23373183,12639.68889024,8709.89841107
9933.94820531,12460.4603014,8691.56821448
9482.82170044,11969.6183706,8316.81752873
9277.11616098,12007.29710802,8294.41395512
8906.43885224,11678.37191373,8172.21264455
8375.88149551,11201.7868025,7765.8932869
8061.21312078,10918.68709967,7423.72961729
7922.71830213,10668.174413,7223.1157991
7878.92949918,10651.88090492,7160.99679956
8011.3142523,10756.77036316,7126.3730949
8304.59739767,11202.80514675,7381.97750285
8924.76904883,12091.81968117,8057.13974376
9446.16130727,12599.9734643,8654.90782131
9758.79299349,12743.56000423,8903.38381948
9801.56345219,12534.799432,8969.57619604
9792.39835389,12495.08400606,8918.6589833
9781.19656709,12470.64374395,9011.32831048
9723.15094457,12468.60705544,8963.46613051
9582.61943741,12429.90997376,8843.30150845
9498.09686426,12436.02003928,8886.07196715
9460.41812684,12510.35916988,8770.99906636
9355.5286686,12782.25708591,8684.4398047
9347.38191456,12804.66065951,8713.97178809
9362.65707838,12795.49556122,8673.2380179
9484.85838895,12796.51390547,8685.45814896
9838.22384536,12690.60610298,8665.09126386
9494.02348725,12137.64517264,8365.69805296
9279.15284949,12248.64469641,8447.16559334
8921.71401606,12012.3888293,8360.60633168
8386.06493805,11555.15225891,7869.76440088
8088.70841566,11197.71342548,7588.70138657
7942.06684297,10969.60431241,7519.45397724
7959.3786953,10931.92557498,7460.39001046
8097.87351395,11051.07185279,7366.70233903
8384.02824954,11459.42789896,7582.59132104
9086.68578534,12425.83659674,8278.12044705
9539.84897871,12861.68793778,8827.00800037
9751.6645837,12965.55905177,9006.23658921
9777.12319007,12983.88924835,9118.25445723
9699.72902671,12869.83469182,9091.77750661
9654.9218795,12848.44946247,9180.37345678
9604.00466676,12785.31211867,9106.03432618
9505.22527405,12717.0830536,9069.37393301
9446.16130727,12701.80788978,9049.00704791
9504.20692979,12785.31211867,8956.33772073
9451.25302855,13017.49460876,8855.5216395
9441.069586,13035.82480535,8821.9162791
9513.37202809,12988.98096963,8654.90782131
9655.94022375,12909.55011775,8670.18298513
9842.29722238,12650.89067704,8552.05505158
9428.84945494,12093.85636968,8198.68959517
9271.00609545,12135.60848413,8219.05648027
8808.67780378,11835.19692897,8124.35046458
8311.72580745,11335.18989987,7654.89376313
8034.73617016,10895.26518181,7237.37261867
7808.6637456,10591.79859389,7008.24516135
7808.6637456,10531.71628286,6909.46576863
7888.09459747,10528.66125009,6802.53962188
7985.85564593,10664.10103598,6888.08053928
8161.01085775,10909.52200138,7118.22634086
8202.76297219,11005.24636133,7255.70281526
8443.09221632,11404.4373092,7557.13271467
8689.53152598,11348.42837519,7772.00335243
8851.44826248,11442.11604663,7859.58095834
8903.38381948,11516.45517722,7881.98453194
8854.50329525,11535.80371807,7955.30531828
8855.5216395,11576.53748826,7921.69995788
8793.40263996,11541.91378359,7872.81943365
8752.66886977,11760.85779837,7961.41538381
8903.38381948,12061.26935353,8033.7178259
9091.77750661,12258.82813895,8129.44218585
9184.44683379,12313.81872871,8166.10257902
9254.71258737,12198.74582792,8241.46005388
9370.80383242,11822.97679791,8147.77238244
8951.24599945,11302.60288372,7881.98453194
8821.9162791,11415.639096,7963.45207232
8511.32128139,11236.41050716,7917.62658086
8075.46994035,10773.06387124,7551.02264914
7828.01228644,10368.7812021,7205.80394677
7685.44409077,10109.10341713,7001.11675156
7683.40740226,9968.57190997,6843.27339207
7708.86600863,9987.92045081,6788.28280231
7758.76487711,10052.07613886,6755.69578616
7807.64540134,10228.24969494,6985.84158774
7797.46195879,10288.33200597,7151.83170127
8019.46100633,10570.41336454,7408.45445347
8290.3405781,10657.99097045,7631.47184527
8427.8170525,10823.98108398,7763.85659839
8391.15665933,10951.27411583,7871.80108939
8358.56964317,10999.1362958,7842.269106
8252.66184068,11008.30139409,7730.25123798
8201.74462794,10983.86113198,7706.82932012
8159.99251349,11130.50270467,7719.04945118
8199.70793943,11482.84981682,7739.41633627
8339.22110233,11575.519144,7856.52592557
8519.46803543,11571.44576698,7983.81895742
8794.42098422,11559.22563592,8085.6533829
9129.45624404,11374.90532581,8061.21312078
8789.32926294,10816.8526742,7824.95725367
8819.87959059,11116.2458851,8063.24980929
8564.27518264,11039.87006599,8097.87351395
8108.0569565,10706.87149468,7733.30627074
