x1,x2,x3
10928.58218334,17744.86796099,11164.79504038
10736.22319006,17527.59199966,10806.9873793
10694.36268374,17381.08022757,10701.3394348
10672.43575187,17448.85438064,10651.50549871
10724.2630454,17530.58203582,10549.8442691
11152.83489572,18272.11100476,10513.96383512
12220.27780665,19855.83349353,10842.86781328
13415.29559396,21061.81474677,11065.12716821
13429.24909607,21756.49981579,11430.90825907
13531.9070044,21403.67554832,11909.31404549
13504.99667891,21193.37633804,12237.22134492
13204.99638368,20931.24983423,12222.2711641
13123.26872851,20808.65835147,12184.39737267
13071.44143498,20657.16318577,12098.68300261
12966.7901692,20812.64506635,12086.72285795
13113.30194129,20983.07712776,12028.91549209
13204.99638368,21363.80839945,12055.82581757
13003.6672819,21356.8316484,12016.95534743
12837.22193538,21095.70182331,12077.75274945
12933.89977138,20828.5919259,12165.46047696
13202.00634752,20519.62152218,12212.30437688
12999.68056702,20034.23898471,12190.377445
12391.70654678,19370.45095607,12130.5767217
11720.94176709,18475.43346399,11848.51664346
11246.52269556,17915.3000224,11232.56919346
10910.64196635,17593.37279529,10936.55561312
10921.60543229,17419.95069772,10827.91763245
10869.77813876,17497.69163801,10804.99402185
11019.27994702,17729.91778016,10815.95748779
11303.3333827,18420.61613429,11145.85814467
12378.7497234,19780.08591068,12258.15159808
13436.22584712,21254.17374006,13457.15610027
13287.72071758,21720.61938181,13954.4987824
13560.81068733,21602.01461393,13871.7744485
13567.78743838,21557.16407146,13697.3556722
13603.66787236,21417.62905042,13522.9368959
13610.64462341,21183.40955082,13583.73429793
13506.99003636,21143.54240195,14543.53590692
13600.6778362,21147.52911684,13733.23610618
13451.17602794,21445.53605463,13463.1361726
13446.19263433,21795.37028594,13363.46830043
13381.40851742,21716.63266693,13122.27204978
13179.08273692,21546.20060552,13045.52778821
13232.90338789,21283.07742299,12875.0957268
13643.53502123,20981.08377032,12852.17211621
13397.35537697,20719.95394523,12778.4178908
13033.56764355,19820.94973827,12722.60388239
12023.93209848,19155.16835218,12318.9490001
11519.6126653,18397.69252369,11817.61960309
11309.31345503,18097.69222847,11263.46623383
11190.70868715,17922.27677345,11158.81496805
11178.74854249,17928.25684578,10991.37294281
11313.30016991,18107.65901568,10973.43272582
11663.13440123,18568.1245851,11172.76847016
12881.07579913,20102.01313779,12387.7198319
14147.8544544,21649.85519257,13592.70440642
14469.78168151,22055.5034323,13887.72130804
14286.39279672,21972.7790984,13800.01358053
13926.59177819,21856.16768796,13727.25603385
13942.53863774,21502.34674176,13631.57487657
13766.126504,21315.96782081,13527.92028951
13610.64462341,21175.43612105,13603.66787236
13757.1563955,21198.35973165,13403.3354493
13641.54166379,21416.6323717,13382.40519615
13644.53169995,21701.6824861,13399.34873441
13607.65458725,21629.92161814,13293.70078992
13736.22614235,21347.8615399,13035.561001
13748.18628701,21120.61879135,12941.87320116
14054.16665457,20703.01040697,12959.81341815
13915.62831225,20210.65111845,12874.09904808
13151.17573271,19486.06568778,12686.72344841
12455.49398497,18661.81238494,12187.38740884
12003.00184533,17986.06421164,11621.27389492
11683.06797566,17487.72485079,11157.81828933
11572.43663755,17200.68137894,11031.24009168
11605.32703537,17306.32932344,10982.40283431
11685.06133311,17399.02044456,10925.59214718
12003.99852405,17854.50262037,11007.31980236
13115.29529873,19089.38755655,11838.54985625
14317.28983709,20610.31928585,12999.68056702
14672.10746201,21265.137206,13413.30223652
14475.76175384,21203.34312526,13395.36201953
14235.56218191,21084.73835737,13377.42180254
13996.35928871,21030.9177064,13246.85689
13993.36925254,20832.57864079,13131.24215828
13844.86412301,20781.74802598,13179.08273692
13930.57849308,20932.24651296,13130.24547956
13841.87408685,20988.06052137,13018.61746273
13981.40910788,21249.19034645,12967.78684792
14022.27293547,21108.65864669,12815.2950035
13730.24607002,20897.3627577,12574.09875285
13841.87408685,20702.01372824,12524.26481677
14073.10355028,20422.94368617,12517.28806572
13894.69805909,20001.3485869,12343.86596814
13313.63436435,19248.85615202,12173.43390673
12588.05225496,18567.12790638,11697.02147777
11937.22104969,17838.55576083,11238.54926579
11624.26393108,17503.67171034,10925.59214718
11534.56284613,17382.07690629,10677.41914548
11515.62595042,17386.06362118,10547.85091166
11548.51634823,17366.13004674,10489.04686708
11803.66610099,17934.23691811,10808.98073674
13186.05948797,19317.62698382,11816.62292437
14278.41936695,21097.69518076,13060.47796904
14494.69864955,21556.16739273,13418.28563013
14386.06066889,21450.51944823,13393.36866208
14511.64218782,21363.80839945,13283.7340027
14273.43597334,21308.99106975,13071.44143498
14165.79467139,21010.98413197,12793.36807163
13966.45892706,20832.57864079,13059.48129032
13933.56852924,20801.68160041,13014.63074784
13723.26931896,20825.60188973,12903.00273101
13870.77776977,21000.02066603,12753.50092276
13745.19625084,21007.9940958,12591.04229112
13712.30585303,20905.33618747,12522.27145933
13799.01690181,20590.38571142,12375.75968724
13674.4320616,19966.46483164,12170.44387057
13268.78382187,19394.37124539,11984.06494961
12760.47767381,18895.03520582,11947.18783691
12197.35419605,18389.71909392,11706.98826498
12043.86567291,17850.51590549,11190.70868715
11743.86537769,17462.80788275,10791.04051975
11496.68905471,17164.80094496,10558.81437759
11458.81526328,17086.06332595,10409.31256934
11572.43663755,16976.42866656,10269.7775483
11618.28385875,17223.60498954,10204.99343139
11807.65281587,17619.28644205,10408.31589062
12163.46711952,18306.99476002,10942.53568545
12970.77688409,18956.82928656,11532.56948869
13395.36201953,19688.39146828,12025.92545592
13540.87711289,20160.81718237,12212.30437688
13374.43176637,20265.46844814,12248.18481086
13135.22887317,20228.59133544,12148.51693869
13022.60417762,20060.15263148,11941.20776458
12842.20532899,19928.59104021,11841.53989241
12787.3879993,20008.32533795,11807.65281587
12781.40792697,20408.99018407,11793.69931377
12839.21529282,20601.34917735,11906.32400932
13075.42814986,20483.74108819,11916.29079654
13274.7638942,20076.09949102,11944.19780075
13256.82367721,19503.00922605,11864.46350301
12932.90309266,18993.70639927,11610.31042898
12629.91276127,18561.14783405,11439.87836757
12280.07852996,18040.88154133,11246.52269556
11985.06162833,17561.4790762,10947.51907905
11703.99822882,17314.30275322,10681.40586036
11543.53295463,17147.85740669,10590.70809669
11498.68241215,17152.8408003,10404.32917573
11535.55952485,17118.95372377,10180.07646335
11688.05136927,17180.74780451,10146.18938681
11797.68602866,17386.06362118,10192.03660801
11910.31072421,17765.79821414,10349.51184604
12248.18481086,18249.18739416,10853.83127922
12736.55738449,18862.144808,11241.53930195
13052.50453927,19350.51738163,11585.39346094
13037.55435844,19633.57413859,11695.02812032
13109.3152264,19680.41803851,11564.46320778
13127.25544339,19701.34829167,11502.66912704
13102.33847535,19888.72389134,11460.80862073
13245.86021127,20091.04967185,11522.60270147
13340.54468983,20352.17949693,11514.6292717
13539.88043417,20344.20606716,11675.09454589
13563.80072349,20179.75407808,11826.58971159
13725.26267641,19957.49472314,11995.02841555
13807.98701031,19837.89327654,12174.43058546
13485.06310448,19479.08893673,12215.29441305
12881.07579913,18993.70639927,12022.93541976
12228.25123643,18456.49656827,11643.20082679
