x1,x2,x3
10620.15119643,16687.53706393,11154.373986
10517.26384436,16473.8479481,10708.19902656
10432.18391861,16455.05122032,10666.64836515
10332.26447093,16688.52636539,10645.87303444
10375.79373527,17039.72838446,10555.84660138
11069.29406025,17603.6302179,11129.64144944
12769.90327373,19820.65479463,12652.17639973
14273.64149623,21756.71775611,14389.3897673
14792.03546241,21825.96885846,14810.83219019
15044.30733526,21549.95375051,14899.86932179
15144.22678294,21714.17779323,14913.71954226
15117.51564346,21755.72845464,14910.75163787
15134.33376832,21616.23694848,14726.7415659
15149.17329025,21432.22687651,14605.05748606
14851.39355014,21368.91158293,14735.64527906
14590.21796413,21787.38610143,14710.91274251
14646.60814747,22141.55602489,14359.71072344
14903.82652763,22234.55036233,14409.17579655
14424.01531848,22045.59378306,14242.9731509
14372.57164245,21549.95375051,14046.10215993
14512.06314861,20554.71647957,13640.48856044
13394.15249636,19902.76681599,13236.85356387
12216.88375637,18823.43892076,12564.1285696
11627.26008492,17875.68812,12620.51875294
10769.53571721,17017.9637523,11148.43817723
10787.34314353,16735.02353412,10907.04862046
10876.38027513,16680.6119537,10983.22483304
11043.57222224,16736.01283558,11208.78556642
11037.63641346,16892.3224666,10691.3809017
11395.76354277,17548.22933602,10934.7490614
12838.16507462,19427.90211415,12469.15562923
14260.78057722,21164.12618026,13996.63708682
14787.0889551,21780.4609912,14606.04678752
14922.62325542,21353.08275954,14749.49549953
15154.11979756,21434.20547944,14806.87498434
15213.47788529,21287.78886304,14725.75226444
15267.88946571,21012.76305655,14609.01469191
15044.30733526,20851.50691822,14587.25005974
14834.57542528,20836.66739628,14343.88190004
15140.26957709,21253.16331186,14126.23557837
15205.5634736,22016.90404066,14062.92028479
16002.94045211,22252.35778865,14024.33752776
16401.62894136,21803.21492483,13619.71322973
16169.14309775,21444.09849406,13530.67609814
15961.3897907,21011.77375509,13450.5426797
15040.35012941,20375.65291491,12844.10088339
13974.87245465,18926.32627283,12331.64272598
12749.12794302,18174.45716158,12889.60875065
11299.80130094,17068.41812687,11248.35762491
10957.50299503,17144.59433946,10940.68487017
10865.49795904,16973.4451865,10910.01652484
10870.44446636,17060.50371517,10813.06498155
10993.11784766,17438.41687372,10846.70123126
11533.27644601,18209.08271275,11382.90262376
13395.14179782,20719.92982375,12773.86047958
14842.48983698,22839.01355572,14307.27774594
15043.3180338,22891.44653322,14747.51689661
15248.10343647,22582.78447702,14879.09399108
15335.16196514,22424.49624307,15031.44641625
15182.80953997,22149.47043659,15140.26957709
15040.35012941,21971.3961734,14563.50682465
14829.62891797,21976.34268071,14738.61318345
14564.49612611,22367.11675827,14488.31991352
14315.19215764,22791.52708554,14448.74785503
14391.36837023,22924.09348147,14420.05811263
14674.30858841,22830.10984256,14271.66289331
14621.87561091,22314.68378077,14049.07006432
14796.98196972,22041.63657721,13867.03859528
14744.54899222,21294.71397327,13787.8944783
13873.96370551,20036.32251339,13311.05117354
12799.58231759,19255.76365973,12828.27206
12066.50993412,18244.69756539,12158.5149701
11533.27644601,17324.64720557,11349.26637405
11055.44383978,16943.76614263,11255.28273514
11031.70060469,16653.90081422,11265.17574976
11218.67858104,16552.99206508,11123.70564067
11437.31420418,16947.72334848,10910.01652484
11934.93283965,17813.36212788,11208.78556642
13360.51624664,19746.45718497,12887.63014773
14863.26516768,21359.01856831,14239.01594505
