x1,x2,x3
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,4.723e-5
-0.0,0.0,0.01236125
0.00021384,0.0,0.10379665
0.06073949,0.0,0.20713291
0.21630925,0.0,0.35444366
0.3532336,0.00035765,0.54186957
0.49890204,0.08409992,0.68428616
0.63257808,0.20728221,0.78738253
0.69490917,0.27915265,0.80229645
0.71969111,0.32655562,0.75070337
0.69397293,0.31659877,0.65329978
0.60048492,0.26199607,0.57989672
0.47881429,0.15542715,0.4927944
0.34334318,0.01507832,0.38947642
0.18716576,3.8e-7,0.29104305
0.05193647,0.0,0.18428517
0.0001863,0.0,0.10420028
-0.0,0.0,0.00642808
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,6.069e-5
-0.0,0.0,0.01662822
0.00018524,0.0,0.0962753
0.05537446,0.0,0.18643071
0.14876825,0.0,0.3051274
0.22515746,0.00047844,0.43231651
0.3005018,0.08073507,0.54171818
0.3656984,0.21231117,0.61124097
0.38639109,0.3055943,0.62545857
0.39707275,0.34934804,0.59628046
0.33077615,0.35722633,0.57093697
0.26652905,0.27968062,0.50273902
0.21472503,0.17482336,0.46464424
0.13600653,0.01592234,0.34802704
0.06612753,1.0e-6,0.25889897
0.02283958,0.0,0.16545284
0.00011457,0.0,0.08656627
-0.0,0.0,0.00700124
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,5.464e-5
-0.0,0.0,0.01179837
5.181e-5,0.0,0.08890107
0.02042351,0.0,0.17544009
0.13256622,0.0,0.29656468
0.26938712,0.0004549,0.4269625
0.4089282,0.05094457,0.56521105
0.52792705,0.12608219,0.64098885
0.59321845,0.18392229,0.69803824
0.58848728,0.20134782,0.72284784
0.54120264,0.18546876,0.6854045
0.4686384,0.14739485,0.62664214
0.3821017,0.07673735,0.53187905
0.28327094,0.00414408,0.41315019
0.17090398,4.1e-7,0.29939575
0.0503999,0.0,0.18677574
6.703e-5,0.0,0.10174001
-0.0,0.0,0.00886354
-0.0,0.0,8.0e-8
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,9.367e-5
-0.0,0.0,0.02107005
9.416e-5,0.0,0.12184152
0.04311635,0.0,0.23129508
0.16341112,0.0,0.38082496
0.24405761,0.00022841,0.52074214
0.33829279,0.0200178,0.65473979
0.4118372,0.05918037,0.74886423
0.44927687,0.0764849,0.79671109
0.45528921,0.0891907,0.76987386
0.44507933,0.07957661,0.68699048
0.39940981,0.05480477,0.60553919
0.3500468,0.02358286,0.50871108
0.2449838,0.00244974,0.41107317
0.1386948,1.11e-6,0.32345859
0.02526731,0.0,0.21080504
3.503e-5,0.0,0.12342033
-0.0,0.0,0.01049559
-0.0,0.0,2.5e-7
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.00011488
-0.0,0.0,0.02125076
6.245e-5,0.0,0.13095067
0.03950204,0.0,0.24331407
0.13600633,0.0,0.40069837
0.25000781,0.00023392,0.51877549
0.35943122,0.01945028,0.62032842
0.43487272,0.06771949,0.71063161
0.47410034,0.0988109,0.71140175
0.42842509,0.12128042,0.68139079
0.39132165,0.1250643,0.64252166
0.31882819,0.09501839,0.59644707
0.24512025,0.05212056,0.50406181
0.18065966,0.00604014,0.41366307
0.10151548,2.58e-6,0.29685281
0.01538058,0.0,0.1841533
2.049e-5,0.0,0.10244809
-0.0,0.0,0.0093085
-0.0,0.0,5.6e-7
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.00013644
-0.0,0.0,0.02249753
4.557e-5,0.0,0.10233822
0.0335075,0.0,0.19417586
0.10754529,0.0,0.31022449
0.17690265,0.00045839,0.4434146
0.26625526,0.0601086,0.55226805
0.35166678,0.16210971,0.62689768
0.36300733,0.21382121,0.66897536
0.38459464,0.24275258,0.66329559
0.35621699,0.21106001,0.61494436
0.31891675,0.16905104,0.54708264
0.27096141,0.1012391,0.50515886
0.22107163,0.01403321,0.37809978
0.12717706,8.08e-6,0.28280299
0.03032677,0.0,0.1696464
1.834e-5,0.0,0.08934344
-0.0,0.0,0.0102243
-0.0,0.0,1.4e-6
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.00016032
0.0,0.0,0.02233004
1.942e-5,0.0,0.09880818
0.0321521,0.0,0.18860835
0.18385803,0.0,0.32046869
0.33734748,0.00074516,0.4664728
0.50459124,0.09027356,0.60967563
0.58815313,0.21171947,0.72196118
0.63694713,0.26924238,0.77022001
0.61286321,0.30125191,0.78970501
0.52830528,0.31879493,0.72896408
0.41661883,0.27443944,0.65548112
0.30015548,0.19218563,0.55294247
0.22805896,0.04540316,0.46455345
0.13284837,1.981e-5,0.34511186
0.02526508,0.0,0.21836068
1.151e-5,0.0,0.12577229
0.0,0.0,0.01241026
0.0,0.0,2.42e-6
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
