x1,x2,x3
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,8.02e-6
-0.0,0.0,0.03994579
0.00036272,0.0,0.17547338
0.04387283,0.0,0.29694746
0.16208152,0.0,0.42783143
0.31137369,0.00022846,0.50492367
0.46688788,0.06708882,0.5605553
0.5959792,0.23758103,0.59014371
0.64036481,0.31974957,0.6270942
0.61363385,0.33833616,0.60708499
0.50551495,0.30920712,0.60536984
0.37410571,0.21933748,0.53056032
0.20388111,0.04363785,0.48090335
0.11061292,2.792e-5,0.37386765
0.05458005,0.0,0.23823416
0.0107364,0.0,0.15212083
0.00115554,0.0,0.0838136
5.0e-8,0.0,0.00828857
-0.0,0.0,0.0026986
-0.0,0.0,2.968e-5
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,1.401e-5
-0.0,0.0,0.03613673
0.00019056,0.0,0.1548809
0.00662821,0.0,0.2797168
0.01340222,0.0,0.45040502
0.02085485,0.00030548,0.59981273
0.0322388,0.12861228,0.74592999
0.03775697,0.35153218,0.81512358
0.04117555,0.45548097,0.8684005
0.04129636,0.46969477,0.82619239
0.03730945,0.39222586,0.70270001
0.11631276,0.25052182,0.64047533
0.20305555,0.03986353,0.5924453
0.12174386,3.524e-5,0.47609534
0.10010224,0.0,0.31478995
0.01739165,0.0,0.21503661
0.00061985,0.0,0.13167863
-0.0,0.0,0.00592123
-0.0,0.0,0.00030349
-0.0,0.0,1.875e-5
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,2.741e-5
-0.0,0.0,0.05096127
0.00016892,0.0,0.18628026
0.01526251,0.0,0.32593469
0.0277143,0.0,0.47709142
0.0561846,7.924e-5,0.63527182
0.12227436,0.00494937,0.76723227
0.20306746,0.01136028,0.87371915
0.32883183,0.02127798,0.93156946
0.43014254,0.03175006,0.91554543
0.44462832,0.03071758,0.81819584
0.43625965,0.02804473,0.66445859
0.36269344,0.00902635,0.59393837
0.26598026,4.359e-5,0.49638441
0.13802811,0.0,0.3857782
0.01525599,0.0,0.24300274
0.00071831,0.0,0.14337186
-0.0,0.0,0.00807302
-0.0,0.0,0.00068935
-0.0,0.0,2.133e-5
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,4.317e-5
-0.0,0.0,0.05635257
0.00023211,0.0,0.18769547
0.10014356,0.0,0.32778327
0.22597518,0.0,0.49601788
0.30632771,0.00013778,0.65828986
0.42013984,0.00799646,0.79677856
0.48194835,0.01962119,0.89787961
0.57249596,0.02691011,0.9570133
0.57627577,0.02866312,0.97242564
0.51656938,0.02632669,0.93731355
0.46453011,0.01463139,0.85916977
0.33798853,0.00575093,0.74478314
0.25748284,5.533e-5,0.59671966
0.14174923,0.0,0.43233318
0.01363501,0.0,0.26454055
0.00064524,0.0,0.15542639
-0.0,0.0,0.0092898
-0.0,0.0,0.00077288
-0.0,0.0,1.7e-5
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,6.584e-5
-0.0,0.0,0.06119384
0.00014073,0.0,0.1905061
0.06271257,0.0,0.32720749
0.14742879,0.0,0.48590499
0.22877568,0.00019842,0.62933818
0.36762194,0.02160862,0.77019482
0.34353586,0.03356649,0.85375607
0.30736087,0.05512268,0.90835871
0.30758877,0.13089648,0.92475913
0.25679776,0.10459348,0.86499236
0.14890043,0.09411329,0.81771229
0.11739772,0.033001,0.69994702
0.06841013,0.00010771,0.54977125
0.03808882,0.0,0.38574979
0.00652476,0.0,0.23784531
0.00033174,0.0,0.12444697
-0.0,0.0,0.01159269
-0.0,0.0,0.00358861
-0.0,0.0,6.935e-5
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,9.284e-5
-0.0,0.0,0.05252549
7.553e-5,0.0,0.16313015
0.05865478,0.0,0.30322284
0.20097406,0.0,0.47852883
0.3650745,0.0001819,0.63512466
0.48074493,0.01106686,0.75938765
0.6236981,0.02449727,0.85236473
0.64313985,0.03530173,0.92386111
0.67119749,0.06336772,0.9081434
0.5673652,0.04634341,0.85772777
0.42508693,0.03647707,0.80506888
0.28575295,0.01441132,0.64699623
0.14001406,0.00015303,0.52237108
0.08729565,0.0,0.38128887
0.00812537,0.0,0.24308873
0.00027145,0.0,0.11563141
-0.0,0.0,0.01063117
-0.0,0.0,0.0015008
-0.0,0.0,5.348e-5
-0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.00011216
0.0,0.0,0.04764453
5.832e-5,0.0,0.1366043
0.07192248,0.0,0.2166295
0.1480943,0.0,0.20604106
0.16269707,0.00029999,0.33995244
0.2127183,0.0241817,0.5084539
0.23042688,0.05824379,0.55786543
0.31746038,0.15402417,0.56150132
0.30353595,0.13704042,0.59774595
0.32434063,0.17086656,0.5159473
0.2476703,0.14041388,0.45633638
0.15527179,0.06864874,0.36887889
0.09224803,0.00034335,0.35911633
0.05952969,0.0,0.28112313
0.00751286,0.0,0.16049329
0.00028334,0.0,0.08013964
0.0,0.0,0.01240861
0.0,0.0,0.00368312
0.0,0.0,8.202e-5
0.0,0.0,0.0
