x1,x2,x3
-0.0,0.0,0.0
-0.0,0.0,0.00012833
-0.0,0.0,0.01366744
-0.0,0.0,0.10783829
0.00183042,0.0,0.17622468
0.06859922,0.0,0.29434276
0.13728956,0.0,0.42738782
0.16794989,0.0,0.56594318
0.22697857,0.00083047,0.6827923
0.27661753,0.05718523,0.766562
0.28192893,0.19693264,0.81688159
0.29520072,0.25202939,0.82869461
0.30552459,0.19732751,0.80179012
0.30090313,0.05917949,0.73471166
0.26909087,0.00079164,0.63578914
0.19912599,0.0,0.51561874
0.12852219,0.0,0.38435988
0.02742231,0.0,0.24838105
1.524e-5,0.0,0.16370415
-0.0,0.0,0.07894661
-0.0,0.0,0.00177792
-0.0,0.0,8.0e-7
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.00017706
-0.0,0.0,0.01529836
-0.0,0.0,0.1226727
0.00088357,0.0,0.1884957
0.02584038,0.0,0.30520377
0.05783285,0.0,0.44007676
0.07605509,0.0,0.55917714
0.09436565,0.00083385,0.66095497
0.10724311,0.03196725,0.75270784
0.11569821,0.11057277,0.80282956
0.13414135,0.17572379,0.80407488
0.17230736,0.1444572,0.74829487
0.16563673,0.05608605,0.60726651
0.11283065,0.00103521,0.45829889
0.07682942,0.0,0.32817751
0.02519993,0.0,0.21610977
0.00487736,0.0,0.12857719
1.91e-6,0.0,0.06951906
-0.0,0.0,0.02832085
-0.0,0.0,0.00155563
-0.0,0.0,1.51e-6
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.00019379
-0.0,0.0,0.01011317
-0.0,0.0,0.06455803
0.00027166,0.0,0.12573194
0.01851421,0.0,0.20876714
0.06294252,0.0,0.32465364
0.12985807,0.0,0.48085343
0.1822381,0.00100651,0.60476432
0.2563608,0.04137811,0.72414547
0.27604048,0.09461185,0.76433348
0.27487128,0.0976985,0.78801245
0.32058309,0.0635224,0.77668349
0.28401218,0.02607909,0.70899879
0.23448403,0.00085162,0.60270965
0.150792,0.0,0.48439012
0.09332538,0.0,0.36171153
0.01559635,0.0,0.24245405
2.9e-7,0.0,0.16336469
-0.0,0.0,0.0883217
-0.0,0.0,0.00276581
-0.0,0.0,3.69e-6
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.00030821
-0.0,0.0,0.01924807
-0.0,0.0,0.11957081
0.00040954,0.0,0.17554143
0.05012837,0.0,0.29116973
0.14496003,0.0,0.42932719
0.22555274,0.0,0.52247607
0.29387511,0.00054057,0.63591071
0.33158483,0.00932356,0.65475497
0.39103878,0.02372001,0.65220907
0.3713408,0.03063795,0.68297209
0.37251508,0.02105077,0.68390927
0.33436402,0.01106868,0.61609375
0.28209601,0.00054421,0.51101386
0.24477625,0.0,0.40780373
0.15000219,0.0,0.32362082
0.01571913,0.0,0.20831589
2.0e-8,0.0,0.13267776
-0.0,0.0,0.08253849
-0.0,0.0,0.00319519
-0.0,0.0,6.09e-6
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.00035943
-0.0,0.0,0.02056152
-0.0,0.0,0.12549672
0.00057366,0.0,0.18897158
0.06625614,0.0,0.30307222
0.16652323,0.0,0.44164984
0.26030223,0.0,0.56927603
0.34859761,0.00087178,0.68101855
0.36612171,0.02020617,0.76434281
0.30984931,0.03798676,0.8153189
0.30009051,0.04767062,0.82734327
0.24792106,0.03319512,0.80056666
0.21811299,0.01463746,0.7372442
0.19468813,0.00087143,0.64101502
0.13460858,0.0,0.52031649
0.0761154,0.0,0.38148326
0.0079125,0.0,0.24482116
-0.0,0.0,0.15925497
-0.0,0.0,0.07702455
-0.0,0.0,0.00284627
-0.0,0.0,1.086e-5
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,1.0e-8
-0.0,0.0,0.00048056
-0.0,0.0,0.0225158
-0.0,0.0,0.11155479
0.00031354,0.0,0.17249566
0.01890586,0.0,0.2752248
0.04577622,0.0,0.38809439
0.05511363,0.0,0.48570226
0.07811244,0.00080526,0.58977345
0.08753034,0.01542861,0.6743843
0.10233159,0.04286422,0.72824731
0.10757221,0.03802576,0.75337064
0.09761842,0.04887986,0.73441449
0.08892629,0.02808976,0.67782274
0.10207903,0.0010083,0.59168781
0.08953728,0.0,0.4832619
0.04933398,0.0,0.32624219
0.00604227,0.0,0.18562525
-0.0,0.0,0.10325302
-0.0,0.0,0.05598659
-0.0,0.0,0.00402509
-0.0,0.0,1.734e-5
-0.0,0.0,0.0
-0.0,0.0,0.0
0.0,0.0,9.0e-8
0.0,0.0,0.0004517
0.0,0.0,0.01433315
0.0,0.0,0.07551857
0.00020553,0.0,0.1354555
0.07181457,0.0,0.24871328
0.21896736,0.0,0.38455686
0.30264168,0.0,0.52923203
0.39801562,0.00119072,0.64287872
0.44625759,0.02362099,0.74268065
0.48919703,0.05895333,0.79325298
0.47430066,0.06562725,0.81558002
0.43067401,0.04998094,0.79730692
0.35619076,0.02432533,0.73793392
0.27750837,0.00123497,0.64658157
0.20916438,0.0,0.52749814
0.11701883,0.0,0.39342883
0.0059955,0.0,0.25760602
0.0,0.0,0.17193538
0.0,0.0,0.10058719
0.0,0.0,0.00506131
0.0,0.0,1.725e-5
0.0,0.0,0.0
0.0,0.0,0.0
