x1,x2,x3
-0.0,0.0,0.0
-0.0,0.0,0.00025145
-0.0,0.0,0.00732253
-0.0,0.0,0.0460199
1.624e-5,0.0,0.11648017
0.00610436,0.0,0.17426801
0.04070109,0.0,0.27025575
0.08993547,0.0,0.31326107
0.14596269,0.00017762,0.38362238
0.1917464,0.02661492,0.43720309
0.20906287,0.07803806,0.4816115
0.19282318,0.11056588,0.51712717
0.20839726,0.12081442,0.4984515
0.20909907,0.09044233,0.4788638
0.22277219,0.0378101,0.42482494
0.17841214,0.00135396,0.37453174
0.14897946,0.0,0.29816889
0.08500706,0.0,0.22295096
0.00362422,0.0,0.133097
-0.0,0.0,0.08344233
-0.0,0.0,0.03406604
-0.0,0.0,0.00185453
-0.0,0.0,3.89e-6
-0.0,0.0,0.0
-0.0,0.0,1.2e-7
-0.0,0.0,0.00041398
-0.0,0.0,0.01109809
-0.0,0.0,0.05971942
4.79e-6,0.0,0.12565656
0.00462908,0.0,0.18349214
0.04321417,0.0,0.28558849
0.07594872,0.0,0.42733738
0.14939402,0.00015848,0.52775718
0.2290403,0.01947595,0.60692366
0.29723695,0.05565649,0.60424874
0.31227654,0.10279684,0.6006611
0.26326726,0.12673561,0.53665522
0.21378056,0.10384416,0.44675129
0.17697771,0.03792889,0.44948015
0.15122442,0.00179031,0.33895472
0.09889948,0.0,0.29244277
0.06309013,0.0,0.23033136
0.002123,0.0,0.1605156
-0.0,0.0,0.12066855
-0.0,0.0,0.06454884
-0.0,0.0,0.00412306
-0.0,0.0,3.143e-5
-0.0,0.0,0.0
-0.0,0.0,8.6e-7
-0.0,0.0,0.00087232
-0.0,0.0,0.01972323
-0.0,0.0,0.07300816
4.46e-6,0.0,0.1532852
0.00460054,0.0,0.21721114
0.06250543,0.0,0.3225831
0.14375518,0.0,0.39781957
0.23687894,9.854e-5,0.51024924
0.28781647,0.00911431,0.61670613
0.30616452,0.05654749,0.68018904
0.33208232,0.1174946,0.71106059
0.38441245,0.12850927,0.64519808
0.36585992,0.07997659,0.60575193
0.28788178,0.0119661,0.54434609
0.19544956,0.00026306,0.48987861
0.13025589,0.0,0.40958447
0.067283,0.0,0.33710546
0.00236811,0.0,0.23918844
-0.0,0.0,0.17653451
-0.0,0.0,0.08911156
-0.0,0.0,0.00593452
-0.0,0.0,7.347e-5
-0.0,0.0,0.0
-0.0,0.0,2.81e-6
-0.0,0.0,0.0007775
-0.0,0.0,0.00771232
-0.0,0.0,0.04531888
3.02e-6,0.0,0.12193593
0.00703237,0.0,0.18449728
0.1068453,0.0,0.25929408
0.20319977,0.0,0.31857423
0.31868964,0.00013281,0.43802012
0.40431533,0.00657094,0.5262432
0.42742059,0.02704731,0.6508494
0.41813012,0.05438681,0.64784169
0.39769644,0.06114342,0.57931843
0.36648709,0.0340173,0.62069195
0.31922847,0.01373231,0.6005072
0.24506653,0.00084845,0.54883557
0.14754396,0.0,0.41754239
0.07380889,0.0,0.29016473
0.00182081,0.0,0.18437655
-0.0,0.0,0.14057115
-0.0,0.0,0.068901
-0.0,0.0,0.00544025
-0.0,0.0,0.00010926
-0.0,0.0,0.0
-0.0,0.0,7.83e-6
-0.0,0.0,0.00145833
-0.0,0.0,0.02392803
-0.0,0.0,0.08483382
1.44e-6,0.0,0.17536065
0.00639459,0.0,0.25696623
0.09057651,0.0,0.39341242
0.16181947,0.0,0.53340985
0.23405918,0.0001098,0.6872686
0.30928928,0.0053072,0.79601041
0.38184037,0.03391693,0.88029655
0.39016243,0.08133979,0.90569046
0.38827848,0.08300773,0.87897649
0.36739805,0.05571506,0.82393479
0.30546269,0.01252589,0.72802948
0.25303268,0.00088931,0.63604243
0.16853009,0.0,0.51204651
0.08744047,0.0,0.35501234
0.00137443,0.0,0.20978794
-0.0,0.0,0.14029478
-0.0,0.0,0.05089415
-0.0,0.0,0.00378245
-0.0,0.0,0.00014035
-0.0,0.0,0.0
-0.0,0.0,1.414e-5
-0.0,0.0,0.00148446
-0.0,0.0,0.0219159
-0.0,0.0,0.07332525
5.2e-7,0.0,0.15236148
0.0028827,0.0,0.20047796
0.05178687,0.0,0.32987253
0.12984975,0.0,0.44100651
0.1960904,0.00014357,0.5474037
0.25149092,0.0114167,0.62308603
0.27032232,0.03713561,0.70822174
0.29975764,0.08475139,0.69695895
0.29636917,0.08318452,0.69154115
0.28135519,0.05739675,0.64719859
0.27650193,0.02346271,0.56435807
0.20814128,0.00177165,0.51686048
0.13051105,0.0,0.40892379
0.0610635,0.0,0.25578227
0.00082777,0.0,0.16623727
-0.0,0.0,0.12215505
-0.0,0.0,0.05898292
-0.0,0.0,0.0059039
-0.0,0.0,0.0002732
-0.0,0.0,2.8e-7
0.0,0.0,3.086e-5
0.0,0.0,0.00165805
0.0,0.0,0.02151995
0.0,0.0,0.06567549
4.0e-8,0.0,0.13620159
0.0022686,0.0,0.20273307
0.08356478,0.0,0.29655393
0.17120396,0.0,0.36772801
0.27097043,0.00017047,0.39921504
0.30785842,0.00926266,0.51054635
0.3344399,0.03080507,0.59228502
0.307006,0.08119173,0.6647753
0.27840871,0.07435622,0.67925131
0.27830778,0.04817303,0.65274053
0.25397435,0.01405828,0.59140961
0.1871352,0.00084595,0.46484359
0.11310303,0.0,0.37108826
0.04359231,0.0,0.27471361
0.00045827,0.0,0.19381551
0.0,0.0,0.12685661
0.0,0.0,0.06762133
0.0,0.0,0.00696331
0.0,0.0,0.0003433
0.0,0.0,8.7e-7
