x1,x2,x3
0.1271034,0.75426657,0.22944656
0.11892074,0.75430165,0.21742867
0.11572383,0.75537151,0.20751144
0.10743872,0.75228606,0.21023041
0.1060003,0.74721945,0.21167734
0.10013865,0.73611292,0.17269039
0.09579091,0.71766887,0.12925839
0.09139607,0.69685693,0.11779541
0.09512869,0.67165502,0.12930581
0.10949452,0.6357727,0.16832053
0.11271463,0.57729742,0.17728275
0.12609843,0.55712376,0.19456182
0.12572133,0.5541072,0.22500542
0.13103541,0.50418518,0.24962513
0.14015734,0.46220556,0.28006102
0.13749743,0.44951975,0.30057142
0.13911625,0.44256199,0.30256098
0.16423674,0.44405674,0.30092818
0.20315871,0.47636288,0.31793311
0.25014455,0.53179185,0.34549708
0.29778602,0.56240868,0.35586477
0.32305371,0.56927837,0.36677464
0.40204564,0.56882158,0.37981683
0.38824049,0.55590042,0.38083675
0.36916524,0.53619899,0.36715718
0.34572089,0.521199,0.33648789
0.32887632,0.52742879,0.33042096
0.33833218,0.54760657,0.33429446
0.33432921,0.55168067,0.31095655
0.31026877,0.5556806,0.2312515
0.28506837,0.58469675,0.16816239
0.29008831,0.62923817,0.1318731
0.32217638,0.66086524,0.12461626
0.37070422,0.66944484,0.12993439
0.3619215,0.64317111,0.11488461
0.43820534,0.63296618,0.12325115
0.49543486,0.64718119,0.12577373
0.5690624,0.66934478,0.13412339
0.62140781,0.6760365,0.15393555
0.64150891,0.65819547,0.1815719
0.6626854,0.62038095,0.20613579
0.70051195,0.58392401,0.21113544
0.74406534,0.55798722,0.21213808
0.78714916,0.53735872,0.21819354
0.82040648,0.51610709,0.22004302
0.84651167,0.47898903,0.20721434
0.86611399,0.45377747,0.21874539
0.87419917,0.44613437,0.20140983
0.87049638,0.43972818,0.17488174
0.86117047,0.44775375,0.15839273
0.85034129,0.45310469,0.14508362
0.83419056,0.42928173,0.13166369
0.82324977,0.40532227,0.11188446
0.80885104,0.39084716,0.08409314
0.78531989,0.3815018,0.0633944
0.76742358,0.37591545,0.05957557
0.78667084,0.37228104,0.06584254
0.82212724,0.35198801,0.07755298
0.79738493,0.31064503,0.07121176
0.82006107,0.30605816,0.10523215
0.83498088,0.30889269,0.15575292
0.83318615,0.32068415,0.21214005
0.82336127,0.34168822,0.27916492
0.79510105,0.35954834,0.32553444
0.78714285,0.3695902,0.34813908
0.78776361,0.36436099,0.34915443
0.79644835,0.34572515,0.36531271
0.79145254,0.33109824,0.39343903
0.77744882,0.3199404,0.4037177
0.76301646,0.31811887,0.41454988
0.72888812,0.27289963,0.45781455
0.70750574,0.26189405,0.4251093
0.67807762,0.25593427,0.39688338
0.64448774,0.25613083,0.37507873
0.61523585,0.25516605,0.35173527
0.59976664,0.25849505,0.34091194
0.59763509,0.27682199,0.32955592
0.59329536,0.29182602,0.2981428
0.58469081,0.29370598,0.2849938
0.59015228,0.29977915,0.30717905
0.59254578,0.31148827,0.35954217
0.57842228,0.30217104,0.44404265
0.52177291,0.27361419,0.43477146
0.5022541,0.26640164,0.48604134
0.48709459,0.25586362,0.51211692
0.47659951,0.26946298,0.53401114
0.46026128,0.2964262,0.56084536
0.43978739,0.33889985,0.59133739
0.41459482,0.38617834,0.59820215
0.39528173,0.4090421,0.59213802
0.38161406,0.42106306,0.61001745
0.37560079,0.42739771,0.63107946
0.36797664,0.41901031,0.62726954
0.36059996,0.41998521,0.60329537
0.3761834,0.34678052,0.58863468
0.3427451,0.3597124,0.56463432
0.3014336,0.38314237,0.5284661
0.2804358,0.38989601,0.50654261
0.27987312,0.38509234,0.48389196
0.2877953,0.37938966,0.45320126
0.30174868,0.37832474,0.39444189
0.3249599,0.38395805,0.30489615
0.34678725,0.39094059,0.25449358
0.36884067,0.40461877,0.23487813
0.4064019,0.41800683,0.23630622
0.42871708,0.40837535,0.26016171
0.40494377,0.34956563,0.22337371
0.41612084,0.32291293,0.24222721
0.42482881,0.29980172,0.27369598
0.42829559,0.29484727,0.30629913
0.42114678,0.30931836,0.33044403
0.41656537,0.34329781,0.34478251
0.40977249,0.38133957,0.34214209
0.40578155,0.40237642,0.35064594
0.40874086,0.40735639,0.38171418
0.41568596,0.40861044,0.42728536
