x1,x2,x3
0.70601028,0.39220988,0.30142083
0.70880038,0.37614527,0.28159232
0.70988666,0.34720026,0.27119624
0.67530183,0.31612998,0.25221511
0.64739699,0.28183991,0.25200658
0.64999844,0.24535215,0.25884467
0.6234975,0.21442127,0.24555075
0.59437805,0.18236043,0.26624716
0.57986076,0.16186407,0.28700437
0.57255567,0.15219725,0.30973909
0.48750386,0.11659967,0.32738777
0.4860325,0.10539525,0.35683329
0.54567545,0.09435118,0.37378871
0.56890043,0.08815845,0.38219664
0.57478762,0.09302687,0.385103
0.59326572,0.10716275,0.39816599
0.55511182,0.13251701,0.41269867
0.54111581,0.17329695,0.41561033
0.50525795,0.22577886,0.43137548
0.48968645,0.28801347,0.44433965
0.48151038,0.34369865,0.45055104
0.48075261,0.39652869,0.45095146
0.54015151,0.45666335,0.50380888
0.53281595,0.53080183,0.4409421
0.51206393,0.59495926,0.37588642
0.48858397,0.66105852,0.3313871
0.49206676,0.72663047,0.31196707
0.49326102,0.76709797,0.31500837
0.52490082,0.80374365,0.31265329
0.6042951,0.84998305,0.28737482
0.69096489,0.89400664,0.21952466
0.7801382,0.92008409,0.17217994
0.84390389,0.93328294,0.13695393
0.89330119,0.9408598,0.11901689
0.92287233,0.95623208,0.11443567
0.94235138,0.9656487,0.11145933
0.95202136,0.9720087,0.09802179
0.95649994,0.97457133,0.08314604
0.94460724,0.9734537,0.08190825
0.94513533,0.97250586,0.09360585
0.94050211,0.96991862,0.11015193
0.9283741,0.96384881,0.1253306
0.90742999,0.95057554,0.13567785
0.87790779,0.93206756,0.13657478
0.84125299,0.91353173,0.12594309
0.81060188,0.89782154,0.10105902
0.79606589,0.84012894,0.08709589
0.80156501,0.81669293,0.07069315
0.77685597,0.80400853,0.06206013
0.76110313,0.77949887,0.05304892
0.7729667,0.72456505,0.04621218
0.75176302,0.67634675,0.04553963
0.75464176,0.61414489,0.04963075
0.79162566,0.58993307,0.05449616
0.8151501,0.57068662,0.04990731
0.83058922,0.55377855,0.04403472
0.8443675,0.5395681,0.04475536
0.83958825,0.49937174,0.04537444
0.84082638,0.42368044,0.03991163
0.84208567,0.38709548,0.04506619
0.85423667,0.37514379,0.05674209
0.83624989,0.37887903,0.07539237
0.83030728,0.38536702,0.10187468
0.83333584,0.40784347,0.12686513
0.7903412,0.43533689,0.1411039
0.75450163,0.43690658,0.1530333
0.71373717,0.41329378,0.1688648
0.69158868,0.38401736,0.18504248
0.6668065,0.35348435,0.19896786
0.63620229,0.28987377,0.20964394
0.57564477,0.2364998,0.19835803
0.55433471,0.20533176,0.1847189
0.52602887,0.19321056,0.18001294
0.49904052,0.18431231,0.17890483
0.47202969,0.19365443,0.18235824
0.44078462,0.22592237,0.19479872
0.41313999,0.231589,0.21121561
0.40072956,0.21411154,0.21296911
0.39657687,0.19134452,0.19473925
0.39928526,0.17085937,0.19307846
0.41497768,0.15910732,0.21165886
0.46647563,0.1476656,0.23800527
0.40918591,0.14309958,0.25139094
0.44485379,0.14906063,0.28149956
0.46381788,0.18013415,0.30634878
0.48543239,0.21688439,0.32613382
0.49236455,0.24987429,0.33571804
0.48481078,0.30874514,0.33397322
0.47107646,0.33491733,0.3388337
0.48308724,0.3618173,0.33251562
0.49879158,0.38084864,0.34261191
0.51628717,0.40020122,0.37226909
0.54456438,0.41247352,0.40957373
0.56356348,0.43778059,0.4402343
0.5849345,0.40417904,0.5473396
0.60337719,0.43357006,0.52189941
0.60569026,0.45414802,0.49721219
0.59888986,0.47112755,0.47680215
0.60378769,0.49033637,0.46016423
0.60785353,0.50118783,0.42992084
0.60446483,0.51387398,0.4142777
0.59181762,0.51503552,0.38945992
0.57849413,0.52045163,0.33921482
0.55662477,0.53326185,0.32260227
0.54524188,0.5364836,0.30959515
0.56926579,0.52666116,0.2815289
0.5805808,0.52568988,0.26764988
0.56644012,0.52862869,0.25715148
0.57157706,0.53652366,0.26724847
0.62708132,0.5163652,0.2926415
0.65416741,0.54209899,0.31683387
0.69364567,0.57746749,0.33465646
0.71981036,0.60097526,0.33524636
0.71155903,0.6035382,0.32083362
0.70410547,0.60086899,0.29826285
0.70797595,0.60176866,0.29035819
0.70158458,0.61141406,0.29172112
0.69847858,0.61889524,0.2834148
0.68235224,0.57137379,0.31781801
0.62750923,0.60824684,0.27280908
0.59020188,0.62590649,0.23232075
0.55378974,0.63794894,0.20010926
0.55551111,0.64449535,0.17094429
0.57325884,0.64670742,0.1412078
0.57281593,0.66268248,0.13259556
0.55178463,0.6780249,0.12985458
0.54574806,0.67921729,0.11927243
0.55360923,0.68560081,0.12536461
0.56127194,0.69175108,0.1394891
0.59534285,0.70077855,0.16276934
0.53521396,0.75098372,0.16556199
0.51547738,0.75841514,0.19089027
0.48554191,0.71747829,0.22013665
0.47513865,0.67191136,0.22798903
0.4868794,0.65363651,0.23163742
0.4968331,0.65339892,0.24826186
0.49658689,0.66867699,0.24047001
0.47627732,0.69600129,0.20489211
0.4425101,0.7260322,0.15958746
0.41908156,0.73955159,0.15950256
0.41151221,0.72323112,0.16925631
0.39834482,0.6908577,0.1659388
0.35414966,0.62942759,0.1485768
0.35397876,0.60659432,0.15431571
0.33151156,0.58446335,0.18093185
0.29310005,0.55744624,0.21334699
0.26411325,0.54908801,0.22109367
0.24817182,0.54447565,0.21942708
0.23595139,0.5587349,0.24291754
0.26819647,0.57671733,0.25589486
0.31235446,0.59227168,0.24105112
0.35844281,0.59878899,0.24250907
0.43137135,0.62219645,0.25181584
0.49607645,0.63905878,0.27580436
0.59777494,0.61880366,0.35715201
0.66763782,0.65582538,0.41637417
0.7475757,0.68893928,0.46555607
0.80322382,0.68578644,0.51170153
0.82214718,0.66604374,0.54055603
0.83640328,0.67455969,0.56191328
0.83574939,0.72118951,0.60200124
0.83370198,0.79307885,0.61612061
