x1,x2,x3
0.29336367,0.68544462,0.57978454
0.2747293,0.73491213,0.55544265
0.26558026,0.77361766,0.52579989
0.25577611,0.78868432,0.49965075
0.26301533,0.79504206,0.4565872
0.27341556,0.80632351,0.40071151
0.28990346,0.81532696,0.38136871
0.32458333,0.81601353,0.39118048
0.34492454,0.80636932,0.3968229
0.3646119,0.79476326,0.41752362
0.31307419,0.76281471,0.37653871
0.35451091,0.74570582,0.42449059
0.3949109,0.72757486,0.4512745
0.42236177,0.70910493,0.46418671
0.44016105,0.70713511,0.46124269
0.45792097,0.68136994,0.43715099
0.50984811,0.65536188,0.39781288
0.57430571,0.65655741,0.37940555
0.62862328,0.6418372,0.38045115
0.66101877,0.63183054,0.37107571
0.68376792,0.63021566,0.34713077
0.68761774,0.62352604,0.3055739
0.67324063,0.6150253,0.29027518
0.65322964,0.5891184,0.23760247
0.62747481,0.57403603,0.21470109
0.59641005,0.56133455,0.21187501
0.56565455,0.5022839,0.21357431
0.54503666,0.489688,0.23134459
0.52689168,0.46950797,0.24615754
0.53027541,0.46682823,0.22327571
0.5423301,0.44070677,0.20483797
0.59566755,0.42289374,0.20007461
0.62038928,0.4152212,0.20062969
0.60864322,0.41202649,0.20101255
0.46659625,0.37209249,0.21204682
0.53277525,0.37443386,0.21700572
0.60675109,0.36281473,0.23227884
0.63963175,0.34904904,0.24839381
0.6440841,0.30944085,0.2551663
0.63325069,0.26453938,0.25689111
0.64028646,0.21771525,0.25040423
0.64205933,0.1730208,0.25049189
0.63622001,0.14455151,0.25613761
0.62918727,0.12679726,0.25777749
0.61467908,0.12161746,0.26206797
0.5982907,0.12305972,0.27197901
0.55387343,0.12938336,0.34168968
0.51518079,0.14330202,0.3809887
0.49180084,0.14655941,0.40761648
0.48213295,0.14056765,0.42138994
0.46618536,0.13176388,0.42250678
0.44973665,0.12185109,0.41969905
0.44234967,0.11466116,0.4090872
0.43565635,0.10217173,0.39514182
0.44398083,0.08548558,0.38198588
0.45549516,0.07247943,0.39152765
0.47117426,0.06580617,0.4104467
0.49467427,0.06363475,0.44042715
0.53014018,0.07257063,0.43940747
0.52872783,0.06585948,0.46575462
0.57562261,0.06171927,0.48472704
0.62411519,0.06037842,0.4912856
0.67206975,0.06067826,0.48412077
0.70541674,0.05892638,0.45568272
0.71322363,0.05940454,0.41750947
0.70935011,0.05895465,0.3858978
0.71675029,0.05591826,0.38258737
0.72156833,0.04897534,0.38994698
0.72996601,0.04449977,0.40237837
0.74295075,0.04094831,0.38916512
0.74177725,0.04499716,0.37632217
0.73111643,0.04741612,0.32802233
0.75186935,0.05010062,0.29620462
