x1,x2,x3
0.7543142,0.71090017,0.6111246
0.75741169,0.68914936,0.58994316
0.75045778,0.65521614,0.57413582
0.73711844,0.62705571,0.57033658
0.72748759,0.58060145,0.56815078
0.7223095,0.53518407,0.57343367
0.69927348,0.51100571,0.56722981
0.67651678,0.50593487,0.58331883
0.65519146,0.49860379,0.5947546
0.64880739,0.49319296,0.57691025
0.61312984,0.52147741,0.493794
0.64284632,0.52892249,0.50395696
0.65997541,0.53887953,0.48896116
0.66149532,0.56552576,0.4610691
0.64139477,0.57503893,0.4408458
0.62530859,0.56057233,0.41196492
0.59523762,0.55514602,0.36634384
0.57989336,0.55309245,0.30992782
0.56755595,0.55872791,0.29215249
0.55855922,0.55733396,0.2896393
0.56008239,0.56211104,0.26979744
0.54200463,0.57148117,0.23302604
0.50279246,0.57280058,0.20032284
0.46357128,0.58344428,0.17881599
0.45784305,0.58775989,0.15200018
0.47717873,0.59209382,0.1315415
0.50163118,0.58230711,0.11963542
0.51349254,0.56844433,0.10563821
0.52278171,0.55454857,0.09133025
0.534984,0.54306601,0.09734268
0.53877589,0.53717693,0.13667369
0.5279722,0.53297765,0.20632917
0.50203656,0.53008606,0.25895106
0.47507129,0.5257586,0.28589414
0.39962096,0.54062477,0.2785894
0.40043364,0.50584027,0.31650674
0.40140236,0.48361063,0.34937334
0.38638374,0.47198751,0.37752754
0.36614628,0.47638971,0.40919798
0.33314255,0.48470391,0.4120315
0.32906513,0.48109661,0.40633152
0.33620468,0.47503616,0.39200832
0.3384785,0.47066855,0.37358648
0.34960801,0.46433484,0.35643343
0.3818398,0.46129252,0.33781738
0.38422848,0.45513702,0.3141733
0.38020226,0.44348431,0.2528088
0.3707837,0.45673475,0.24955101
0.36768721,0.46735532,0.24154376
0.36865926,0.47677729,0.23219082
0.36118437,0.48358984,0.22045292
0.35522528,0.47291988,0.20847023
0.35175174,0.46770333,0.19288367
0.35716006,0.46030477,0.18297967
0.36073112,0.44724655,0.16749193
0.36914092,0.44089557,0.15424266
0.38241848,0.43196726,0.14942958
0.44277163,0.43776699,0.14876589
0.49401068,0.46246522,0.14870017
0.53966214,0.47259601,0.18528539
0.567966,0.46232611,0.21876929
0.57138079,0.43821052,0.23538768
0.54616863,0.42310917,0.24530187
0.53041428,0.42386152,0.24658413
0.51621174,0.42075795,0.23570061
0.50552374,0.40688972,0.20724353
0.49611723,0.39570298,0.1757932
0.48272298,0.39229856,0.15132317
0.47949157,0.4034814,0.13304446
0.48253858,0.41759243,0.11411054
0.51139543,0.40379224,0.07584801
0.47931668,0.42362613,0.08539249
0.44534564,0.43420665,0.10715639
0.39676881,0.43775609,0.13248496
0.37256494,0.45434514,0.16344918
0.36848004,0.45955879,0.17849249
0.38343,0.45968976,0.17473507
0.4051442,0.45379753,0.16761982
0.42667455,0.4347032,0.15762199
0.44545417,0.41630474,0.15868018
0.48728481,0.39779072,0.17930934
0.52813897,0.38575231,0.1939699
0.52039171,0.39692809,0.17236033
0.56437172,0.40129763,0.19551687
0.59148069,0.40489484,0.20653198
0.58170346,0.39793075,0.20458143
0.55256227,0.38723036,0.19711061
0.53393097,0.38224515,0.19178885
0.51230739,0.36639801,0.18580277
0.48746946,0.35416556,0.17147692
0.47632247,0.34345721,0.16426119
0.47959314,0.34409812,0.17852752
0.47912751,0.3492546,0.20091584
0.46678047,0.35952999,0.22523749
0.44204393,0.39200724,0.25597196
0.46230151,0.40324079,0.2631018
0.48241076,0.40530957,0.26730179
0.49143353,0.40473065,0.27356087
0.50292049,0.4040323,0.2799445
0.51148382,0.40217071,0.28697288
0.51381649,0.39269944,0.28665382
0.52155741,0.36502975,0.29004891
0.5322188,0.3380891,0.30622648
0.52939809,0.33961243,0.33170973
0.5414076,0.31061096,0.37117341
0.5767779,0.29989445,0.40936935
0.56035913,0.28769677,0.41697145
0.59399533,0.29509153,0.44043019
0.59448939,0.29554568,0.45124985
0.58109784,0.2928816,0.45343358
0.56982403,0.29098697,0.44197365
0.53949818,0.29108842,0.40341981
0.49634027,0.28604708,0.37049225
0.47637497,0.30489025,0.35565131
0.46322845,0.31688845,0.3375811
0.4489906,0.32343829,0.32656093
0.4405226,0.32824371,0.30497761
0.41746552,0.33934787,0.29164491
0.36757114,0.34699419,0.28181631
0.33178357,0.37872014,0.28172279
0.31653114,0.38990002,0.29107932
0.33424589,0.38815168,0.31818846
0.35185541,0.37935578,0.33313157
0.37883779,0.3653901,0.33430555
0.38984405,0.34995511,0.32579918
0.38465613,0.34630493,0.30545943
0.38267407,0.35870427,0.29569087
0.38801613,0.36458634,0.29218963
0.42037274,0.37018937,0.30045393
0.46626144,0.3683997,0.30373271
0.47850615,0.36828238,0.27525295
0.50593786,0.36482656,0.28399066
0.54418492,0.35206742,0.3124062
0.57490022,0.35044663,0.33912844
0.57662093,0.35412443,0.36395696
0.56066602,0.34972187,0.36012713
0.53139328,0.35153753,0.35573718
0.50186272,0.37187689,0.33587949
0.47206454,0.41150706,0.31519581
0.45755935,0.43708745,0.28595638
0.45499461,0.45166229,0.26833445
0.43990008,0.46036486,0.25272053
0.46778342,0.48629807,0.2132046
0.42855161,0.50719627,0.19735559
0.38557326,0.51484702,0.20402264
0.36803853,0.52590074,0.21110733
0.36111935,0.54781758,0.21021947
0.37020827,0.57144857,0.20962198
0.37984521,0.59842584,0.21373288
0.40460273,0.62525367,0.21570233
0.39631647,0.65133732,0.21106165
0.36066926,0.67478399,0.21693164
0.33829078,0.69141321,0.23885313
0.32612718,0.70361169,0.25749846
0.35995189,0.71922499,0.25174208
0.34737196,0.73182607,0.26538082
0.35744457,0.72774113,0.2652868
0.383205,0.73262077,0.26086978
0.39350658,0.7519116,0.25022481
0.39280542,0.77340126,0.23685967
0.38762889,0.78370054,0.22535763
0.39484435,0.78923733,0.22341734
0.41095651,0.80032856,0.22170728
0.42290762,0.80372096,0.22225826
0.42855022,0.80684167,0.21598835
0.43112111,0.81321342,0.20186836
0.44553218,0.80941818,0.19697403
0.46755935,0.8095484,0.20526493
