x1,x2,x3
0.44735837,0.73004214,0.37332265
0.44881749,0.70023093,0.33676639
0.46333266,0.67389301,0.30512625
0.47868706,0.64816544,0.28958003
0.50373308,0.625557,0.27479085
0.52825833,0.5893629,0.24882698
0.5663215,0.56032634,0.2359464
0.60661218,0.53648056,0.23798009
0.63452362,0.52182797,0.2450314
0.66455501,0.5087007,0.25714487
0.6282636,0.4831172,0.26925978
0.63979757,0.49417232,0.28267216
0.63484148,0.50866476,0.29354523
0.63741577,0.51436633,0.30351887
0.65377751,0.52764321,0.30129737
0.64804568,0.52942256,0.28711998
0.64689391,0.52840493,0.26966401
0.63114484,0.51790319,0.25264454
0.61753001,0.50168099,0.25389397
0.60026213,0.49120323,0.26619844
0.57791991,0.47757325,0.28156449
0.54256362,0.45664154,0.28714369
0.5498784,0.39196018,0.28448467
0.53134717,0.38448346,0.25412183
0.52228922,0.37789782,0.22949332
0.51365157,0.36316971,0.20337086
0.49994779,0.3458602,0.17790108
0.49883193,0.33207806,0.16689074
0.49723304,0.32631141,0.15615821
0.51330318,0.3292633,0.1316909
0.53728805,0.34913452,0.10830747
0.55963,0.36614791,0.11597141
0.5698177,0.37474073,0.13961472
0.59342343,0.37627838,0.16713284
0.51689481,0.37900933,0.17406924
0.58835864,0.38888575,0.19381331
0.65778986,0.39509446,0.21023516
0.67680958,0.40527738,0.22830224
0.68901267,0.411626,0.2517404
0.68365539,0.40724219,0.27244607
0.67469079,0.39552631,0.291775
0.66288769,0.38119911,0.29011798
0.6446983,0.36605537,0.28767564
0.62138708,0.35154279,0.30833155
0.59300195,0.34135274,0.33402184
0.56961502,0.33558648,0.34701606
0.5698715,0.38627686,0.33201223
0.55204388,0.3744491,0.34309657
0.53536641,0.36592499,0.34606613
0.52758115,0.3625163,0.34721493
0.53514992,0.35800537,0.34290073
0.54203235,0.35489137,0.33586628
0.53751689,0.34797119,0.31688317
0.5335577,0.34063178,0.29984794
0.5377987,0.33432254,0.26053113
0.53887447,0.33177259,0.23045845
0.55670743,0.33708551,0.204834
0.57343001,0.34455608,0.18604857
0.5892303,0.35570982,0.16369851
0.58166671,0.34086837,0.15935655
0.59096551,0.33420993,0.16036485
0.61504922,0.32866464,0.16771938
0.6352026,0.32544399,0.17033246
