x1,x2,x3,x4
2207.51583261,2718.25472297,2236.61490495,3016.26936037
2152.32793679,2629.95408967,2202.49875117,2963.08829713
2135.2698599,2605.87209877,2152.32793679,2961.08146456
2160.35526709,2629.95408967,2156.34160194,3017.27277666
2277.75497274,2791.50411196,2213.53633033,3167.78521979
2678.11807147,3264.1131834,2642.9985014,3699.59585219
3075.47092134,3789.90331807,3061.42309331,4125.04435812
3389.54021934,4130.06143955,3387.53338677,4461.18881444
3569.15173481,4258.49872436,3548.07999277,4589.62609925
3582.19614655,4279.5704664,3541.05607876,4562.53385949
3574.16881625,4272.54655239,3532.02533217,4523.40062427
3548.07999277,4212.34157513,3485.86818295,4455.16831672
3621.32938177,4276.56021754,3551.09024164,4490.28788678
3588.21664428,4248.46456148,3513.963839,4457.17514929
3540.05266247,4236.42356603,3473.8271875,4414.02824893
3452.75544546,4230.40306831,3382.51630533,4355.83010425
3360.441147,4286.59438041,3292.20883945,4344.79252509
3311.27374891,4261.50897322,3238.02435992,4487.27763792
3295.21908831,4129.05802327,3165.77838722,4457.17514929
3389.54021934,4009.65148505,3113.60074027,4310.67637131
3307.26008376,3753.78033172,3066.44017475,4057.81546685
2947.03363653,3444.72811516,2985.16345546,3734.71542226
2616.90967793,3135.67589859,2677.11465518,3391.54705192
2408.19909012,2883.81841042,2425.25716701,3184.84329668
2258.69006327,2736.31621615,2304.8472125,3006.2351975
2213.53633033,2684.13856919,2252.66956555,2966.098546
2198.48508602,2670.09074117,2263.70714471,2947.03363653
2227.58415836,2704.20689495,2268.72422615,3010.24886265
2341.97361514,2839.66809376,2367.05902233,3183.83988039
2730.29571842,3281.17126029,2864.75350095,3677.52069387
3125.64173572,3816.99555784,3072.46067248,4118.0204441
3468.81010606,4136.08193728,3402.58463108,4466.20589588
3622.33279805,4257.49530807,3543.06291134,4590.62951554
3644.40795638,4266.52605466,3557.11073936,4576.58168751
3620.32596548,4247.4611452,3522.99458559,4543.46895002
3584.20297913,4168.19125848,3474.83060378,4448.14440271
3641.39770752,4230.40306831,3543.06291134,4502.32888223
3644.40795638,4186.25275166,3514.96725529,4453.16148414
3589.22006056,4162.17076075,3482.85793408,4392.95650689
3505.9365087,4174.21175621,3390.54363563,4351.8164391
3399.57438222,4241.44064747,3302.24300232,4347.80277395
3356.42748185,4232.40990088,3246.05169022,4519.38695912
3354.42064928,4113.00336266,3173.80571752,4507.34596367
3463.79302462,4003.63098732,3133.66906602,4367.8710997
3331.34207466,3748.76325028,3059.41626074,4119.02386039
2969.10879486,3406.59829623,2965.09512971,3742.74275256
2644.00191769,3081.49141906,2662.06341087,3415.62904282
2417.22983671,2858.73300323,2437.29816246,3274.14734627
2317.89162424,2787.49044681,2299.83013106,3159.75788949
2240.6285701,2709.22397638,2227.58415836,3120.62465428
2239.62515381,2682.13173662,2209.52266518,3120.62465428
2267.72080986,2696.17956465,2184.43725799,3154.74080806
2381.10685035,2847.69542406,2242.63540267,3251.06877166
2780.4665328,3309.26691634,2680.12490404,3497.9091784
3169.79205237,3804.95456239,3107.58024254,3729.69834082
3501.92284355,4137.08535357,3431.68370342,3940.41576121
3626.3464632,4275.55680125,3570.1551511,4006.64123618
3624.33963063,4272.54655239,3572.16198368,3997.6104896
3607.28155374,4265.52263837,3527.00825074,3952.45675666
3558.11415565,4177.22200507,3490.88526438,3899.27569342
3644.40795638,4224.38257058,3572.16198368,3920.34743546
3602.2644723,4193.27666567,3531.02191589,3905.29619114
3556.10732307,4192.27324938,3497.9091784,3894.25861198
3475.83402007,4172.20492363,3408.60512881,3849.10487904
3365.45822844,4224.38257058,3320.3044955,3861.14587449
3327.32840951,4212.34157513,3285.18492544,3943.42601007
3327.32840951,4143.10585129,3213.94236902,3920.34743546
3441.71786629,4020.68906421,3168.78863608,3841.07754874
3350.40698413,3777.86232262,3105.57340997,3711.63684764
2978.13954145,3433.69053599,3004.22836492,3537.04241361
2641.99508512,3108.58365883,2716.2478904,3355.42406556
2425.25716701,2823.61343316,2463.38698593,3106.57682625
2301.83696364,2808.56218885,2306.85404508,2985.16345546
2240.6285701,2731.29913471,2238.62173752,2934.99264108
2217.54999548,2727.28546956,2229.59099093,2910.91065018
2244.64223525,2739.32646501,2203.50216746,2962.08488085
2360.03510832,2878.80132898,2268.72422615,3130.65881715
2743.34013016,3290.20200687,2698.18639722,3596.24397458
3134.6724823,3819.00239041,3102.5631611,4007.64465247
3478.84426893,4120.02727668,3429.67687084,4338.77202736
3620.32596548,4255.4884755,3565.13806966,4483.26397277
3621.32938177,4235.42014975,3557.11073936,4453.16148414
3607.28155374,4217.35865657,3539.04924619,4406.00091863
3545.06974391,4145.11268387,3490.88526438,4322.71736676
3618.3191329,4235.42014975,3559.11757194,4355.83010425
3597.24739086,4190.26641681,3502.92625983,4293.61829442
3541.05607876,4176.21858878,3479.84768522,4257.49530807
3456.76911061,4140.09560243,3387.53338677,4201.30399597
3353.41723299,4199.29716339,3290.20200687,4197.29033082
3312.2771652,4198.29374711,3259.09610196,4343.7891088
3335.35573981,4082.90087404,3193.87404327,4352.81985539
3467.80668977,3984.56607786,3140.69298003,4212.34157513
3312.2771652,3756.79058058,3080.48800278,3951.45334037
