x1,x2,x3,x4
2617.28746954,3019.49209762,2737.5545397,3354.66262103
2526.59426909,2868.66536209,2669.53463936,3304.38704252
2505.89256029,2760.22783981,2582.78462154,3261.99782926
2514.7647212,2780.92954861,2527.58006474,3254.11146401
2558.13973011,2848.94944895,2497.02039937,3342.83307315
2783.88693558,3123.98643727,2521.6652908,3612.94108318
3384.23649074,3755.88145346,2699.10850907,4222.16279926
3809.11441894,4379.89010439,2949.50060597,4835.32769796
4119.64005092,4707.17426254,3259.04044229,5129.09480377
4231.03496017,4720.97540174,3409.86717783,4800.82484996
4205.40427309,4843.21406321,3483.80185211,5089.66297748
4408.47817844,4788.00950642,3494.64560433,5283.86472193
4285.25372131,4716.04642345,3499.57458262,5224.7169825
4386.79067399,4750.54927145,3539.99220456,5185.28515622
4303.98383879,4773.22257156,3540.97800022,5118.25105154
4107.81050304,4696.33051031,3552.8075481,4968.41011166
4089.08038555,4702.24528425,3608.0121049,4967.42431601
4256.66564725,5097.54934274,3944.16842396,5320.33916124
4160.05767286,5023.61466846,3981.62865893,5361.74257884
3980.64286327,4563.24809661,3730.25076638,5076.84763394
3869.24795402,4265.53780817,3499.57458262,4712.10324082
3601.1115353,4269.4809908,3346.77625577,4404.53499582
3261.01203361,3730.25076638,3223.55179864,4019.0888939
2965.27333648,3633.64279198,3012.59152802,3697.71950969
2766.14261376,3419.7251344,2847.96365329,3499.57458262
2669.53463936,3411.83876914,2744.4551093,3414.79615611
2615.31587822,3386.20808206,2711.92385262,3374.37853417
2637.00338268,3499.57458262,2730.6539701,3417.75354308
2689.2505525,3634.62858764,2821.34717055,3500.56037828
2945.55742334,3950.0831979,2941.61424072,3761.7962274
3494.64560433,4363.13157822,3406.90979085,4403.54920016
4013.17411996,5122.19423417,3964.87013276,4928.97828538
4263.56621685,5297.66586113,4249.76507766,5120.22264285
4402.5634045,5381.45849198,4321.72816062,5115.29366457
4566.20548358,5379.48690066,4418.33613502,5133.0379864
4492.2708093,5273.0209697,4461.71114393,5035.44421634
5322.31075255,5047.27376423,4383.83328702,4892.50384607
4601.69412723,5108.39309497,4394.67703925,4842.22826756
4529.73104426,4957.56635944,4333.55770851,4751.53506711
4406.50658713,4796.88166733,4192.58892954,4606.62310552
4329.61452588,4946.72260721,4140.34175972,4621.41004037
4396.64863056,5432.71986615,4328.62873022,4988.12602481
4357.21680428,5286.8221089,4242.86450806,5115.29366457
4141.32755538,4930.94987669,4070.35026807,4914.19135052
3991.4866155,4610.56628814,3894.87864111,4571.13446186
3725.32178809,4349.33043902,3745.03770123,4273.42417342
3386.20808206,4045.70537664,3581.39562216,3935.29626305
3078.63983705,3692.79053141,3289.60010766,3610.96949187
2787.83011821,3450.28479977,3054.98074128,3451.27059542
2713.89544393,3254.11146401,2938.65685374,3340.86148183
2676.43520896,3228.48077692,2882.46650129,3300.44385989
2681.36418725,3262.98362492,2894.29604918,3331.98932092
2734.59715273,3333.96091223,2917.95514495,3419.7251344
2985.97504528,3630.68540501,3063.85290219,3700.67689666
3652.37290947,4161.04346852,3538.02061325,4325.67134325
4139.35596406,4847.15724584,4094.00936384,4839.27088059
4302.99804314,4993.05500309,4345.38725639,5053.18853817
4333.55770851,4955.59476812,4421.29352199,4957.56635944
4371.01794348,5052.20274251,4516.91570072,5073.89024697
4376.93271742,5019.67148583,4498.18558324,5051.21694686
4315.81338668,4948.69419852,4424.25090896,5016.71409886
4375.94692176,4974.32488561,4441.00943513,5007.84193795
4304.96963445,4853.07201979,4368.0605565,4935.87885498
4111.75368566,4749.56347579,4222.16279926,4850.11463281
4128.51221183,4776.17995853,4152.1713076,4907.29078092
4347.35884771,5165.56924308,4311.87020405,5211.90163896
4205.40427309,5002.91295966,4225.12018623,5279.9215393
3992.47241116,4662.81345797,4022.04628087,5043.3305816
3972.75649802,4372.00373913,3837.702493,4713.08903648
3727.2933794,4103.86732041,3678.00359655,4364.11737388
3349.73364274,3812.07180591,3539.0064089,4015.14571127
3026.39266722,3470.98650856,3274.81317281,3695.74791838
2821.34717055,3266.92680755,3051.03755865,3511.40413051
2712.90964827,3153.56030699,2928.79889717,3429.58309097
2680.37839159,3114.1284807,2863.73638381,3414.79615611
2682.3499829,3166.37565053,2879.50911432,3414.79615611
2744.4551093,3225.52338995,2888.38127523,3488.73083039
2997.80459317,3466.05753028,3044.13698905,3746.02349689
3545.9069785,4097.95254647,3563.65130033,4355.24521296
3999.37298076,4827.4413327,4006.27355036,4922.07771578
4222.16279926,4929.96408104,4273.42417342,5153.73969519
4249.76507766,4984.18284218,4393.69124359,5149.79651257
4319.75656931,5029.5294424,4518.88729204,5194.15731713
4343.41566508,4922.07771578,4540.57479649,5139.93855599
4260.60882988,4822.51235442,4524.80206598,5033.47262503
4277.36735605,4855.0436111,4677.60039283,4987.14022915
4233.99234714,4806.7396239,4719.00381042,4936.86465064
4125.55482486,4675.62880151,4586.90719238,4846.17145019
4102.88152475,4750.54927145,4509.02933547,4870.81634161
4282.29633434,5153.73969519,4642.11174917,5169.51242571
4140.34175972,4982.21125086,4475.51228313,5230.63175645
3980.64286327,4703.23107991,4225.12018623,4950.66578984
3917.55194122,4397.63442622,3994.44400247,4643.09754483
3651.38711381,4108.79629869,3783.48373186,4351.30203033
3317.20238606,3778.55475357,3647.44393118,3992.47241116
3020.47789328,3445.35582148,3382.26489943,3690.81894009
2838.10569672,3310.30181646,3110.18529808,3490.70242171
2747.41249627,3219.60861601,2999.77618448,3390.15126468
2689.2505525,3184.11997236,2953.4437886,3361.56319063
2690.23634816,3217.6370247,2956.40117557,3364.5205776
2758.2562485,3246.22509875,2950.48640163,3423.66831703
2996.81879751,3501.54617393,3069.76767613,3655.33029644
3567.59448296,4162.02926418,3471.97230422,4257.65144291
4044.71958098,4862.92997636,4005.2877547,4798.85325865
4248.779282,5076.84763394,4353.27362165,5029.5294424
4263.56621685,5066.00388171,4432.13727421,5065.01808606
4337.50089113,5118.25105154,4482.41285272,5158.66867348
4306.94122577,5078.81922526,4503.11456152,5098.5351384
4193.5747252,4909.26237224,4387.77646965,4942.77942458
4103.86732041,4839.27088059,4247.79348634,4797.86746299
3956.9837675,4659.856071,4039.7906027,4664.78504928
3857.41840614,4552.40434438,3910.65137162,4601.69412723
3916.56614556,4672.67141454,3876.14852362,4701.2594886
4102.88152475,5101.49252537,3958.95535882,4973.33908995
4037.81901138,4984.18284218,3915.58034991,5076.84763394
3805.17123631,4619.43844906,3732.22235769,4818.56917179
3670.11723129,4274.40996908,3558.72232204,4483.39864838
3418.73933874,4024.01787218,3414.79615611,4177.80199469
3190.0347463,3765.73941003,3298.47226858,3910.65137162
2853.87842724,3515.34731313,3075.68245008,3658.28768341
2632.07440439,3331.98932092,2873.59434038,3444.37002582
2521.6652908,3212.70804641,2687.27896119,3336.9182992
2465.47493835,3155.5318983,2610.38689994,3276.78476412
2441.81584258,3155.5318983,2575.88405194,3265.94101189
2449.70220783,3180.17678973,2531.52324737,3284.67112938
2519.69369949,3248.19669007,2508.84994726,3373.39273851
2670.52043502,3433.5262736,2690.23634816,3552.8075481
2924.85571454,3753.90986215,3020.47789328,3814.04339723
3216.65122904,4117.66845961,3313.25920343,4073.30765504
3367.47796457,4362.14578256,3497.60299131,4231.03496017
3422.68252137,4471.5691005,3622.79903975,4285.25372131
3425.63990834,4478.4696701,3610.96949187,4220.19120794
