x1,x2,x3,x4
7463.68923285,10157.49430618,7100.85018216,11675.82080206
7366.73224135,10027.55194643,6855.95881186,11583.86159362
7344.74199585,9952.58520042,6826.97167007,11537.8819894
7457.69189317,10018.55593691,6715.02132936,11723.79951951
7768.55399997,10434.37148812,6951.91624675,12204.58625059
8485.23609183,11308.98352491,7695.58636718,13113.18321224
9056.98247474,11863.73744539,8262.33496703,13249.12291168
9342.8556662,11939.70374802,8495.23165797,13365.07147884
9414.82374237,11822.75562424,8667.15539548,13348.07901641
9579.75058359,11792.76892584,8729.12790552,13119.18055192
9552.76255503,11800.76537874,8731.12701875,12885.28430437
9485.79226192,11795.76759568,8732.12657536,12686.37253829
9399.83039317,11718.80173644,8555.20505477,12508.45146109
9313.86852441,11761.78267082,8560.20283784,12458.47363041
9235.90310855,11664.82567931,8650.16293306,12460.47274364
9109.95897526,11783.77291631,8576.19574366,12426.48781878
9087.96872976,11952.69798399,8484.23653522,12460.47274364
9060.9807012,11856.7405491,8345.29816594,12797.32332238
9179.9279382,11884.72813428,8320.30925061,12961.25060699
9401.82950639,11663.8261227,8360.29151515,12709.3623404
9104.96119219,11141.05801385,8031.43738931,12235.57250561
8850.07425575,11232.01766567,8087.41255967,12456.47451719
8481.23786538,11038.10368266,7965.46665282,12315.53703469
8011.44625704,10660.27128276,7484.67992174,11901.72059671
7693.58725395,10286.43710932,7256.78101386,11654.83011318
7528.66041273,10088.52489985,7066.8652573,11507.89529099
7537.65642225,10039.54662579,6980.90338854,11453.91923387
7675.59523491,10177.48543845,6889.94373672,11603.85272589
8005.44891736,10520.33335688,7081.85860651,12008.67315435
8650.16293306,11368.95692172,7763.5562169,12809.31800175
9200.91862708,11914.71483268,8219.35403265,12856.29716258
9532.77142276,12045.65674905,8498.23032781,12954.2537107
9710.69249996,11903.71970993,8594.1877627,13004.23154137
9714.69072641,11962.69355013,8586.19130979,12925.26656891
9667.71156558,11971.68955965,8604.18332884,12734.35125573
9631.72752749,11934.70596495,8663.15716903,12573.42264096
9531.77186614,11880.72990782,8717.13322616,12472.467423
9357.8490154,11841.7471999,8740.12302827,12417.49180926
9353.85078895,11860.73877555,8635.16958385,12363.51575213
9395.83216671,12018.66872048,8608.18155529,12270.55698708
9473.79758256,12423.48914894,8623.17490449,12378.50910134
9497.78694129,12440.48161137,8494.23210135,12695.36854781
9602.7403857,12460.47274364,8505.2272241,12895.2798705
9692.70048091,12241.56984529,8522.21968653,12665.3818494
9130.94966414,11618.84607509,8144.38728663,12182.59600509
8997.00907793,11599.85449943,8226.35092894,12282.55166644
8642.16648015,11380.95160108,8088.41211628,12191.59201461
8115.40014484,10928.15245518,7626.61696085,11808.76183165
7792.54335869,10603.2965558,7269.77524984,11543.87932908
7661.60144232,10432.37237489,6975.90560548,11324.97643073
7644.60897989,10375.39764792,6905.93664253,11284.99416619
7731.57040527,10463.35862991,6820.97433039,11460.91613016
8065.42231417,10915.1582192,6967.90915257,11847.74453958
8783.10396265,11733.79508564,7690.58858411,12648.38938697
9137.94656043,12219.57959979,8343.29905272,12682.37431183
9458.80423336,12387.50511086,8623.17490449,12784.32908641
9506.78295081,12266.55876063,8715.13411293,12881.28607792
9508.78206403,12250.56585481,8764.11238699,12714.36012346
9602.7403857,12122.62260828,8820.08755735,12667.38096263
9562.75812116,12060.65009825,8847.07558591,12483.46254575
9523.77541324,11989.68157869,8810.09199121,12353.520186
9416.82285559,11985.68335224,8771.10928329,12230.57472254
9361.84724185,11954.69709722,8671.15362194,12058.65098502
9353.85078895,12100.63236279,8671.15362194,12059.65054164
9363.84635508,12373.51131827,8644.16559337,12148.61108023
9357.8490154,12500.45500818,8519.22101669,12585.41732033
9493.78871483,12561.4279616,8549.20771509,12823.31179433
9750.6747645,12304.54191194,8531.21569605,12645.39071713
9307.87118473,11747.78887823,8163.37886229,12089.63724004
9105.9607488,11755.78533114,8141.38861679,12166.60309928
8742.1221415,11550.87622537,8021.44182318,12126.62083474
8221.35314587,11053.09703186,7622.6187344,11757.78444436
7912.49015231,10729.24068909,7286.76771227,11475.90947936
7776.55045287,10567.31251771,7089.85505941,11333.97244025
7733.56951849,10514.3360172,7028.88210599,11295.98928894
7863.51187825,10553.31872512,6994.89718113,11437.92632805
8151.38418293,11016.11343716,7245.78589112,11834.7503036
8760.11416054,11901.72059671,7908.49192585,12553.43150869
9271.88714664,12355.51929923,8495.23165797,12706.36367056
9578.75102698,12516.447914,8739.12347165,12885.28430437
9620.73240474,12416.49225265,8804.09465153,12987.23907894
9611.73639522,12454.47540396,8754.11682086,12901.27721019
9600.74127247,12619.40224518,8845.07647268,12809.31800175
9543.76654551,12580.41953726,8798.09731185,12715.35968008
9405.82773285,12467.46963994,8680.14963146,12571.42352774
9322.86453393,12381.50777118,8722.13100923,12550.43283885
9285.88093923,12347.52284632,8609.1811119,12447.47850767
9182.92660804,12401.49890345,8524.21879976,12270.55698708
9174.93015513,12718.35834992,8553.20594155,12263.56009079
9189.92350433,12695.36854781,8513.22367701,12593.41377323
9309.87029795,12706.36367056,8525.21835637,12800.32199222
9656.71644283,12413.49358281,8505.2272241,12547.43416901
9318.86630747,11834.7503036,8211.35757974,11999.67714483
9107.95986203,11933.70640834,8291.32210882,11980.68556917
8757.1154907,11651.83144334,8206.35979667,11733.79508564
8231.34871201,11197.0331842,7724.57350897,11326.97554395
7939.47818087,10915.1582192,7448.69588365,10969.13427633
7795.54202853,10679.26285842,7380.72603394,10803.20787849
7812.53449096,10612.29256532,7322.75175035,10757.22827427
7948.47419039,10648.2766034,7230.79254191,10776.21984993
