x1,x2,x3,x4
10786.98102113,16862.71241981,11020.1332785,18145.54171772
10597.11441492,16521.34603455,10666.96171565,18018.63605865
10555.79629336,16377.7163739,10562.68264696,17891.73039957
10534.15346779,16401.32672908,10513.49440701,17935.01605073
10585.30923734,16476.0928538,10413.15039751,18133.73654013
11008.32810091,17153.90680032,10377.73486474,18644.31047082
12061.94020065,18711.20647715,10702.37724842,20111.10378614
13241.47419466,20522.31747212,10921.7567986,21838.5947732
13255.24690185,20894.18056615,11282.79847983,22284.24022715
13356.57467614,20593.14853765,11755.00558336,22157.33456808
13330.01302657,20528.22006092,12078.66420223,21950.74396028
13033.89982207,20364.91510428,12063.90773025,21739.2345285
12953.23110855,20207.51273644,12026.52466788,21530.67639111
12902.075339,20127.82778772,11941.92089517,21201.11518344
12798.78003511,20100.28237335,11930.11571758,21156.84576748
12943.39346056,20171.11343888,11873.05735924,21128.31658831
13033.89982207,20478.04805617,11899.61900881,21182.42365226
12835.17933267,20536.09017931,11861.25218165,21225.70930341
12670.89061123,20538.05770891,11921.26183439,21458.86156078
12766.31579674,20054.0454278,12007.8331367,21413.60838003
13030.94852767,19749.0783401,12054.07008226,21181.43988746
12831.24427347,19417.54960284,12032.42725668,20700.37890074
12231.14774608,18707.27141795,11973.40136874,19927.13976872
11569.07403634,17931.08099153,11694.99593062,19182.42981587
11100.80199202,17627.09766864,11087.02928483,18634.47282283
10769.27325475,17152.92303552,10794.85113952,18293.10643757
10780.09466754,16977.81290129,10687.62077643,18101.27230176
10728.93889799,17094.88091238,10664.99418605,18140.62289372
10876.50361784,17286.71504818,10675.81559884,18329.50573513
11156.87658556,17890.74663477,11001.44174732,19104.71239675
12218.35880369,19234.56935022,12099.32326301,20585.27841926
13262.13325544,20722.02172632,13282.79231622,21921.23101631
13115.55230039,21169.63470987,13773.69095092,22213.40916162
13385.10385531,20935.49868771,13692.03847261,21977.30560986
13391.99020891,20692.50878235,13519.87963278,21667.41969817
13427.40574167,20413.11957943,13347.72079295,21430.33238161
13434.29209526,20244.8957988,13407.73044569,21331.95590171
13331.98055617,20034.37013182,14355.09594714,21148.97564909
13424.45444727,20110.12002134,13555.29516554,20943.3688061
13276.88972742,20200.62638285,13288.69490501,20956.15774849
13271.97090343,20480.99935057,13190.31842511,20892.21303655
13208.02619149,20694.47631195,12952.24734375,20878.44032936
13008.32193729,20506.57723534,12876.49745423,21112.57635153
13061.44523644,20147.5030837,12708.2736736,21090.93352595
13466.75633363,19876.96776397,12685.64708322,20870.57021097
13223.76642828,19411.64701404,12612.84848809,20336.38592511
12864.69227664,18483.95680858,12557.75765935,19678.24727457
