x1,x2,x3,x4
10579.38527204,15672.46986318,11111.55742359,17946.02755508
10476.89285766,15474.38356232,10667.09512665,17898.72336383
10392.13951501,15445.80394678,10625.7039593,17785.39040563
10292.60361259,15447.77495475,10605.00837563,17803.12947735
10335.9657879,15917.86035528,10515.32751305,18037.67942563
11026.80408093,16598.84360847,11086.91982398,19229.15374271
12720.88543004,18315.59154921,12603.6104559,20983.35083486
14218.85148626,20060.91910551,14334.15545243,22020.1010264
14735.25557406,20351.64278089,14753.98014976,22302.94066991
14986.55909007,20399.93247612,14842.67550835,22194.53523163
15086.09499249,20588.16373713,14856.47256413,22177.7816639
15059.48638491,20649.26498416,14853.51605218,22214.24531132
15076.23995264,20464.97573909,14670.21231109,22049.66614593
15091.02251241,20412.74402792,14548.99532101,21824.9712375
14794.38581312,20238.30982269,14679.08184695,21637.72548047
14534.21276125,20548.74357776,14654.44424734,21561.84167368
14590.38648836,21069.0896815,14304.59033289,21697.84122352
14846.61752429,21546.07360993,14353.86553211,22221.14383921
14368.64809188,21361.78436485,14188.30086274,22522.70805842
14317.40188469,20463.00473112,13992.18556985,22231.98438304
14456.35794649,19618.42781653,13588.12893627,21367.69738876
13342.73844417,18899.00990795,13186.04331065,20336.86022112
12169.98870278,17872.11475626,12515.90060129,19458.77617107
11582.62832811,17123.13172815,12572.0743284,18424.98249148
10728.19637368,16547.59740128,11105.64439968,17580.40557689
10745.93544539,16340.64156457,10865.1814275,17441.44951509
10834.63080399,16405.68482754,10941.0652343,17233.50817439
11001.18097734,16384.98924387,11165.76014273,17188.17499111
10995.26795343,16501.27871402,10650.34155891,17544.92743345
11352.02039577,17129.04475205,10892.77553906,18407.24341976
12788.88520496,19500.16733841,12421.29221879,20421.61356378
14206.03993446,21354.88583696,13942.91037064,21757.95696656
14730.32805414,21297.72660587,14549.980825,21752.04394266
14865.34209999,21397.26250829,14692.87890273,21529.32004219
15095.95003233,21269.14699032,14750.03813382,21316.45118157
15155.08027139,21064.16216158,14669.22680711,21279.00203017
15209.28299053,20589.14924112,14552.93733695,21122.30689665
14986.55909007,20205.78819121,14531.2562493,20842.4237651
14777.63224538,20131.87539238,14288.82226915,20637.43893635
15082.15297655,20399.93247612,14072.01139259,20732.04731885
15147.19623952,20955.7567233,14008.93913759,20608.85932081
15941.51245091,21752.04394266,13970.5044822,21346.0163011
16338.6705566,21512.56647446,13567.4333526,21723.46432711
16107.07712028,20707.40971924,13478.73799401,21613.08788086
15900.12128356,20244.2228466,13398.91217127,20782.30802205
14982.61707413,19290.25498974,12794.79822886,19737.67379864
13921.22928298,18056.40400133,12284.30716497,18754.14082225
12700.18984637,16938.84248307,12840.13141215,17913.5059236
