x1,x2,x3,x4
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,8.02e-6,0.0
-0.0,0.0,0.03996016,0.0
0.00036285,0.0,0.17553651,0.0
0.04388861,0.0,0.29705428,3.71e-6
0.16213983,0.0,0.42798534,0.00492805
0.3114857,0.00074076,0.50510531,0.0192596
0.46705584,0.00718791,0.56075696,0.03141275
0.5961936,0.03322779,0.59035601,0.05223047
0.64059517,0.0896439,0.62731979,0.08102755
0.6138546,0.14984513,0.60730339,0.0964102
0.50569681,0.1876259,0.60558762,0.15920675
0.37424029,0.14190221,0.53075119,0.110702
0.20395446,0.09411106,0.48107635,0.0885272
0.11065271,0.00912766,0.37400214,0.04561272
0.05459968,6.09e-6,0.23831987,0.01222935
0.01074026,0.0,0.15217555,0.00018642
0.00115595,0.0,0.08384375,0.0
5.0e-8,0.0,0.00829155,0.0
-0.0,0.0,0.00269957,0.0
-0.0,0.0,2.969e-5,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,1.402e-5,0.0
-0.0,0.0,0.03614973,0.0
0.00019062,0.0,0.15493662,0.0
0.0066306,0.0,0.27981743,1.154e-5
0.01340704,0.0,0.45056705,0.03963825
0.02086236,0.00812421,0.60002851,0.11150519
0.0322504,0.20127682,0.74619833,0.17604315
0.03777055,0.2771004,0.81541681,0.23731969
0.04119037,0.36532092,0.8687129,0.33539252
0.04131121,0.49902191,0.82648961,0.41852128
0.03732288,0.44768644,0.7029528,0.46806195
0.11635461,0.31926329,0.64070574,0.42020868
0.2031286,0.20503911,0.59265843,0.32095115
0.12178766,0.0131077,0.47626661,0.20133668
0.10013825,7.53e-6,0.31490319,0.05463585
0.01739791,0.0,0.21511397,0.00160948
0.00062007,0.0,0.131726,0.0
-0.0,0.0,0.00592336,0.0
-0.0,0.0,0.0003036,0.0
-0.0,0.0,1.876e-5,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,2.742e-5,0.0
-0.0,0.0,0.05097961,0.0
0.00016899,0.0,0.18634728,0.0
0.015268,0.0,0.32605194,2.453e-5
0.02772428,0.0,0.47726305,0.01585326
0.05620481,0.00175491,0.63550035,0.0634113
0.12231834,0.01086943,0.76750828,0.14134358
0.20314051,0.01475288,0.87403347,0.19535824
0.32895013,0.01914926,0.93190459,0.24704516
0.43029729,0.03842551,0.91587479,0.25273216
0.44478827,0.03406359,0.81849018,0.25094488
0.4364166,0.03927698,0.66469763,0.18885603
0.36282391,0.03551102,0.59415203,0.11825554
0.26607595,0.00651468,0.49656298,0.05983076
0.13807776,1.629e-5,0.38591698,0.01892192
0.01526148,0.0,0.24309016,0.00040335
0.00071857,0.0,0.14342343,5.0e-8
-0.0,0.0,0.00807592,0.0
-0.0,0.0,0.0006896,0.0
-0.0,0.0,2.134e-5,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,4.319e-5,0.0
-0.0,0.0,0.05637284,0.0
0.0002322,0.0,0.18776299,0.0
0.10017959,0.0,0.32790119,3.402e-5
0.22605648,0.0,0.49619632,0.01126352
0.30643791,0.01354691,0.65852668,0.03538238
0.42029098,0.25068868,0.79706519,0.08239028
0.48212173,0.36921676,0.89820261,0.11309426
0.57270192,0.35383454,0.95735758,0.13211149
0.57648308,0.37815334,0.97277547,0.12956933
0.51675521,0.39121601,0.93765075,0.1751413
0.46469722,0.31927255,0.85947885,0.15994717
0.33811012,0.20958494,0.74505107,0.1345205
0.25757547,0.0255938,0.59693432,0.10482922
0.14180022,2.103e-5,0.43248871,0.04879959
0.01363992,0.0,0.26463571,0.00023576
0.00064548,0.0,0.1554823,3.4e-7
-0.0,0.0,0.00929314,0.0
-0.0,0.0,0.00077316,0.0
-0.0,0.0,1.701e-5,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,6.587e-5,0.0
-0.0,0.0,0.06121585,0.0
0.00014078,0.0,0.19057464,0.0
0.06273513,0.0,0.3273252,6.215e-5
0.14748183,5.0e-8,0.48607979,0.03327215
0.22885798,0.003751,0.62956458,0.09111776
0.36775419,0.04297765,0.77047189,0.15577973
0.34365945,0.10210143,0.8540632,0.19890758
0.30747144,0.14739513,0.90868549,0.24206514
0.30769942,0.13759797,0.9250918,0.21471142
0.25689014,0.14457088,0.86530354,0.21652982
0.148954,0.08745984,0.81800646,0.14864677
0.11743996,0.06027949,0.70019882,0.13990102
0.06843474,0.0084557,0.54996903,0.12890153
0.03810252,1.958e-5,0.38588856,0.04909996
0.00652711,0.0,0.23793088,0.00255225
0.00033186,0.0,0.12449174,1.75e-6
-0.0,0.0,0.01159686,0.0
-0.0,0.0,0.0035899,0.0
-0.0,0.0,6.937e-5,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,9.287e-5,0.0
-0.0,0.0,0.05254439,0.0
7.555e-5,0.0,0.16318884,0.0
0.05867589,0.0,0.30333192,0.00013719
0.20104636,1.9e-7,0.47870098,0.0203595
0.36520584,0.00610838,0.63535314,0.07096336
0.48091787,0.05658426,0.75966083,0.12146042
0.62392248,0.10441773,0.85267136,0.16878406
0.64337122,0.15912213,0.92419347,0.1622949
0.67143895,0.12841571,0.9084701,0.20266582
0.56756931,0.11313698,0.85803633,0.20716732
0.42523985,0.0711023,0.8053585,0.15201182
0.28585574,0.0652123,0.64722898,0.10967291
0.14006443,0.0148925,0.522559,0.0534699
0.08732706,6.339e-5,0.38142604,0.01645748
0.0081283,0.0,0.24317618,0.00362065
0.00027154,0.0,0.11567301,3.88e-6
-0.0,0.0,0.01063499,0.0
-0.0,0.0,0.00150134,0.0
-0.0,0.0,5.35e-5,0.0
-0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0001122,0.0
0.0,0.0,0.04766167,0.0
5.834e-5,0.0,0.13665344,0.0
0.07194835,0.0,0.21670743,0.00010153
0.14814757,3.7e-7,0.20611519,0.00483083
0.1627556,0.01636688,0.34007474,0.01966452
0.21279482,0.14471609,0.50863682,0.03075607
0.23050978,0.23787734,0.55806611,0.05107395
0.31757459,0.30417463,0.56170332,0.08381746
0.30364515,0.31528902,0.59796099,0.12666917
0.32445731,0.27360098,0.51613291,0.10813229
0.2477594,0.20328309,0.45650055,0.09625282
0.15532765,0.12927516,0.36901159,0.07814036
0.09228122,0.02775214,0.35924552,0.04243034
0.0595511,4.504e-5,0.28122426,0.01118693
0.00751556,0.0,0.16055103,0.00034408
0.00028344,0.0,0.08016847,4.26e-6
0.0,0.0,0.01241308,0.0
0.0,0.0,0.00368444,0.0
0.0,0.0,8.205e-5,0.0
0.0,0.0,0.0,0.0
