x1,x2,x3,x4
-0.0,0.0,3.766e-5,0.0
-0.0,0.0,0.00017532,0.0
-0.0,0.0,0.00098327,0.0
-0.0,0.0,0.01069078,0.0
0.00018521,0.0,0.08676036,0.0
0.01069586,0.0,0.14323725,0.0
0.05862003,0.0,0.22760506,2.111e-5
0.10929169,0.0,0.30946441,0.01022179
0.17654318,1.841e-5,0.40461001,0.12199785
0.23214684,0.00416983,0.47292042,0.22946174
0.28066941,0.02650408,0.53924849,0.31627284
0.33132998,0.05821868,0.57865248,0.38567578
0.36633657,0.0913451,0.60942933,0.41200271
0.35782191,0.07500359,0.60853761,0.39838971
0.30633063,0.04141783,0.54985441,0.32273266
0.234305,0.01781384,0.46933171,0.25477652
0.17768456,0.00065054,0.37625558,0.13484601
0.10698467,0.0,0.2614092,0.02041281
0.01964029,0.0,0.14774065,9.46e-6
1.013e-5,0.0,0.07951874,0.0
-0.0,0.0,0.03268377,0.0
-0.0,0.0,0.00222244,0.0
-0.0,0.0,0.00016136,0.0
-0.0,0.0,4.973e-5,0.0
-0.0,0.0,0.00012895,0.0
-0.0,0.0,0.00063156,0.0
-0.0,0.0,0.00150876,0.0
-0.0,0.0,0.01364229,0.0
6.738e-5,0.0,0.04580818,0.0
0.00472109,0.0,0.08896949,0.0
0.04228465,0.0,0.15252422,5.016e-5
0.08958353,0.0,0.24844149,0.01627989
0.14887288,6.02e-5,0.32548136,0.16067619
0.18740549,0.03162515,0.36593009,0.25972132
0.2205154,0.1366603,0.35120261,0.35036253
0.23060061,0.18322095,0.34031268,0.44236227
0.19911219,0.21007321,0.35667975,0.45232993
0.17402707,0.20097546,0.37026701,0.43871374
0.176754,0.14987787,0.40825722,0.37201819
0.15333199,0.04290782,0.36328309,0.27562306
0.11120172,0.00056507,0.32129461,0.1489955
0.07054483,0.0,0.24898692,0.03073435
0.00881097,0.0,0.18560718,2.491e-5
2.32e-6,0.0,0.11632994,0.0
-0.0,0.0,0.06509483,0.0
-0.0,0.0,0.00434718,0.0
-0.0,0.0,0.00029591,0.0
-0.0,0.0,8.586e-5,0.0
-0.0,0.0,0.00025206,0.0
-0.0,0.0,0.00174987,0.0
-0.0,0.0,0.00805892,0.0
-0.0,0.0,0.02589427,0.0
2.677e-5,0.0,0.09834587,0.0
0.00410208,0.0,0.14675333,0.0
0.06541052,0.0,0.24207793,6.679e-5
0.13170906,0.0,0.33099152,0.01520036
0.20941576,2.812e-5,0.45152287,0.11025712
0.29780946,0.00422621,0.55289962,0.17237568
0.34386488,0.02550699,0.62851111,0.22467355
0.35219963,0.05791936,0.66238558,0.25366903
0.32956061,0.07121213,0.67372586,0.26060822
0.31025859,0.0515425,0.62707625,0.25772417
0.23385416,0.02042295,0.59012598,0.21533751
0.14959403,0.00589393,0.52648641,0.15965068
0.11993544,0.00054131,0.44009005,0.08131677
0.06166886,0.0,0.3361003,0.01017446
0.00731818,0.0,0.23868494,2.846e-5
4.8e-7,0.0,0.17463814,0.0
-0.0,0.0,0.09756208,0.0
-0.0,0.0,0.00603019,0.0
-0.0,0.0,0.0004351,0.0
-0.0,0.0,0.00011654,0.0
-0.0,0.0,0.00031154,0.0
-0.0,0.0,0.00139455,0.0
-0.0,0.0,0.00345515,0.0
-0.0,0.0,0.01971635,0.0
9.2e-6,0.0,0.09186163,0.0
0.00110814,0.0,0.15132014,0.0
0.06069917,0.0,0.22733481,0.00011077
0.12346134,0.0,0.33583365,0.02527428
0.19526316,9.01e-5,0.43370345,0.10695188
0.26243928,0.01501128,0.5216813,0.17265016
0.29887428,0.06951594,0.60700903,0.22206374
0.31170491,0.11605251,0.6308428,0.26665905
0.28569559,0.12940973,0.6354139,0.26775266
0.25224265,0.11114741,0.62635556,0.25437006
0.22451263,0.08048576,0.59900426,0.20366696
0.15296635,0.04463244,0.52618749,0.14124659
