x1,x2,x3,x4
0.11195111,0.58581146,0.20209371,0.22837544
0.10474393,0.59110407,0.1915085,0.23607557
0.10192813,0.59279787,0.18277352,0.24715866
0.0946307,0.59154599,0.18516836,0.26319497
0.09336376,0.58668876,0.1864428,0.2755162
0.08820089,0.56882692,0.15210357,0.2832441
0.08437146,0.53514738,0.1138492,0.29764166
0.08050053,0.50184881,0.10375275,0.30450321
0.08378818,0.47187701,0.11389096,0.28724309
0.09644143,0.45806187,0.14825466,0.27551456
0.09927766,0.4359608,0.15614847,0.21873089
0.11106594,0.42920233,0.17136766,0.21926325
0.1107338,0.4299634,0.198182,0.21629584
0.11541438,0.42255855,0.21986675,0.22724587
0.12344886,0.43309422,0.24667431,0.25481968
0.12110605,0.45661239,0.26473962,0.30805824
0.12253189,0.48239386,0.26649199,0.3923288
0.1446577,0.51298811,0.26505384,0.4664575
0.1789397,0.54877113,0.28003157,0.50715043
0.22032424,0.57612502,0.30430958,0.52600445
0.26228627,0.5905575,0.31344131,0.51790742
0.28454173,0.61083801,0.32305059,0.5052125
0.35411686,0.64336954,0.33453799,0.47441378
0.34195745,0.68901037,0.33543633,0.46363178
0.3251562,0.73964152,0.32338753,0.45008676
0.30450671,0.7678935,0.2963744,0.43123138
0.28967022,0.79184764,0.29103072,0.4213338
0.29799882,0.81778148,0.29444245,0.41730948
0.29447306,0.82439718,0.2738867,0.41148718
0.27328092,0.82646699,0.20368348,0.41360757
0.25108472,0.82722339,0.14811536,0.42296242
0.25550622,0.82727669,0.1161522,0.40760645
0.283769,0.82573711,0.10976047,0.34509008
0.32651172,0.83536235,0.11444461,0.27780568
0.318776,0.8278278,0.10118895,0.21997763
0.38596588,0.82467198,0.1085581,0.18893798
0.43637293,0.82626694,0.11077996,0.1932848
0.50122316,0.83942242,0.11813423,0.21252597
0.54732836,0.83081346,0.13558454,0.25522306
0.56503317,0.81292063,0.1599263,0.3314667
0.58368515,0.79455772,0.18156187,0.41766836
0.61700231,0.77038529,0.1859655,0.46900415
0.6553636,0.74665949,0.18684862,0.47126926
0.6933113,0.72993809,0.19218219,0.43700309
0.72260395,0.70903357,0.19381119,0.40369851
0.74559708,0.66128059,0.18251184,0.38174897
0.76286255,0.58532539,0.19266825,0.35223591
0.76998389,0.52434561,0.17739931,0.35486578
0.76672251,0.46329439,0.15403369,0.3751495
0.75850837,0.41649643,0.13951037,0.39256004
0.74897016,0.36181996,0.12778786,0.39887438
0.73474479,0.31325847,0.11596776,0.41019197
0.72510828,0.28013719,0.09854646,0.41180336
0.71242605,0.26371286,0.0740682,0.41942233
0.69170011,0.26086001,0.055837,0.42530863
0.67593726,0.27021571,0.05247343,0.42379806
0.69289001,0.29298707,0.0579933,0.38330892
0.72411957,0.33845389,0.06830771,0.35927428
0.70232684,0.38385447,0.06272245,0.33248659
0.72229971,0.44232751,0.09268718,0.32854663
0.7354409,0.50143159,0.13718526,0.34114517
0.73386011,0.5471978,0.18685035,0.37557172
0.72520648,0.60779715,0.24588503,0.40977531
0.70031523,0.67025156,0.28672673,0.44288279
0.69330575,0.71026148,0.30663662,0.47971314
0.69385251,0.75541654,0.30753093,0.50752328
0.70150191,0.79061525,0.32176295,0.50287832
0.69710167,0.82113268,0.34653626,0.49531513
0.68476736,0.84330178,0.35558959,0.47429606
0.67205552,0.85729525,0.36513044,0.45258286
0.64199569,0.84696249,0.40323743,0.42263604
0.62316236,0.85228116,0.37443105,0.4242228
0.59724244,0.85088032,0.34957,0.41794423
0.56765688,0.8584196,0.33036473,0.42078238
0.54189217,0.85517113,0.3098041,0.44214557
0.52826708,0.84807378,0.30027105,0.46556534
0.52638964,0.83714758,0.29026881,0.48482129
0.52256726,0.81790656,0.26260051,0.49456318
0.51498848,0.79696143,0.25101904,0.49805701
0.51979887,0.76239694,0.27055953,0.50415927
0.52190704,0.73684155,0.31668033,0.48032489
0.50946724,0.70076384,0.39110731,0.46272449
0.45957116,0.60335337,0.38294135,0.42807237
0.44237924,0.56282496,0.42809924,0.45162637
0.42902693,0.53862599,0.45106629,0.46080345
0.41978299,0.50732503,0.47035044,0.46565515
0.40539248,0.48298573,0.4939857,0.45714987
0.38735932,0.48106595,0.5208427,0.44647913
0.36517002,0.48551048,0.5268891,0.45543
0.34815929,0.49809443,0.52154789,0.47556182
0.33612097,0.50073645,0.53729587,0.49720233
0.33082456,0.49150278,0.55584703,0.51068056
0.3241093,0.47384168,0.5524913,0.51430675
0.31761201,0.4486584,0.53137514,0.51435977
0.33133771,0.42911096,0.51846219,0.54367027
0.30188567,0.4038714,0.49732297,0.53326555
0.26549901,0.3716115,0.46546644,0.52836063
