x1,x2,x3,x4
0.61220489,0.59967042,0.26137198,0.69647835
0.61462428,0.63675195,0.24417802,0.71884726
0.61556623,0.6683496,0.23516324,0.73895598
0.58557658,0.68690014,0.21870407,0.75498825
0.56137937,0.74457159,0.21852325,0.7736956
0.56363517,0.79317264,0.22445279,0.78664957
0.54065533,0.8304626,0.21292519,0.78890248
0.51540489,0.8430833,0.23087173,0.78073536
0.50281647,0.84932866,0.24887099,0.76699501
0.49648198,0.85043191,0.26858502,0.75223528
0.42273074,0.84961154,0.28388878,0.69011774
0.42145488,0.84583376,0.30942197,0.65589841
0.47317325,0.83718244,0.32412457,0.65319329
0.4933124,0.82940473,0.33141536,0.6469302
0.49841738,0.83003962,0.33393556,0.65800934
0.51444035,0.8326091,0.34526291,0.65781164
0.48135584,0.83351923,0.35786469,0.65027816
0.46921944,0.83665475,0.36038948,0.62337911
0.4381259,0.84143574,0.37405997,0.59267375
0.42462334,0.84515307,0.38530162,0.56427171
0.41753359,0.84785912,0.39068772,0.52723677
0.41687651,0.84956461,0.39103494,0.46861917
0.46838326,0.84958943,0.43686937,0.40464828
0.46202235,0.84926195,0.3823555,0.32644394
0.44402759,0.84675301,0.32594356,0.24437319
0.42366734,0.84436261,0.28735672,0.18111354
0.42668738,0.83986625,0.27051698,0.13746374
0.42772297,0.8321562,0.27315419,0.10316162
0.45515889,0.82728651,0.27111203,0.09783336
0.52400429,0.82330774,0.24919222,0.10672919
0.59915853,0.81979148,0.1903571,0.1144674
0.67648367,0.81201331,0.14930293,0.13535854
0.73177701,0.7968094,0.11875729,0.14584376
0.77461104,0.78574987,0.10320349,0.1343843
0.80025316,0.76815297,0.09923096,0.13648046
0.81714409,0.7838343,0.09665008,0.15419291
0.82552925,0.77095572,0.08499794,0.17935862
0.82941277,0.76027622,0.07209869,0.21677887
0.81910022,0.72653546,0.07102536,0.27350748
0.81955815,0.67565783,0.08116873,0.31857486
0.81554053,0.65233873,0.09551638,0.38476472
0.80502392,0.64662477,0.10867831,0.43764846
0.78686259,0.63170496,0.11765076,0.46893266
0.76126291,0.63259901,0.11842852,0.49855386
0.72947833,0.64573281,0.10920943,0.51794494
0.70289973,0.67448954,0.08763162,0.51757463
0.6902951,0.67030073,0.07552373,0.53716984
0.69506357,0.69028298,0.06130037,0.47946302
0.67363754,0.69756901,0.0538144,0.44926722
0.65997773,0.7045376,0.04600048,0.43869997
0.67026503,0.70367401,0.04007211,0.44717093
0.65187861,0.71964638,0.03948892,0.45281381
0.65437486,0.74751282,0.04303647,0.46141024
0.68644483,0.76264242,0.04725543,0.46141411
0.70684364,0.77506972,0.04327628,0.4543064
0.72023142,0.7968882,0.03818397,0.43941
0.73217902,0.81468968,0.03880886,0.41457306
0.72803477,0.81984647,0.03934568,0.36897516
0.72910839,0.80517465,0.0346087,0.30183966
0.73020037,0.81237712,0.03907838,0.27317957
0.7407369,0.80957643,0.04920295,0.24246319
0.72513997,0.80153466,0.06537522,0.20801733
0.71998694,0.80917105,0.08833891,0.18774658
0.7226131,0.81271971,0.11000895,0.17484857
0.68533103,0.80113069,0.12235587,0.17668517
0.65425335,0.77303137,0.13270024,0.18651738
0.61890514,0.76619075,0.14642826,0.19468435
0.59969944,0.77626301,0.16045646,0.18641024
0.57821,0.78706279,0.17253162,0.17742483
0.55167208,0.79094815,0.1817892,0.16486679
0.49916064,0.75971469,0.17200282,0.16804659
0.48068198,0.77293093,0.16017588,0.15273291
0.45613705,0.80163631,0.15609518,0.15456236
0.43273456,0.80867115,0.15513431,0.15197642
0.40931258,0.79821826,0.15812887,0.14854246
0.38221894,0.79849462,0.16891642,0.13910705
0.35824736,0.79511581,0.18315205,0.13415979
0.34748587,0.79031158,0.18467257,0.12624631
0.34388494,0.7933788,0.16886485,0.12451879
0.34623347,0.78799,0.16742473,0.12401563
0.35984089,0.78242958,0.18353641,0.11998006
0.40449646,0.77380711,0.20638225,0.11730363
0.35481866,0.75747213,0.21798941,0.11335406
0.38574745,0.74536566,0.24409759,0.11925183
0.40219185,0.70925853,0.26564517,0.13402326
0.4209345,0.70961212,0.28280143,0.14511447
0.42694561,0.73478133,0.29111223,0.15363094
0.42039548,0.75457435,0.28959924,0.14233447
0.408486,0.72701123,0.29381392,0.12488711
0.41890094,0.6955765,0.2883353,0.14863104
0.43251869,0.65696996,0.29709013,0.20211729
0.4476897,0.62669961,0.32280686,0.24956306
0.47220981,0.60236635,0.35515495,0.25653154
0.48868456,0.58462173,0.38174174,0.24496756
0.50721608,0.60126551,0.47461629,0.21294153
0.52320835,0.60621193,0.45255626,0.2275585
0.52521408,0.58360643,0.43114916,0.23104389
0.51931723,0.56724002,0.41345093,0.22805271
0.5235643,0.55470982,0.39902364,0.22468277
0.52708993,0.54073621,0.37279859,0.21789355
0.52415147,0.52097297,0.35923391,0.22467387
0.51318465,0.50395529,0.33771359,0.2410874
0.50163142,0.50321728,0.2941444,0.25640825
0.48266777,0.51905689,0.27973911,0.26136244
0.47279729,0.52819148,0.2684602,0.24871795
0.49362922,0.53812695,0.24412304,0.24596959
0.50344083,0.51971653,0.23208807,0.2524351
0.49117899,0.51371276,0.22298457,0.23846299
0.49563339,0.50485014,0.23174,0.23868205
0.54376298,0.48442093,0.25375913,0.22201182
0.56725022,0.48745659,0.27473714,0.19729034
0.60148313,0.49432638,0.2901917,0.15642864
0.6241714,0.4815558,0.29070322,0.12038761
0.6170164,0.4678931,0.27820545,0.09856143
0.61055317,0.45856594,0.25863359,0.0790231
0.61390939,0.43873366,0.2517792,0.06680775
0.60836722,0.42361802,0.25296104,0.06204918
0.60567391,0.42353466,0.24575836,0.06783477
0.59169023,0.42010224,0.27559052,0.06534597
0.54413403,0.38855586,0.23656179,0.07614022
0.51178359,0.36397037,0.20145302,0.07996175
0.48020942,0.3612883,0.17352136,0.08350534
0.48170208,0.37622343,0.14823145,0.08546379
0.49709172,0.36803941,0.12244596,0.09732837
0.49670766,0.34729094,0.114978,0.12977541
0.47847072,0.32169912,0.1126012,0.17520894
0.47323621,0.31884893,0.10342508,0.22461259
0.4800529,0.33230057,0.10870781,0.2829081
0.48669749,0.36237688,0.12095562,0.32813971
0.5162415,0.40067766,0.14114269,0.37430804
0.46410175,0.43368677,0.14356428,0.39489842
0.4469875,0.42546614,0.16552728,0.42842552
0.42102947,0.44094594,0.19088778,0.45416687
0.41200846,0.45328701,0.19769684,0.47420312
0.42218925,0.46549399,0.20086048,0.50207268
0.43082043,0.46902251,0.21527608,0.53705607
0.43060694,0.48489896,0.20851951,0.58592696
0.41299583,0.50633379,0.17766873,0.63980941
0.38371516,0.5280264,0.13838357,0.67573059
0.3633995,0.56015691,0.13830996,0.6986585
0.35683586,0.58113122,0.14676775,0.71067223
0.34541799,0.60033485,0.14389103,0.71202864
0.3070949,0.61387329,0.12883586,0.66028969
0.3069467,0.62980443,0.13381227,0.62499075
0.28746465,0.64712858,0.156892,0.58639004
0.25415676,0.66607322,0.18500024,0.54923263
