x1,x2,x3,x4
0.27455374,0.23891813,0.54260984,0.11396835
0.25711418,0.22609445,0.51982871,0.11029202
0.24855175,0.22147381,0.49208658,0.11270518
0.23937622,0.20790937,0.46761408,0.12272856
0.24615127,0.20090008,0.42731168,0.14094457
0.25588466,0.18312652,0.37501864,0.14700031
0.27131539,0.18408516,0.35691606,0.16331736
0.30377165,0.18577229,0.36609872,0.16319356
0.32280863,0.18799416,0.37137936,0.15003618
0.34123367,0.19617075,0.39075279,0.14218931
0.29300046,0.16272247,0.35239575,0.10627388
0.33178033,0.15378842,0.39727305,0.11594819
0.36958996,0.14669779,0.42233962,0.12862231
0.39528072,0.15446035,0.43442393,0.14766724
0.41193875,0.19297421,0.43166867,0.1801715
0.42855994,0.2379348,0.40912169,0.22186568
0.4771576,0.26562798,0.37230586,0.27944448
0.5374823,0.28137846,0.35507878,0.31867228
0.58831713,0.28090304,0.35605733,0.34023506
0.61863549,0.27347611,0.34728303,0.35392884
0.639926,0.25938857,0.32487339,0.35428272
0.64352898,0.25257185,0.28598107,0.35383377
0.6300737,0.26413168,0.27166328,0.36005605
0.61134577,0.27864627,0.22236784,0.34759577
0.5872423,0.29364971,0.20093486,0.3381628
0.55816935,0.31753419,0.19828998,0.33955937
0.52938584,0.324521,0.19988033,0.34499042
0.51008993,0.33077904,0.21651121,0.36440253
0.49310837,0.32400206,0.23037437,0.38927262
0.49627514,0.31972376,0.20895969,0.41173991
0.50755691,0.30466737,0.19170414,0.43143347
0.55747446,0.30118972,0.1872462,0.43164701
0.58061108,0.29619435,0.18776569,0.39439358
0.56961815,0.29212043,0.188124,0.36649151
0.43667897,0.27009475,0.19845077,0.31995541
0.4986147,0.25621204,0.20309172,0.30612694
0.56784734,0.24276208,0.21738555,0.31630586
0.59861976,0.24152629,0.23246726,0.33380383
0.60278663,0.23067822,0.23880551,0.35436618
0.59264784,0.22440546,0.24041973,0.40542126
0.59923249,0.20804045,0.23434877,0.44647522
0.60089169,0.19214038,0.23443082,0.46934748
0.59542677,0.16751517,0.23971454,0.46554641
0.58884496,0.13704667,0.24124928,0.44590725
0.575267,0.10835791,0.24526467,0.41273299
0.55992942,0.08660347,0.25454022,0.38664418
0.5183601,0.0697917,0.31978118,0.35340744
0.48214836,0.06062206,0.35656041,0.34307931
0.46026749,0.0545162,0.38148088,0.3548103
0.45121949,0.05284595,0.39437121,0.36534025
0.43629443,0.05185571,0.39541643,0.37773255
0.42090038,0.05228518,0.39278873,0.39629929
0.41398703,0.05882647,0.3828573,0.41845978
0.40772288,0.07866116,0.36980607,0.43484279
0.41551361,0.11369635,0.35749366,0.43421114
0.42628966,0.15921559,0.36642363,0.41582806
0.44096345,0.19966022,0.38412963,0.33076535
0.46295668,0.22649762,0.41218779,0.27137315
0.49614858,0.23772487,0.41123348,0.20169464
0.49482679,0.25141456,0.43589131,0.19680445
0.53871477,0.27309319,0.45364725,0.21898707
0.58409809,0.3119306,0.45978529,0.25120002
0.6289779,0.35391646,0.45307985,0.29409955
0.66018674,0.39110726,0.4264652,0.35268133
0.66749306,0.42443114,0.39073954,0.40626725
0.66386791,0.45235974,0.36115475,0.44376501
0.6707936,0.47367722,0.35805658,0.4543662
0.67530272,0.49382919,0.36494431,0.44911386
0.68316195,0.5190018,0.37657862,0.4250436
0.69531414,0.54140212,0.36421258,0.38649439
0.69421588,0.55494495,0.3521931,0.37150475
0.68423862,0.57026857,0.30699015,0.33186101
0.7036609,0.58344581,0.27721254,0.31600364
0.72373753,0.59404401,0.25404127,0.31481649
0.73203683,0.60352312,0.22933128,0.32579803
0.74611514,0.61586335,0.19935144,0.33986956
0.75200352,0.63272836,0.15925644,0.3566153
0.75661488,0.64391747,0.14322976,0.382342
0.75240122,0.65115468,0.13622754,0.39608358
0.75945455,0.65179398,0.13556453,0.39022831
0.73679041,0.65494516,0.13842413,0.31303238
0.69727306,0.6529892,0.15464636,0.27835261
0.58897616,0.6558967,0.16489301,0.24968517
0.58961482,0.67674066,0.18160591,0.24725506
0.60694266,0.68238316,0.18723589,0.27034027
0.62647113,0.68133992,0.18850103,0.30141965
0.61568577,0.68327819,0.1856773,0.35246084
0.58111667,0.67550106,0.18275346,0.42152817
0.56339332,0.6649649,0.17877776,0.46914759
0.5492547,0.64156565,0.16351069,0.48291853
0.52542687,0.62877553,0.15723536,0.47458536
0.50703463,0.61009573,0.15468432,0.46210961
0.48420467,0.59191706,0.15103529,0.43804278
0.4764009,0.57766448,0.15161595,0.41142852
0.48757677,0.54491855,0.18783232,0.37992287
0.45367689,0.54448169,0.19416083,0.39634587
0.42134718,0.52404156,0.20551592,0.41438074
0.42413192,0.50591243,0.22885494,0.42847325
0.43664831,0.48201177,0.25214985,0.43798955
0.46362248,0.46884161,0.265785,0.43977835
0.49121758,0.46021544,0.2579432,0.45022169
0.52237251,0.45505267,0.24042504,0.4620589
0.53995446,0.45186447,0.2520425,0.46525096
0.56092368,0.44763951,0.27173609,0.47914628
0.56566526,0.43439092,0.2961604,0.44366551
0.56397543,0.41802667,0.32188925,0.40471789
0.49939036,0.38785909,0.33846654,0.3452109
0.50548566,0.38494867,0.35512652,0.34755105
0.54339589,0.38055988,0.36859005,0.35197152
0.56284385,0.39640449,0.38241715,0.34853177
0.57659043,0.40698011,0.38758033,0.35551317
0.58358388,0.4183195,0.38447595,0.36729051
0.56749057,0.41870333,0.36795653,0.39876457
0.5536417,0.41949362,0.38035907,0.42155336
0.53466715,0.41573233,0.41592134,0.44228049
0.51231436,0.41564413,0.44359827,0.43385518
0.4923333,0.40900041,0.45143002,0.42681938
0.4825534,0.40523149,0.43811755,0.40131343
0.47277727,0.42372431,0.42179892,0.34194313
0.45854929,0.41964226,0.39118356,0.3482594
0.45769332,0.41742919,0.36376746,0.36158414
0.47110963,0.41977859,0.32667969,0.36904434
0.48117053,0.43155466,0.2808435,0.3702123
0.52396555,0.44527477,0.2273943,0.36302678
0.56216888,0.45068259,0.17631927,0.36210142
0.61188671,0.45795247,0.15430701,0.34771634
0.6542934,0.46987865,0.16476326,0.34554785
0.67449393,0.48226675,0.18530745,0.33915498
0.69424206,0.4832068,0.19765031,0.32977358
0.70538396,0.47215938,0.20238807,0.30812031
0.6510482,0.4487548,0.19081776,0.32505262
0.64788963,0.42903869,0.19234725,0.29211692
0.66020476,0.44051099,0.1878093,0.27592517
0.679442,0.46749789,0.18102951,0.25847043
0.66175685,0.48790418,0.18082399,0.24827946
0.63314479,0.51252696,0.17585521,0.26511365
0.58724977,0.53549391,0.1758979,0.28485258
0.54629695,0.54078348,0.19185048,0.29946931
0.50263763,0.52983873,0.23508572,0.29292851
0.47407653,0.5097771,0.28329124,0.27788878
0.4560232,0.49738919,0.33323602,0.25914582
0.44841998,0.47621445,0.38349777,0.23258852
0.44218482,0.52323743,0.46719344,0.21936195
0.41502762,0.51402268,0.46388911,0.2067101
0.41894427,0.50486769,0.46384093,0.19314199
0.43715311,0.47899568,0.44933289,0.18680711
0.4571987,0.46980447,0.43691727,0.18782626
0.47722306,0.45452893,0.41967492,0.18493376
0.48378407,0.45037663,0.37756136,0.18947098
0.47943271,0.44024699,0.33144591,0.18713425
0.47536003,0.44498298,0.29072465,0.19258297
0.4905524,0.43341285,0.25807501,0.18602122
0.50474744,0.42436763,0.25036722,0.18973859
0.52906484,0.41287109,0.26378679,0.1859365
0.50200303,0.41144843,0.24782654,0.19616272
0.53040188,0.40565628,0.25961177,0.18620493
0.53038374,0.39461954,0.26020762,0.18818196
0.53609239,0.39907526,0.26030306,0.18600135
0.54004042,0.42491599,0.247531,0.19136131
0.51461543,0.43551672,0.22953025,0.19767827
0.50680989,0.41580985,0.21169409,0.21205703
0.5243136,0.40264741,0.2018927,0.23020467
0.52677339,0.39393476,0.20087543,0.23578264
0.52747754,0.38125434,0.21658488,0.22624246
0.51970998,0.36859163,0.22754677,0.21908729
0.5028401,0.35725585,0.22229356,0.20289801
0.48979178,0.36886608,0.25015857,0.17811228
0.42990608,0.38258704,0.22701497,0.18501492
