x1,x2,x3,x4
0.76920498,0.54774149,0.6231887,0.32553264
0.77236362,0.5357275,0.60158912,0.36245295
0.76527244,0.53357494,0.58546973,0.39950141
0.75166977,0.513884,0.58159549,0.43012286
0.74184879,0.49686922,0.57936655,0.44615398
0.73656849,0.47564092,0.58475372,0.4692027
0.71307771,0.45947562,0.57842739,0.48560599
0.68987178,0.4586866,0.59483403,0.49989878
0.66812548,0.46386125,0.60649554,0.49825118
0.66161538,0.46801755,0.58829893,0.49642232
0.62523352,0.45209016,0.5035419,0.48428917
0.65553663,0.45562773,0.51390549,0.49236858
0.67300387,0.4618883,0.49861366,0.49340476
0.67455379,0.45208075,0.47017098,0.49129972
0.65405643,0.43645143,0.44954846,0.48923865
0.63765269,0.42625899,0.42009745,0.49083684
0.6069881,0.42562561,0.37357577,0.49378703
0.59134093,0.44207088,0.31604605,0.50072005
0.57875997,0.45948652,0.29791982,0.49401766
0.56958563,0.47435891,0.29535702,0.48915098
0.57113888,0.49091064,0.27512346,0.48203372
0.55270425,0.51373127,0.23762617,0.47898361
0.512718,0.49456603,0.20427738,0.4568561
0.47272256,0.5080778,0.18234597,0.44782874
0.46688125,0.53100685,0.15500079,0.4462234
0.48659863,0.53747433,0.13413824,0.44435122
0.51153379,0.5424264,0.12199713,0.43833231
0.5236293,0.53349398,0.10772359,0.43051818
0.53310185,0.53518329,0.09313318,0.42373654
0.54554502,0.53720901,0.09926431,0.42040038
0.54941177,0.54497408,0.13937174,0.42666199
0.53839481,0.54254119,0.21040228,0.43634028
0.51194718,0.5468372,0.26406297,0.43161653
0.48444959,0.5429907,0.29153793,0.42837819
0.4075098,0.51724865,0.28408898,0.39680675
0.40833853,0.53252203,0.32275484,0.40205741
0.40932637,0.54445168,0.35627026,0.40098423
0.39401128,0.56255348,0.38498024,0.39495774
0.37337431,0.56762532,0.41727588,0.3917163
0.33971906,0.56994167,0.42016534,0.39349354
0.33556114,0.56633533,0.41435284,0.41517176
0.34284164,0.56009676,0.39974689,0.43997208
0.34516034,0.56354807,0.38096138,0.46363739
0.35650956,0.58954909,0.36346972,0.48423299
0.38937763,0.61261013,0.34448618,0.49331917
0.39181347,0.63575609,0.32037534,0.49579998
0.38770776,0.64862743,0.25779946,0.47430665
0.37810328,0.66498984,0.25447735,0.47091102
0.37494565,0.66851802,0.24631204,0.47320682
0.37593689,0.66521918,0.23677446,0.47493483
0.36831445,0.68275988,0.22480484,0.47262764
0.36223772,0.69560228,0.21258561,0.47086527
0.35869561,0.70422813,0.19669135,0.4704479
0.36421069,0.71580526,0.18659184,0.47941571
0.36785225,0.7316593,0.17079836,0.48716161
0.37642806,0.73874724,0.15728754,0.49112435
0.38996773,0.73793369,0.15237944,0.48596996
0.45151231,0.73859292,0.15170266,0.47403918
0.50376286,0.73898139,0.15163563,0.42213374
0.55031552,0.72068988,0.18894307,0.40630033
0.57917812,0.70590222,0.22308797,0.38616603
0.58266031,0.69322056,0.24003443,0.3700249
0.55695044,0.67763848,0.25014433,0.37429632
0.54088509,0.66914567,0.2514519,0.37418604
0.52640219,0.65970286,0.24035353,0.38194017
0.5155032,0.64576499,0.21133469,0.37575297
0.50591099,0.63360702,0.1792635,0.38247896
0.49225233,0.6225003,0.15431042,0.39056702
0.48895713,0.61442226,0.13567086,0.40450894
0.49206429,0.60671313,0.11636318,0.40594672
0.5214908,0.59887482,0.07734531,0.39043747
0.48877879,0.59085662,0.08707821,0.35975658
0.45413713,0.58407473,0.10927175,0.3511764
0.40460135,0.57467814,0.13510033,0.33780896
0.37991968,0.56821819,0.16667581,0.33748622
0.37575414,0.55933037,0.18201608,0.33945093
0.39099922,0.55301578,0.17818448,0.34095613
0.41314208,0.54470018,0.17092877,0.3494882
0.43509746,0.54041356,0.16073358,0.35735018
0.4542478,0.53753856,0.16181266,0.35976613
0.49690421,0.53775939,0.18284905,0.35681349
0.53856486,0.54865065,0.19779903,0.34301126
0.53066467,0.55223108,0.17576287,0.30918643
0.57551288,0.5341525,0.19937653,0.29435474
0.603157,0.52491807,0.2106091,0.28872697
0.59318676,0.52753308,0.20862004,0.26932268
0.5634703,0.51975911,0.20100174,0.26992476
0.54447121,0.53073183,0.19557492,0.27810206
0.52242076,0.52329871,0.18947067,0.28990411
0.4970925,0.5073968,0.17486201,0.3026541
0.48572547,0.47785911,0.16750384,0.30080032
0.48906071,0.46629063,0.1820518,0.29302674
0.48858588,0.45417104,0.20488209,0.28660317
0.4759951,0.45311492,0.22968386,0.28765786
0.45077024,0.42625546,0.26102506,0.26604786
0.47142772,0.40724528,0.26829565,0.25640971
0.49193395,0.41037914,0.27257855,0.24779811
0.50113483,0.39963484,0.27896118,0.22842635
0.51284855,0.38094774,0.28547084,0.21709238
0.52158093,0.38015103,0.29263796,0.20865976
0.52395965,0.38454158,0.2923126,0.212318
0.53185339,0.36254161,0.29577471,0.21982901
0.54272523,0.33907786,0.31227164,0.23109945
0.53984885,0.34637006,0.33825795,0.24281105
0.55209543,0.35258458,0.37850068,0.2478833
0.58816397,0.33551349,0.41745064,0.23677732
0.57142108,0.31127259,0.42520281,0.19186854
0.60572128,0.27649292,0.44912464,0.19361705
0.6062251,0.25183003,0.4601579,0.19936215
0.59256919,0.23549413,0.46238473,0.20269544
0.58107282,0.22589544,0.45069858,0.20950874
0.55014832,0.22465173,0.41138365,0.21531506
0.50613843,0.23720391,0.37780607,0.22657029
0.485779,0.25499965,0.36267216,0.2465326
0.47237296,0.27272353,0.34424523,0.26678474
0.45785405,0.29392706,0.33300751,0.27740254
0.44921888,0.32053386,0.31099812,0.27412334
0.42570663,0.33409235,0.29740222,0.26027605
0.3748273,0.36511569,0.28737959,0.20782727
0.33833325,0.35401031,0.28728423,0.19752555
0.32277973,0.35870047,0.29682547,0.18969736
0.34084418,0.35082906,0.32446976,0.18229723
0.35880132,0.36081385,0.33970786,0.17731194
0.38631636,0.36423862,0.34090502,0.16888992
0.39753989,0.37148261,0.33223072,0.16159272
0.39224956,0.38116114,0.31148945,0.15157325
0.39022837,0.40374304,0.30152805,0.14516424
0.39567588,0.42145331,0.2979577,0.13513912
0.42867125,0.44289994,0.30638514,0.12264935
0.47546582,0.4618968,0.30972865,0.1032113
0.48795225,0.47111748,0.28068667,0.07357334
0.51592549,0.45905457,0.28959687,0.06168025
0.55492757,0.45700599,0.31857336,0.05265236
0.58624922,0.45655928,0.34582311,0.04827055
0.5880039,0.47574448,0.37114177,0.04479482
0.57173403,0.47907402,0.36723633,0.0398324
0.54188342,0.47801118,0.36275973,0.0408642
0.5117699,0.47836968,0.34251003,0.04551855
0.48138348,0.47788805,0.32141803,0.04719899
0.46659195,0.47435396,0.29160139,0.04789066
0.46397658,0.46431275,0.27363159,0.05343476
0.44858407,0.45637953,0.25770944,0.06358049
0.47701785,0.43161293,0.21741343,0.08831412
0.43701157,0.45391279,0.20125155,0.10103594
0.39318479,0.47211231,0.20805021,0.10690575
0.37530391,0.47714433,0.21527476,0.1122058
0.36824815,0.49413326,0.21436937,0.1264978
0.37751649,0.48867564,0.21376009,0.14903317
0.38734366,0.4906919,0.21795214,0.17657659
0.41258992,0.5032242,0.21996047,0.20535716
0.40414008,0.50381005,0.21522818,0.23051466
0.36778917,0.51225989,0.22121405,0.25633234
0.34496892,0.50157817,0.24356829,0.26926921
0.3325652,0.50877584,0.26258169,0.27830799
0.36705763,0.50010089,0.25671168,0.26322443
0.35422937,0.51314509,0.27061965,0.24790803
0.36450082,0.49791974,0.27052378,0.24510767
0.39076978,0.49401526,0.26601957,0.24810207
0.40127473,0.50197732,0.25516445,0.25384292
0.40055972,0.5023229,0.24153547,0.26235924
0.395281,0.50489699,0.22980638,0.28008761
0.40263891,0.50513584,0.22782778,0.29479204
0.41906913,0.5140023,0.22608396,0.2979331
0.43125616,0.51487493,0.22664582,0.30204136
0.43701015,0.52747508,0.22025214,0.30204241
0.43963179,0.53789141,0.20585341,0.3101058
0.45432735,0.55306031,0.20086246,0.32240577
0.47678935,0.5647185,0.20931703,0.34171868
