x1,x2,x3,x4
0.41089616,0.40351234,0.34289477,0.20956531
0.41223636,0.39323235,0.30931805,0.21723526
0.42556846,0.37676214,0.28025676,0.22881303
0.4396714,0.34237787,0.26597764,0.24588451
0.46267602,0.30276343,0.25239386,0.26635315
0.48520232,0.26683229,0.22854619,0.28615606
0.52016314,0.25426386,0.21671545,0.31272229
0.5571699,0.25624306,0.21858338,0.33154283
0.5828064,0.26990184,0.22505997,0.33518852
0.61039007,0.28724641,0.23618613,0.33492774
0.57705661,0.28058966,0.24731361,0.33596993
0.58765049,0.3012721,0.2596328,0.34205735
0.58309836,0.31408968,0.26961966,0.34082591
0.58546282,0.32804925,0.27878039,0.34904565
0.600491,0.34508642,0.27673995,0.36423557
0.59522634,0.36408255,0.2637181,0.37273863
0.59416844,0.37257308,0.24768489,0.38496901
0.57970301,0.37114742,0.2320526,0.39653134
0.56719787,0.36637961,0.23320019,0.39815945
0.55133742,0.35586316,0.24450178,0.39680592
0.53081622,0.34828672,0.25861542,0.3834281
0.49834166,0.34686578,0.26373988,0.3674793
0.50506024,0.35012692,0.26129758,0.36726682
0.48803941,0.36426585,0.23340949,0.34710496
0.47971974,0.38421761,0.21078833,0.32799013
0.4717861,0.38811615,0.186795,0.31645685
0.45919925,0.38759933,0.16340115,0.3126418
0.45817434,0.38245297,0.15328822,0.30872692
0.45670577,0.37456929,0.14343045,0.3067297
0.4714661,0.3658517,0.12095735,0.30611057
0.49349607,0.35595218,0.0994798,0.30939925
0.51401704,0.34834133,0.10651909,0.30146895
0.52337438,0.34475272,0.12823534,0.278093
0.54505611,0.34117768,0.15351058,0.25736344
0.474765,0.33478307,0.15988162,0.23451646
0.54040412,0.32391506,0.17801645,0.21834579
0.60417631,0.30720955,0.19309982,0.21619763
0.62164583,0.28385781,0.20969433,0.21797881
0.63285429,0.27106562,0.23122215,0.24079372
0.62793366,0.27175796,0.2502402,0.27338683
0.61969972,0.2654801,0.26799371,0.32057737
0.60885865,0.25466644,0.26647174,0.36332826
0.59215179,0.23784626,0.26422847,0.38166831
0.57074056,0.23364054,0.2832008,0.38684416
0.54466898,0.23622349,0.3067972,0.37314705
0.52318822,0.24041619,0.31873231,0.35602463
0.5234238,0.22883743,0.30495138,0.3459479
0.50704922,0.25599789,0.31513228,0.31287221
0.49173106,0.28654684,0.31785981,0.31227978
0.48458035,0.30805267,0.31891497,0.32871466
0.49153221,0.33451749,0.3149524,0.35633616
0.49785369,0.35953783,0.3084913,0.38756375
0.49370626,0.3838586,0.29105542,0.40338622
0.49006977,0.41298732,0.27540866,0.41341028
0.49396511,0.44773086,0.23929639,0.41199787
0.49495319,0.4930682,0.2116748,0.40632106
0.51133266,0.5356645,0.18813888,0.38372216
0.52669227,0.57207569,0.17088458,0.35690577
0.54120475,0.59458486,0.15035617,0.32043349
0.53425763,0.6090948,0.1463681,0.3025292
0.54279853,0.62121696,0.14729422,0.29671026
0.56491927,0.63808536,0.15404932,0.30553083
0.58343004,0.65145559,0.15644942,0.32712169
0.59415508,0.66393371,0.15448597,0.34204424
0.5964583,0.6778905,0.14737406,0.37122636
0.60378307,0.68170153,0.13663507,0.39619424
0.61002669,0.68608862,0.13188721,0.39415131
0.61997589,0.69050557,0.13806604,0.37126098
0.63750483,0.68937229,0.14094182,0.3419091
0.64885542,0.6886483,0.13754704,0.30989413
0.69170524,0.67017138,0.13285094,0.29605484
0.66612384,0.66210902,0.12396911,0.26746567
0.64897122,0.66903054,0.11491597,0.25607674
0.6488612,0.67810975,0.11408193,0.24056183
0.64120969,0.67425735,0.11900435,0.23785369
0.62298283,0.66657005,0.12439825,0.23751271
0.60037722,0.65647464,0.12377945,0.24431598
0.57709053,0.64919107,0.10538825,0.25159767
0.54835248,0.6470544,0.09712393,0.25521994
0.52019222,0.64427537,0.10523535,0.25303823
0.51940187,0.6434126,0.12918854,0.24201917
0.47874501,0.63762833,0.15773003,0.23357937
0.36062467,0.62452769,0.17952399,0.22778643
0.35435996,0.61070923,0.19655359,0.21875547
0.37474393,0.60561073,0.22028676,0.23138696
0.40912176,0.60623262,0.23815088,0.24611213
0.42056866,0.59265948,0.24551143,0.26073327
0.42098616,0.58886977,0.2495317,0.27155418
0.4116958,0.58700459,0.25046724,0.2872886
0.41979842,0.58067969,0.24479309,0.30466645
0.42579168,0.57016719,0.25599543,0.29708969
0.43177717,0.55008364,0.27306584,0.28165313
0.43909963,0.53785526,0.2781381,0.26167209
0.44340099,0.53591173,0.27190035,0.24754745
0.4426829,0.5301749,0.26853153,0.23894645
0.41076234,0.51313135,0.25571612,0.2458379
0.40628302,0.49089966,0.23923479,0.25828186
0.41736081,0.48284832,0.22802583,0.26283474
0.42019901,0.47351724,0.22601544,0.26387045
0.42437865,0.46664623,0.2279325,0.26627186
0.43567869,0.45741368,0.22316534,0.26725433
0.43636213,0.44969821,0.20083682,0.27395378
0.43619274,0.44146395,0.18711817,0.2818479
0.43341821,0.43769481,0.19622495,0.27996998
0.44706487,0.43397969,0.22125361,0.2614673
0.44245815,0.43034215,0.25685926,0.24763461
0.40472354,0.42593656,0.28472071,0.20510412
0.42878431,0.4232994,0.30455124,0.20188027
0.4474742,0.4151095,0.32053314,0.19944587
0.46228275,0.41515544,0.33658887,0.1970652
0.47316966,0.41729624,0.35377677,0.19424886
0.46661483,0.43474141,0.36809638,0.18973076
0.45132325,0.44810702,0.37225257,0.19542601
0.46040932,0.45685506,0.36575908,0.20269468
0.47658799,0.46335342,0.37497954,0.19485058
0.48586834,0.47321733,0.39360723,0.17625118
0.49374253,0.47659037,0.41019657,0.15591183
0.50228883,0.48316837,0.41714,0.14328086
0.51137823,0.48382792,0.40130136,0.11408448
0.5005277,0.4794266,0.38323721,0.11043311
0.49429579,0.46352082,0.36030133,0.11507129
0.50269789,0.4538628,0.3314917,0.1139375
0.51591385,0.46155845,0.30378742,0.11316533
0.53265544,0.45895047,0.28042963,0.11480927
0.55943259,0.45253788,0.26643267,0.1132376
0.571654,0.44889887,0.2433079,0.10824661
0.56326578,0.45129368,0.22955342,0.10227852
0.55542971,0.4549185,0.21414016,0.09596106
0.55546813,0.45337198,0.20253296,0.08681181
0.54881375,0.45000289,0.20227213,0.08041801
0.45637374,0.46104586,0.17456954,0.10351652
0.46152533,0.4498862,0.17623968,0.100197
0.46770394,0.44119803,0.181201,0.09959652
0.49233794,0.44028291,0.19470493,0.09618266
0.51919142,0.45101909,0.21183707,0.09931413
0.52311795,0.46728772,0.21354958,0.11282098
0.51452082,0.48183664,0.21875787,0.12807595
0.53121256,0.4864647,0.22128722,0.14602982
0.5468762,0.48794898,0.22247414,0.15885237
0.5580587,0.4850707,0.22742824,0.16258731
0.56436351,0.48742649,0.24260407,0.15785778
0.55869246,0.48776809,0.26402152,0.15321669
0.54837709,0.51037314,0.27598425,0.15333292
