x1,x2
2203.08895452,2774.73884118
2150.39774757,2702.16415992
2125.54340467,2684.26903303
2135.48514183,2710.11754965
2187.18217506,2869.1853442
2509.29445903,3352.35377014
2914.91733513,3872.30662358
3291.70917347,4214.30238186
3508.43904354,4326.64401176
3574.0545088,4342.55079122
3581.01372481,4333.60322777
3545.22347103,4256.05767793
3593.93798311,4311.73140602
3568.0894665,4333.60322777
3499.4914801,4286.87706312
3418.96340911,4393.25365073
3306.62177921,4375.35852384
3231.0645768,4290.85375799
3167.43745898,4149.68109032
3129.65885777,4013.47929124
3136.61807378,3786.80768401
2959.65515235,3444.81192572
2626.60695751,3151.53067952
2397.94700284,2913.92316141
2203.08895452,2800.5873578
2140.45601041,2733.97771883
2118.58418866,2715.08841823
2129.52009954,2729.00685025
2178.23461162,2861.23195447
2393.97030798,3243.9888351
2713.10007079,3667.50683809
3071.99678225,3972.71816889
3260.88978828,4081.08310392
3347.38290156,4132.78013715
3367.26637588,4127.80926857
3311.59264779,4071.14136676
3365.27802845,4098.97823081
3323.52273238,4072.13554048
3276.79656773,4083.07145136
3232.05875051,4298.80714771
3152.52485324,4343.54496493
3107.78703602,4260.03437279
3071.99678225,4185.4713441
3076.96765083,4045.29285015
3107.78703602,3753.00577766
2881.11542879,3445.80609944
2588.8283563,3166.44328526
2369.11596508,2952.69593633
2224.96077627,2835.38343785
2171.27539561,2765.79127774
2153.38026872,2742.92528227
2164.3161796,2763.80293031
2235.89668714,2876.14456021
2525.20123848,3263.87230942
2940.76585174,3695.34370214
3347.38290156,4002.54338037
3551.18851333,4107.92579425
3609.84476257,4160.6170012
3611.83311,4149.68109032
3585.98459339,4077.10640906
3628.73406317,4110.9083154
3599.90302541,4089.03649365
3549.2001659,4125.82092114
3477.61965835,4257.05185165
3371.24307074,4306.76053744
3303.63925806,4222.25577159
3242.00048767,4119.85587885
3238.02379281,3986.63660091
3221.12283964,3765.93003597
3021.29392273,3459.72453146
2665.37973243,3168.43163269
2451.6323835,2987.49201639
2277.65198321,2836.37761157
2210.04817053,2764.79710402
2167.29870074,2748.89032457
2174.25791676,2785.67475206
2238.87920829,2935.79498316
2537.13132307,3403.05662965
2952.69593633,3926.98617795
3320.54021123,4292.84210542
3524.345823,4401.20704046
3565.10694535,4373.37017641
3585.98459339,4332.60905406
3551.18851333,4291.8479317
3595.92633055,4347.5216598
3574.0545088,4325.64983804
3516.39243327,4385.300261
3422.94010397,4462.84581084
3315.56934265,4461.85163713
3256.91309341,4369.39348155
3195.27432302,4246.11594077
3166.44328526,4093.01318852
3198.25684417,3875.28914473
3000.4162747,3546.21764475
2663.391385,3224.10536079
2438.7081252,2977.55027923
2298.52963125,2909.94646655
2217.00738654,2845.32517501
2190.16469621,2817.48831097
2206.07147567,2848.30769616
2291.57041524,2994.4512324
2579.88079286,3498.49730638
2995.44540612,4025.40937583
3341.41785927,4364.42261297
3555.16520819,4474.77589544
3609.84476257,4464.83415828
3610.83893629,4428.04973079
3566.10111907,4343.54496493
3617.7981523,4389.27695586
3577.03702994,4371.38182898
3525.33999672,4366.4109604
3429.89931999,4450.91572625
3331.47612211,4479.74676402
3262.87813571,4374.36435013
3200.2451916,4245.12176705
3142.58311608,4103.94909939
3183.34423843,3868.32992871
2972.57941065,3568.0894665
2654.44382155,3282.76161003
2418.82465088,3069.0142611
2257.76850889,2924.85907229
2185.19382763,2855.26691217
2144.43270528,2822.45917955
2135.48514183,2829.41839556
2132.50262069,2917.89985628
2201.10060709,3163.46076411
2421.80717202,3501.47982753
2708.12920221,3779.848468
2951.70176262,3935.9337414
3057.08417651,4009.50259638
3077.96182454,4032.36859184
3071.00260853,4006.52007523
3049.13078678,3985.64242719
3006.381317,3970.72982146
2948.71924147,3990.61329577
2910.94064027,4114.88501027
2878.13290764,4179.5063018
2845.32517501,4095.99570966
2815.49996354,4051.25789245
2821.46500583,3933.94539397
2871.17369163,3759.96499368
2724.03598167,3503.46817496
2503.32941673,3252.93639855
2280.63450436,3044.1599182
2166.30452703,2894.03968709
2093.72984576,2817.48831097
2054.95707084,2783.68640463
2048.99202855,2789.65144692
2035.07359652,2867.19699676
2066.88715543,3079.95017197
2233.90833971,3379.19646047
2479.46924755,3638.67580033
2715.08841823,3817.6270692
2844.3310013,3919.03278823
2885.09212365,3958.79973686
2884.09794994,3941.89878369
2889.06881851,3937.92208883
2861.23195447,3926.98617795
2819.4766584,3936.92791511
2805.55822638,4083.07145136
2807.54657381,4280.91202083
2807.54657381,4228.22081388
2821.46500583,4172.54708579
2852.28439103,4052.25206616
2875.15038649,3849.44062811
2667.36807986,3557.15355563
2403.91204514,3241.00631396
2215.01903911,3067.02591367
