x1,x2
2710.92991213,3465.70614931
2615.95137626,3387.90458269
2589.6807174,3385.88376278
2560.37882867,3402.05032208
2612.92014639,3473.78942896
2826.11664712,3747.61052705
3438.42508049,4421.55396775
4007.28588576,5158.14282572
4197.2429575,5416.80777447
4344.76281109,5396.59957535
4418.52273788,5370.32891649
4394.27289893,5247.05890185
4317.48174227,5146.01790625
4319.50256218,5138.94503655
4250.79468517,5112.6743777
4079.02499264,5057.10183011
4037.59818444,5305.6626793
4240.69058561,5738.1181405
4148.74327961,5478.44278179
3890.07833086,5082.36207901
3694.05879938,4738.82269395
3641.51748166,4389.22084915
3325.25916541,4012.33793554
3010.01125912,3659.70486087
2815.0021376,3444.48754023
2688.70089309,3304.04055634
2632.11793555,3233.31185941
2634.13875547,3226.23898972
2707.89868226,3225.22857976
2922.10559294,3445.49795019
3408.11278181,4052.75433378
3926.45308927,4749.93720347
4141.67040992,4949.99837477
4255.84673495,4928.77976569
4351.83568078,5086.40371884
4342.74199117,4971.21698385
4243.72181548,4859.06147872
4265.95083451,4880.2800878
4191.18049776,4790.35360171
4042.65023422,4719.62490479
4033.55654462,4934.84222543
4230.58648605,5323.85005851
4120.45180084,5112.6743777
3896.14079059,4778.22868224
3737.50642749,4427.61642748
3681.93387991,4110.34770128
3370.72761344,3778.93323569
3034.26109807,3457.62286966
2842.28320641,3237.35349924
2730.12770129,3127.21881403
2695.77376279,3094.88569543
2706.8882723,3129.23963394
2768.52327962,3235.33267932
2982.73019031,3530.3723865
3471.76860904,4210.37828693
4003.24424594,4927.76935574
4251.80509513,5148.03872616
4282.11739381,5162.18446554
4392.25207902,5263.22546115
4397.3041288,5289.49612001
4351.83568078,5218.76742308
4405.38740845,5217.75701313
4372.0438799,5097.51822836
4280.0965739,5013.654202
4237.65935574,5180.37184475
4417.51232792,5528.9632796
4238.6697657,5268.27751093
3968.89030743,4941.91509512
3803.18307463,4651.92743773
3738.51683745,4332.63789161
3431.3522108,3978.99440699
3098.92733526,3658.69445092
2878.65796483,3442.46672032
2771.55450949,3326.26957537
2735.17975107,3273.72825766
2755.38795019,3274.73866761
2820.05418738,3337.38408489
3030.21945824,3580.8928843
3515.21623716,4272.01329425
4047.702284,4973.23780376
4316.47133232,5209.67373348
4411.44986819,5214.72578326
4521.5845534,5281.41284036
4527.64701313,5244.02767198
4499.35553436,5152.08036598
4530.678243,5149.04913611
4461.97036599,5100.54945822
4260.89878473,5019.71666174
4246.75304535,5201.59045383
4399.32494871,5506.73426056
4266.96124447,5234.93398238
4086.09786233,4927.76935574
3932.51554901,4588.2716105
3673.85060026,4233.61771592
3424.27934111,3889.0679209
3117.11471446,3568.76796483
2899.87657391,3343.44654462
2790.75229866,3239.37431915
2699.81540261,3179.76013174
2696.78417274,3172.68726205
2774.58573936,3244.42636893
3003.94879939,3493.99762808
3502.08090773,4171.9827086
4064.87925326,4891.39459732
4269.99247434,5139.95544651
4311.41928254,5103.58068809
4392.25207902,5159.15323568
4289.1902635,5123.78888721
4225.53443627,4998.49805266
4248.77386526,4919.68607609
4070.94171299,4790.35360171
3804.19348459,4723.66654461
3915.33857976,4932.82140552
4013.3483455,5260.19423128
3996.17137624,5092.46617857
3643.53830158,4691.33342602
3418.21688137,4334.65871152
3363.65474375,4047.702284
3114.0834846,3787.01651534
2890.78288431,3497.02885795
2691.73212296,3285.85317713
2571.49333819,3135.30209367
2516.93120056,3041.33396776
2479.54603219,3021.12576864
2503.79587113,3038.30273789
2564.4204685,3120.14594433
2631.1075256,3331.32162515
2886.74124448,3657.68404096
3192.89546117,4017.38998532
3366.68597361,4255.84673495
3466.71655926,4416.50191797
3465.70614931,4443.78298678
3394.97745238,4382.14797946
3277.76989748,4321.5233821
3289.89481695,4295.25272324
3248.46800875,4327.58584183
3334.35285502,4521.5845534
3587.96575399,4882.30090771
3584.93452412,4737.812284
3370.72761344,4346.783631
3258.57210831,4068.92089308
3175.71849192,3829.45373349
2960.50117127,3626.36133232
2765.49204975,3380.831713
2565.43087845,3218.15571007
2458.32742311,3136.31250363
2401.74446557,3083.77118591
2413.86938504,3087.81282574
2393.66118592,3099.93774521
2431.0463543,3145.40619323
2441.15045386,3292.92604682
2672.5343338,3539.4660761
2959.49076132,3830.46414345
3181.78095165,4064.87925326
3285.85317713,4266.96124447
3335.36326498,4309.39846262
3342.43613467,4250.79468517
3278.78030744,4223.51361636
3248.46800875,4198.25336746
3227.24939968,4216.44074667
3325.25916541,4489.2514348
3594.02821373,4925.74853582
3603.12190333,4761.05171298
3436.40426058,4466.01200581
3363.65474375,4153.79532939
3280.80112735,3902.20325033
3014.05289895,3627.37174228
2790.75229866,3387.90458269
