x1,x2
7493.36963884,10246.58870706
7375.01632371,10010.88507098
7356.96242818,10005.8701
7431.18399869,10061.03478079
7537.50138347,10419.10370878
8138.29490692,11377.96616023
8898.56450754,11966.72375332
9213.50468511,12219.47829073
9274.68733107,12152.27767959
9350.91488997,12068.02616712
9369.97177969,12044.95730061
9406.07957075,11959.70279395
9330.85500605,11844.3584614
9266.6633775,11786.18479803
9217.51666189,11924.59799708
9159.34299852,12190.39145904
9150.31605075,12264.61302955
9121.22921907,12249.56811661
9170.37593467,12197.41241842
9174.38791146,12006.84352116
8964.76212448,11502.33744054
8991.84296777,11469.23863207
8560.55546346,11279.67272901
7996.87272527,10673.86423458
7684.94153029,10277.68152714
7487.35167367,10078.08568212
7464.28280716,9933.65451788
7525.46545312,9998.84914063
7693.96847806,10468.25042439
8261.66319303,11313.77453168
8793.25011695,11869.4333163
9162.35198111,12189.38846485
9245.60049938,12097.11299881
9244.59750518,11913.56506093
9236.57355162,11822.29258909
9210.49570252,11787.18779222
9101.16933515,11682.87639583
8976.79805483,11635.73566862
9006.88788072,11694.91232618
8966.76811287,11931.61895646
9032.96572981,12053.98424838
9077.09747444,12083.07108006
9134.26814362,12118.17587693
9188.4298302,11931.61895646
8919.62738566,11308.7595607
8971.78308385,11376.96316603
8542.50156793,11165.33139066
8055.04638864,10713.98400243
7705.00141422,10397.03783647
7596.67804104,10204.46295082
7597.68103524,10114.19347318
7772.20202535,10241.57373608
7900.58528245,10665.84028102
8367.98057782,11526.40930124
9000.86991554,11946.6638694
9149.31305656,12209.44834877
9267.66637169,11969.73273591
9177.39689405,11962.71177654
9163.3549753,12074.0441323
9150.31605075,12049.97227159
9220.52564448,11970.7357301
9156.33401593,11930.61596226
9186.42384181,12099.1189872
9100.16634095,12375.94538532
9210.49570252,12406.0352112
9155.33102173,12429.10407771
9261.64840652,12449.16396163
9222.53163287,12272.63698312
9022.93578785,11789.19378062
8886.52857719,11826.30456587
8522.44168401,11502.33744054
7977.81583555,11032.93615678
7685.94452449,10754.10377027
7514.43251696,10507.36719804
7538.50437767,10491.3192909
7602.69600622,10594.62769309
7772.20202535,11033.93915097
8355.94464747,11909.55308414
8981.81302581,12410.04718798
9265.6603833,12551.46936963
9389.02866942,12345.85555943
9442.18736181,12306.73878579
9533.45983365,12282.66692508
9492.33707161,12280.66093669
9469.2682051,12242.54715724
9368.9687855,12248.56512242
9290.7352382,12321.78369873
9182.41186503,12589.58314908
9092.14238738,12611.64902139
9009.8968633,12602.62207363
9085.12142801,12603.62506782
9137.2771262,12499.31367143
8948.71421734,11954.68782297
8918.62439146,12064.01419034
8592.65127774,11831.31953685
8152.33682566,11380.97514281
7810.3158048,11028.92417999
7707.00740261,10804.25348007
7729.07327492,10767.14269482
7770.19603696,10884.49301576
7973.80385876,11286.69368838
8466.27400903,12238.53518045
8982.81602001,12667.81669637
9216.51366769,12770.12210437
9424.13346628,12788.1759999
9486.31910644,12675.84064994
9449.20832118,12654.77777182
9448.20532699,12592.59213167
9437.17239083,12525.39152053
9320.82506409,12510.34660759
9288.72924981,12592.59213167
9200.46576056,12821.27480837
9146.30407397,12839.3287039
9053.02561373,12793.19097088
9191.43881279,12714.95742359
9112.2022713,12460.19689779
8964.76212448,11911.55907254
8934.6722986,11952.68183457
8538.48959115,11656.79854673
8021.94758017,11164.32839646
7681.93254771,10731.03490376
7484.34269108,10432.14263333
7418.14507414,10372.96597576
7430.18100449,10369.95699318
7413.13010316,10503.35522125
7416.13908575,10745.07682251
7630.77984371,10839.35827694
7918.63917798,11232.5320018
8124.25298817,11177.36732101
8177.41168056,11269.64278705
8194.4625819,11342.86136336
8239.59732072,11361.91825309
8254.64223366,11402.03802093
8214.52246582,11367.93621827
8217.53144841,11583.57997042
8332.87578096,11879.46325826
8574.59738221,12074.0441323
8660.85488307,12128.20581889
8658.84889468,12014.86747473
8532.47162597,11644.76261638
8510.40575366,11132.23258219
8524.44767241,11243.56493795
8216.52845421,11067.03795944
7793.26490347,10610.67560023
7465.28580135,10212.48690439
7330.88457908,9956.72338439
7273.7139099,9818.31018534
7344.92649783,9837.36707506
7330.88457908,9900.55570941
7341.91751524,10074.07370533
7423.16004512,10133.2503629
7722.05231555,10411.07975521
7974.80685296,10497.33725608
8188.44461672,10660.82531004
8222.54641939,10786.19958454
8227.56139037,10833.34031176
8211.51348323,10842.36725952
8143.3098779,10818.29539882
8132.27694174,10962.72656305
8137.29191272,11309.76255489
8260.66019884,11401.03502674
8400.07639209,11397.02304995
8605.69020229,11384.9871196
8586.63331256,11203.44517011
8543.50456213,10653.80435066
8656.84290629,10948.68464431
8398.0704037,10873.4600796
7956.75295743,10545.48097749
