x1,x2
11040.58273766,17814.62162962
10744.40614799,17596.49157372
10583.31009754,17449.40387548
10583.31009754,17517.44444337
10758.41450021,17599.49336348
11093.61435675,18343.93722399
11930.11310323,19933.88520026
13269.91193283,21144.60707016
13637.13088015,21842.02289109
13670.15056751,21487.8116994
13644.13505625,21276.68581961
13414.9984379,21013.52891731
13341.95488707,20890.45553714
13216.88031373,20738.36485596
13434.00977305,20894.45792349
13401.99068227,21065.55993981
13208.87554104,21447.78783593
13049.78068375,21440.78365983
12976.73713292,21178.62735411
12898.69059916,20910.46746888
13000.751451,20600.282527
13036.77292813,20112.99198927
12674.55696374,19446.59466253
11919.10654078,18548.05892767
11417.80765084,17985.72364595
11124.63285094,17662.53094844
10912.50637456,17488.42714236
10895.49623259,17566.47367612
10953.53083461,17799.61268082
11206.68177105,18493.02611541
12383.38335701,19857.83985967
13597.10701668,21337.7222114
13682.15772655,21806.00141397
13424.00380718,21686.93042016
13365.96920515,21641.90357375
13197.86897858,21501.82005162
13172.85406392,21266.67985374
13186.86241613,21226.65599027
13194.86718882,21230.65837662
13129.82841069,21529.83675604
13171.85346733,21881.04615798
13059.78664962,21801.99902763
12956.72520119,21630.8970113
12859.66733228,21366.73951241
13000.751451,21063.55874664
13179.85824002,20801.40244093
12739.59574188,19898.86431972
12114.22287519,19230.4657998
11410.80347474,18470.01239391
11264.71637308,18168.83282132
11228.69489596,17992.72782206
11014.5672264,17998.73140158
10891.49384624,18178.83878718
11108.62330555,18641.11441024
12064.19304585,20181.03255717
13309.9357963,21734.95905632
13573.0926986,22142.2018671
13535.0700283,22059.15235041
13360.96622222,21942.08254976
13437.01156281,21586.87076149
13254.90298403,21399.75919977
13426.00500035,21258.67508105
13343.95608024,21281.68880254
13223.88448984,21500.81945503
13256.9041772,21786.99007883
13241.8952284,21714.94712458
13298.92923384,21431.77829055
13139.83437656,21203.64226878
13225.88568301,20784.39229895
13134.83139362,20290.09758512
12593.50864022,19562.66386659
11813.04330259,18735.17048939
11137.64060657,18056.7660036
10776.42523877,17556.46771025
10519.27191599,17268.29589328
10587.31248388,17374.35913147
10622.33336442,17467.41461404
10826.4550681,17924.68725416
11803.03733672,19164.42642508
12840.65599713,20691.33681639
13160.84690488,21348.72877385
13179.85824002,21286.69178548
13198.86957517,21167.62079166
13138.83377997,21113.58857598
13055.78426327,20914.46985522
13060.78724621,20863.4394293
13214.87912056,21014.52951389
13348.95906318,21070.56292275
13084.80156429,21332.71922846
12918.7025309,21191.63510974
13100.81110967,20979.50863336
12974.73593975,20783.39170236
13035.77233154,20503.22465809
13081.79977453,20079.97230191
12598.51162315,19324.52187895
11921.10773395,18640.11381365
11580.90489448,17908.67770877
11446.82495186,17572.47725564
10971.54157318,17450.40447206
10874.48370427,17454.40685841
10862.47654523,17434.39492668
11230.69608913,18004.7349811
12020.16679604,19393.56304344
13211.8773308,21180.62854728
13873.27167461,21640.90297717
13705.17144804,21534.83973898
13515.05809657,21447.78783593
13500.04914777,21392.75502367
13179.85824002,21093.57664424
13062.78843938,20914.46985522
13058.78605303,20883.45136103
12986.74309879,20907.46567912
12801.63273025,21082.57008179
12793.62795756,21090.57485448
12700.57247499,20987.51340605
12717.58261697,20671.32488465
12601.51341291,20044.95142138
12629.53011734,19470.60898061
12109.21989225,18969.31009068
11817.04568894,18462.00762122
11264.71637308,17920.68486781
11079.60600454,17531.45279559
10851.46998277,17232.27441616
10840.46342032,17153.22728581
10848.46819301,17043.16166128
10922.51234043,17291.30961478
11035.57975472,17688.5464597
11383.7873669,18378.95810452
11977.14114281,19031.34707905
12507.45733376,19765.78497369
12671.55517398,20240.06775579
12587.5050607,20345.13039739
12556.48656651,20308.10832368
12303.33563007,20139.00750053
12209.27955092,20006.92875108
12158.249125,20086.97647802
12261.31057343,20489.21630587
12332.35293109,20682.33144711
12267.31415295,20564.26104988
12298.33264714,20155.01704592
12195.27119871,19579.67400856
12257.30818709,19068.36915276
11962.13219401,18634.11023413
11506.86074706,18111.79881587
11169.65969734,17630.51185767
10923.51293701,17382.36390417
10740.40376165,17215.26427419
10658.35484154,17220.26725712
10626.33575076,17186.24697317
10635.34112004,17248.28396155
10634.34052346,17454.40685841
10948.52785168,17835.63415794
11485.84821874,18320.92350249
11936.11668276,18936.29040331
12107.21869908,19426.5827308
12068.1954322,19710.75216142
12102.21571615,19757.780201
12020.16679604,19778.79272932
11746.00333128,19966.90488762
11834.05583091,20170.02599472
11917.10534761,20432.18230043
11965.13398377,20424.17752774
12191.26881236,20259.07909093
12286.3254881,20035.9460521
12477.43943616,19915.87446169
12641.53727638,19555.65969048
12306.33741983,19068.36915276
11688.96932584,18529.04759253
