x1,x2
10649.40897202,16744.42864839
10559.07561851,16530.01101809
10551.13422479,16511.15020801
10335.72392027,16745.42132261
10558.08294429,17097.82066872
11169.57026036,17663.64497092
12804.50469147,19888.22788538
14152.55627461,21830.89132295
14774.96300704,21900.37851796
14856.36229262,21623.42241214
14802.75788504,21788.20633173
14680.65895667,21829.89864873
14626.06187488,21689.9315845
14529.77247608,21505.29418063
14234.94823441,21441.76303091
14067.18629217,21861.66422359
13967.91887074,22217.04159235
13922.25585687,22310.3529685
13702.87485549,22120.75219355
13421.94805282,21623.42241214
13248.2300653,20624.79215246
12851.16037954,19970.61984517
12082.8305376,18887.61227727
11120.92922385,17936.63037988
10749.66906767,17075.981836
10671.24780473,16792.07701069
10573.96573172,16737.47992889
10438.96203857,16793.0696849
10792.35405889,16949.91221077
11331.37615731,17608.05521492
12795.57062354,19494.13622227
14037.40606574,21236.27946853
14558.5600283,21854.71550409
14744.19010639,21425.88024348
14543.66991508,21507.27952906
14649.88605602,21360.36374533
14587.34758052,21084.40031372
14560.54537673,20922.59441678
14557.56735409,20907.70430356
14385.83471499,21325.62014782
14113.84198025,22091.96464133
14151.5636004,22328.22110436
14056.26687582,21877.54701102
13798.17158007,21517.2062712
13606.5854567,21083.40763951
13492.42792204,20445.11811965
12554.35078944,18990.85039557
11740.35793364,18236.41799263
11390.93661017,17126.60822094
11334.35417995,17203.04413544
11206.29920629,17031.31149635
11114.97317857,17118.66682722
11004.78634077,17497.86837712
11218.21129686,18271.16159013
12706.22994424,20790.56874626
14024.50130096,22916.8769135
14498.99957544,22969.48864686
14872.24508005,22659.77429197
14985.40994049,22500.94641766
15045.96306757,22224.98298606
14975.48319834,22046.30162747
14944.7102977,22051.26499854
14714.40987996,22443.37131323
14622.09117802,22869.2285512
14459.29260686,23002.24689593
14815.66264983,22907.94284557
14478.15341693,22390.75957987
14317.3401942,22116.78149669
14438.44644836,21367.31246483
13889.4976078,20104.63086412
12765.7903971,19321.41090896
12115.58878668,18306.89786185
11368.10510324,17383.71084246
11006.7716892,17001.53126992
10851.91451175,16710.67772511
10811.21486896,16609.42495524
10925.37240362,17005.50196678
11143.76073078,17874.09190437
12983.18605006,19813.7773193
14618.12048116,21431.83628876
15188.90815444,21730.63122729
15176.00338965,21338.52491261
14943.71762348,21595.62753414
15195.85687394,21579.74474671
14866.28903476,21749.49203737
14634.00326859,21816.00120973
14826.58206619,21847.76678459
15004.27075056,22275.609371
14242.88962812,22554.55082524
14253.80904448,22636.94278504
14021.52327831,22146.56172313
14098.95186704,21718.71913672
14129.72476768,20839.20978277
13702.87485549,19991.46600368
12682.4057631,19115.92734658
11911.09789851,18111.34104161
11439.57764667,17186.1686738
11132.84131443,16910.2052422
11057.39807413,16714.64842196
10989.89622755,16766.26748111
11213.24792579,17114.69613036
11469.35787311,18101.41429947
12773.73179082,20003.37809425
14254.80171869,22235.90240242
15117.435611,22443.37131323
15296.11696959,22219.02694078
15304.05836331,22495.98304659
15333.83858974,22351.05261129
15115.45026257,22099.90603505
14928.82751027,21999.6459394
14607.2010648,21704.82169772
14499.99224965,21580.73742092
14475.17539429,21779.2722638
14140.64418404,21933.13676703
13959.97747702,21643.27589643
13672.10195485,20720.08887704
13387.20445531,19694.65641357
12953.40582362,19076.22037801
11935.91475387,18072.62674725
11285.71314344,17637.83544135
10788.38336203,16791.08433647
10373.44554042,16518.09892751
10198.73487868,16376.14651485
10219.58103718,16373.16849221
10046.85572388,16335.44687206
10023.03154273,16567.73263823
10277.15614162,17117.67415301
11126.88526914,18047.80989189
12085.80856024,18818.12508226
12813.4387594,19422.66367883
12909.72815819,20050.03378233
12890.86734812,20222.75909563
12750.90028389,20245.59060256
12555.34346365,20121.50632576
12365.7426887,19920.98613445
12249.59980562,20114.55760626
12443.17127743,20708.17678647
12623.83798445,20794.53944312
12893.84537076,20566.22437381
12768.76841975,19872.34509795
12704.24459581,19161.59036044
12533.50463094,18516.35212109
11882.31034629,17823.46551944
11450.49706303,17199.07343859
10605.73130658,16667.99273389
10365.5041467,16491.29672372
10306.93636805,16296.7325777
10257.30265733,16342.39559157
10277.15614162,16450.59708093
10228.51510511,16503.2088143
10242.41254412,16907.22721956
10642.46025252,17421.43246261
11375.05382274,18146.08463912
11931.94405701,18874.70751248
12261.51189619,19391.89077818
12425.30314157,19787.96778973
12412.39837678,19766.12895701
12352.83792392,19643.03735442
12256.54852512,19746.27547272
12102.68402189,20125.47702262
12288.31409998,20774.68595883
12743.95156439,21032.78125458
12988.14942113,20766.74456512
13071.53405514,20352.79941772
13123.15311429,19397.84682347
12893.84537076,18679.15069225
11971.65102559,18098.43627683
11176.51897986,17282.4580726
