x1,x2
0.5237322,0.37585054
0.56279137,0.360456
0.57546641,0.33271831
0.55177115,0.30294399
0.55099457,0.27008418
0.54506925,0.23511835
0.54921812,0.20547762
0.6024447,0.17475405
0.616451,0.15511262
0.58275094,0.145849
0.59926134,0.11173622
0.6467105,0.10099914
0.68237469,0.09041573
0.71168405,0.08448131
0.72571941,0.08914666
0.73708237,0.10269292
0.73454703,0.12698964
0.70221264,0.16606862
0.67196938,0.21636148
0.64329442,0.27600024
0.61472574,0.32936275
0.59073157,0.37998921
0.57994299,0.43761562
0.55218526,0.50866173
0.52728244,0.57014311
0.48882209,0.63348533
0.42637332,0.69632223
0.37990239,0.73510181
0.35502298,0.77021897
0.33856754,0.81452969
0.28611139,0.85671703
0.25208735,0.88170677
0.2259898,0.89435509
0.19669134,0.90161591
0.16570303,0.91634701
0.12839793,0.92537085
0.11049456,0.93146557
0.09901886,0.93392131
0.08849823,0.9328503
0.07842033,0.93194199
0.06302777,0.92946267
0.04960639,0.92364604
0.03860755,0.9109264
0.03530057,0.8931904
0.04526743,0.87542772
0.06833431,0.86037281
0.10794447,0.8050866
0.18936072,0.78262813
0.2819195,0.7704728
0.3748527,0.74698546
0.46707426,0.69434296
0.52934662,0.64813587
0.56926862,0.5885285
0.59019842,0.56532657
0.59973547,0.5468829
0.57160905,0.53068008
0.58260808,0.51706235
0.59408737,0.47854261
0.58713841,0.40600844
0.61588028,0.37094947
0.64709428,0.35949629
0.63627852,0.36307573
0.62930079,0.36929311
0.617924,0.39083205
0.59036684,0.41717869
0.56446365,0.41868291
0.54774798,0.39605502
0.53225507,0.36799974
0.52155572,0.33874028
0.50673257,0.27778295
0.47513897,0.22663524
0.451607,0.19676724
0.41597104,0.18515161
0.37406698,0.17662452
0.30806034,0.18557698
0.2381995,0.216499
0.18285987,0.22192927
0.15698121,0.2051808
0.15426118,0.18336342
0.15225522,0.16373271
0.15015634,0.15247084
0.1590255,0.14150637
0.2029254,0.1371308
0.22340413,0.14284321
0.2456893,0.17262063
0.2987553,0.207838
0.33818709,0.23945187
0.37099571,0.29586717
0.3603751,0.3209477
0.34911812,0.34672566
0.34742269,0.36496319
0.3494553,0.38350856
0.3566234,0.39526897
0.35744043,0.41952047
0.36925821,0.38732046
0.35147573,0.41548557
0.35567384,0.43520521
0.34311092,0.45147651
0.32456107,0.46988411
0.33120473,0.48028296
0.31988767,0.49243996
0.31750329,0.49355305
0.3396215,0.49874324
0.37628952,0.51101915
0.41408765,0.51410651
0.49164004,0.50469377
0.5509973,0.50376301
0.57403419,0.50657924
0.58107641,0.5141449
0.61774818,0.49482726
0.67104636,0.51948769
0.69904711,0.55338094
0.68065126,0.57590818
0.62851536,0.57836422
0.58741489,0.57580635
0.58572592,0.57666849
0.55626805,0.58591157
0.52537614,0.59308071
0.49238503,0.54754141
0.48117765,0.58287646
0.44946551,0.59979951
0.44544067,0.61133967
0.45751665,0.61761302
0.45881972,0.61973283
0.44101182,0.63504155
0.39269726,0.64974403
0.33337918,0.65088669
0.30830592,0.65700395
0.2840689,0.66289769
0.26986806,0.67154861
0.20763322,0.71965969
0.19644829,0.72678114
0.19614628,0.6875518
0.18178446,0.64388549
0.16171542,0.6263729
0.18283068,0.62614522
0.22034563,0.64078603
0.23790149,0.66697062
0.23766449,0.69574891
0.27470114,0.7087044
0.33017578,0.69306467
0.37856257,0.66204156
0.45903821,0.60317375
0.45203688,0.58129287
0.46872354,0.56008499
0.47141445,0.53419478
0.48367233,0.52618518
0.48987458,0.52176521
0.49004689,0.5354297
0.49904508,0.55266207
0.49466304,0.56756764
0.50251133,0.57381311
0.53902459,0.59624422
0.56265939,0.61240321
0.51832406,0.59299295
0.49702408,0.62847047
0.49860977,0.66020316
0.47610294,0.65718183
0.4368176,0.63826262
0.39914318,0.64642335
0.36069506,0.69110821
0.31157994,0.759999
0.27522288,0.81374868
0.25200158,0.83896765
0.24698557,0.85313162
0.27646933,0.85932341
0.35623082,0.84676314
0.46115028,0.86256958
