x1,x2
0.38245785,0.61280601
0.36054364,0.6570313
0.35106616,0.69163509
0.33994841,0.70510509
0.31234029,0.71078908
0.30448805,0.720875
0.28949257,0.72892433
0.28184609,0.72953815
0.27987275,0.72091596
0.29057777,0.71053983
0.29049531,0.68197696
0.28452405,0.66668114
0.26745729,0.65047158
0.26359775,0.63395896
0.26382449,0.63219789
0.26762448,0.60916313
0.25844593,0.58591122
0.25051545,0.58698007
0.25543793,0.57381979
0.27808635,0.56487357
0.31088627,0.56342982
0.34924125,0.55744912
0.42130887,0.54984923
0.45042998,0.52668777
0.46907382,0.51320371
0.48406938,0.50184826
0.49794822,0.44905537
0.51228607,0.4377943
0.51151088,0.41975281
0.50317317,0.41735705
0.50783537,0.39400376
0.51512994,0.37807843
0.5429599,0.37121897
0.5701093,0.36836281
0.58570163,0.33266074
0.64259023,0.33475398
0.67523487,0.32436617
0.69538991,0.31205927
0.69628398,0.27664848
0.68415873,0.23650536
0.64481267,0.19464331
0.60616719,0.15468527
0.56021119,0.12923295
0.54179721,0.11336018
0.53361183,0.10872929
0.52880006,0.11001872
0.54580718,0.11567222
0.49643004,0.12811588
0.46010188,0.13102808
0.40829114,0.12567128
0.34578947,0.11780047
0.29590774,0.10893817
0.26239091,0.10251017
0.21063013,0.09134428
0.17868553,0.07642642
0.19850481,0.06479857
0.26078234,0.05883249
0.34427626,0.05689118
0.39488465,0.0648801
0.45540376,0.05888016
0.49254937,0.05517869
0.52580236,0.05397994
0.53313247,0.054248
0.50426184,0.05268177
0.49142598,0.05310926
0.50556685,0.05270705
0.54503841,0.04999244
0.58874762,0.04378527
0.61702296,0.039784
0.63317583,0.0366089
0.62486017,0.04022868
0.63001949,0.04239129
0.60558029,0.04479131
0.56650463,0.04767069
0.54693687,0.05074641
0.52834061,0.05113803
0.51856086,0.05435113
0.53206084,0.05935417
0.52271737,0.06545053
0.50652948,0.07252499
0.51751111,0.07770334
0.50868196,0.08260595
0.48506007,0.12184851
0.45615872,0.1147238
0.44135283,0.11105921
0.42649535,0.11207434
0.41864381,0.11709337
0.40582835,0.1262904
0.39077245,0.14114042
0.37803302,0.16556066
0.38021835,0.18862077
0.36736452,0.20971762
0.35414243,0.22422543
0.33149391,0.23687699
0.30641478,0.24682293
0.30126611,0.25924231
0.31268335,0.27423216
0.34974908,0.28073812
0.40623088,0.28935712
0.42537411,0.30017911
0.44852187,0.30739056
0.47208403,0.30629824
0.49998059,0.31017404
0.53195957,0.31799883
0.57908742,0.32953218
0.60521363,0.33891976
0.57290054,0.33753515
0.61683056,0.35164168
0.63421184,0.35328696
0.62760391,0.35957407
0.60669689,0.36160984
0.61636288,0.35617681
0.63916618,0.3527847
0.64586545,0.34575046
0.64391863,0.3366169
0.62369133,0.33295221
0.60370485,0.32590523
0.58963897,0.31807791
0.58919989,0.28236342
0.58328724,0.27955643
0.60496859,0.27106772
0.62568541,0.26047706
0.61904886,0.25502934
0.61150112,0.26096203
0.60866206,0.25982567
0.60103931,0.24519155
0.60607883,0.24058803
0.59974513,0.23530635
0.59010891,0.22864884
0.57061274,0.22581725
0.51388433,0.22222022
0.52188313,0.2223884
0.52161734,0.22861115
0.52163564,0.23205918
0.5105471,0.24195192
0.48331614,0.23778757
0.46681847,0.25052086
0.43827321,0.25939041
0.41592246,0.27585237
0.39795314,0.28965164
0.38508725,0.29394333
0.36299884,0.29693206
0.37270112,0.2719677
0.32098648,0.27900845
0.26271765,0.29109081
0.20618919,0.31001599
0.17019203,0.32699538
0.16381048,0.34306911
0.16921802,0.35918504
0.17386289,0.36639697
0.18171578,0.38599386
0.19902561,0.40418237
0.23062937,0.42976995
0.24077488,0.44573953
0.1423958,0.44618991
0.13006668,0.45880623
0.13540426,0.46820001
0.14154314,0.47748287
0.16557265,0.49172222
0.1800168,0.50800346
0.19866843,0.52650806
0.23601242,0.54115771
0.27640208,0.55658513
0.28638483,0.56867449
0.28049816,0.58077685
0.26824906,0.59469123
0.26720945,0.5692088
0.24822159,0.58674878
