x1,x2,x3
2228.20547613,2790.00515203,2199.21581314
2194.21759538,2717.03117278,2144.23541781
2144.23541781,2699.03758885,2127.24147744
2148.23399202,2725.02832119,2152.23256622
2205.21367445,2884.97128942,2269.19086174
2633.06111446,3370.79805541,2668.04863876
3049.9124754,3893.61163281,3063.90748512
3374.79662962,4237.4890145,3376.79591672
3534.73959784,4350.44873581,3555.73211242
3527.74209298,4366.44303263,3568.72747859
3518.74530102,4357.44624067,3560.73033018
3472.76169766,4279.47404366,3534.73959784
3537.7385285,4335.45408254,3607.7135771
3500.7517171,4357.44624067,3574.7253399
3460.76597504,4310.46299375,3526.74244943
3369.79841186,4417.42485375,3439.77346046
3279.83049223,4399.43126983,3347.80625373
3225.84974045,4314.46156796,3298.82371971
3153.87540475,4172.51218365,3282.82942288
3101.89394008,4035.56101711,3376.79591672
3054.91069316,3807.64228738,3294.8251455
2973.93956549,3463.76490569,2935.95311054
2667.04899521,3168.87005802,2607.07038212
2416.1384638,2929.95524923,2399.14452342
2296.18123763,2815.99588437,2250.19763426
2244.19977295,2749.01976642,2205.21367445
2255.19585202,2730.02653895,2190.21902118
2260.19406978,2744.02154867,2219.20868417
2358.15913782,2876.97414101,2333.16804903
2853.98233932,3261.8369083,2720.03010343
3060.90855447,3687.68506121,3113.88966269
3389.79128289,3994.5756315,3455.76775728
3529.74138009,4103.53677861,3608.71322065
3543.73638981,4155.51824328,3630.70537878
3509.74850906,4150.52002552,3606.71393355
3461.76561859,4093.54034309,3570.7267657
3529.74138009,4121.53036253,3627.70644813
3501.75136065,4094.53998664,3630.70537878
3469.762767,4105.53606571,3575.72498345
3377.79556027,4322.45871637,3492.75456868
3289.82692774,4367.44267618,3386.79235223
3233.84688886,4283.47261786,3343.80767952
3161.87255316,4208.49935151,3341.80839242
3121.88681111,4067.54961075,3450.76953952
3047.9131883,3773.65440664,3318.81659074
2953.94669447,3464.76454924,2957.94526867
2652.05434193,3183.86471129,2634.06075801
2428.13418642,2968.94134774,2408.14131539
2291.18301987,2850.98340867,2309.1766038
2219.20868417,2781.00836007,2232.20405034
2201.21510024,2758.01655839,2231.20440678
2176.22401146,2779.00907297,2259.19442622
2234.20333744,2891.96879428,2372.15414754
2670.04792586,3281.82977933,2770.012281
3095.89607877,3715.67508065,3157.87397896
3418.78094588,4024.56493804,3488.75599448
3556.73175598,4130.52715449,3612.71179486
3558.73104308,4183.50826272,3610.71250775
3513.74708326,4172.51218365,3593.71856738
3477.75991541,4099.5382044,3544.73603336
3558.73104308,4133.52608515,3630.70537878
3517.74565747,4111.53392702,3588.72034962
3484.75742027,4148.52073842,3542.73674626
3395.7891442,4280.47368721,3462.76526214
3307.82051167,4330.45586478,3352.80447148
3272.83298737,4245.48616291,3314.81801653
3201.85829522,4142.52287711,3314.81801653
