x1,x2,x3
2776.09619921,3428.88367422,2654.13590526
2707.11865591,3351.90873459,2562.16584753
2619.14729634,3349.90938551,2541.17268218
2563.16552207,3365.90417816,2550.16975304
2532.17561131,3436.88107054,2594.15543283
2557.16747483,3707.79287104,2823.08090262
2737.10889213,4374.57578962,3431.88269784
2991.02622544,5103.3385297,3862.74242483
3304.92403119,5359.25521209,4177.63990512
3457.8742359,5339.26172128,4290.60312821
3532.84982644,5313.27018323,4264.61159015
3543.84624639,5191.30988928,4470.54454551
3548.84461909,5091.34243522,4345.58522794
3589.83127525,5084.34471343,4448.55170562
3590.83094979,5058.35317538,4364.57904421
3602.82704428,5003.37107565,4165.64381063
3658.80881855,5249.29101263,4146.64999436
3999.69783689,5677.151716,4316.59466626
4037.68546944,5420.23535907,4218.62656128
3782.76846159,5028.36293916,4036.6857949
3548.84461909,4688.47359536,3923.72257181
3393.8950653,4342.58620432,3651.81109677
3268.93574772,3969.70760068,3306.92338027
3055.00539604,3620.82118601,3007.02101809
2888.05974776,3407.89050887,2805.08676089
2783.093921,3268.93574772,2707.11865591
2750.10466116,3198.95852988,2652.13655618
2769.09847743,3191.9608081,2674.12939607
2861.06853516,3190.96113356,2727.11214673
2983.02882912,3408.89018341,2987.02752728
3454.87521227,4009.6945823,3543.84624639
4020.69100225,4699.47001531,4069.67505474
4309.59694448,4897.40557434,4323.59238805
4382.57318594,4876.41240899,4464.54649827
4480.54129092,5032.36163732,4630.49247201
4524.5269707,4918.3987397,4555.51688146
4445.552682,4807.43486569,5397.24284464
4456.54910194,4828.42803104,4666.48075547
4394.56928043,4739.45699693,4593.504514
4251.61582112,4669.47977909,4468.54519643
4198.63307047,4882.41045623,4390.57058226
4389.57090772,5267.28515436,4458.54845102
4302.59922269,5058.35317538,4418.5614694
4127.65617809,4727.46090244,4199.63274501
3949.71410986,4380.57383686,4047.68221484
3797.7635797,4066.67603111,3777.77008888
3631.81760596,3738.7827818,3433.88204692
3335.91394194,3420.88627789,3121.98359026
3097.99140128,3202.95722805,2827.07960078
2980.02980549,3093.99270312,2752.10401024
2923.04835668,3062.00311782,2714.1163777
2935.04445117,3095.9920522,2719.1147504
2959.03664014,3200.95787896,2773.09717559
3106.98847215,3492.86284482,3028.01418344
3587.83192617,4165.64381063,3703.79417288
4151.64836706,4875.41273445,4197.63339593
4406.56537491,5093.3417843,4363.57936967
4483.54031454,5107.33722787,4394.56928043
4580.50874498,5207.30468193,4432.55691297
4561.51492871,5233.29621998,4438.55496021
4486.53933816,5163.31900214,4376.5751387
4503.53380535,5162.3193276,4437.55528567
4429.55788935,5043.35805727,4365.57871875
4281.60605734,4960.3850704,4169.64250879
4210.62916496,5125.3313696,4186.63697598
4372.57644053,5470.2190861,4408.564724
4284.60508096,5212.30305463,4264.61159015
4078.6721256,4889.40817802,4048.68188938
3891.73298651,4602.50158487,4028.68839857
3729.78571094,4286.60443004,3779.76943796
3588.83160071,3936.71834084,3396.89408892
3320.91882383,3619.82151147,3069.00083961
3093.99270312,3405.89115978,2861.06853516
2970.03306009,3290.92858762,2751.1043357
2904.05454041,3238.94551151,2718.11507586
2920.04933306,3239.94518605,2720.11442494
2929.04640392,3301.92500756,2783.093921
3086.99498134,3542.84657185,3040.01027793
3613.82346423,4226.62395761,3595.8293225
4062.67733295,4920.39808878,4055.67961117
4333.58913345,5154.32193127,4281.60605734
4455.5494274,5159.32030398,4309.59694448
4582.50809406,5225.29882366,4380.57383686
4604.50093395,5188.31086565,4404.56602583
4588.5061413,5097.34048246,4320.59336442
4743.45569509,5094.34145884,4337.58783161
4785.4420258,5046.35708089,4293.60215183
4651.48563736,4966.38311764,4183.63795236
4572.51134865,5146.32453495,4160.64543793
4707.46741163,5448.22624621,4342.58620432
4538.52241427,5179.31379479,4198.63307047
4284.60508096,4875.41273445,4036.6857949
4050.68123846,4539.52208881,3972.7066243
3836.75088678,4188.63632507,3702.79449834
3698.79580018,3847.74730672,3363.90482908
3429.88334876,3530.85047736,3063.00279236
3153.97317556,3307.92305481,2878.06300235
3042.00962701,3204.95657713,2786.09294462
2995.0249236,3145.97577923,2727.11214673
2998.02394722,3138.97805745,2728.11182127
2992.02589998,3209.95494983,2797.08936457
3112.98651939,3456.87456135,3039.01060339
3520.85373195,4127.65617809,3617.82216239
4061.67765841,4839.42445099,4101.66464003
4414.56277124,5085.34438797,4308.59726994
4494.53673449,5049.35610451,4323.59238805
4545.52013606,5104.33820424,4398.56797859
4566.51330141,5069.34959532,4367.57806783
4449.55138016,4945.38995229,4252.61549566
4307.5975954,4867.41533813,4161.64511247
4096.66626733,4739.45699693,4012.69360592
3965.70890251,4673.47847725,3911.72647732
3930.72029359,4880.41110715,3971.70694976
4014.692955,5204.3056583,4160.64543793
3970.70727522,5038.35968457,4094.66691825
3784.76781067,4641.48889195,3858.74372667
3608.82509152,4288.60377912,3721.78831461
3462.8726086,4004.6962096,3466.87130676
3344.91101281,3746.78017813,3234.94681334
3118.98456664,3459.87358498,2894.057795
2914.05128582,3250.94160599,2669.13102337
2725.11279764,3101.99009945,2557.16747483
2647.13818348,3009.02036717,2500.18602601
2612.14957456,2989.02687636,2476.19383704
2567.16422023,3006.02134355,2484.19123336
2544.1717058,3086.99498134,2555.16812574
2728.11182127,3295.92696032,2708.11833045
3063.00279236,3618.82183693,2966.03436193
3359.90613092,3974.70597338,3261.93802594
3546.84527001,4210.62916496,3414.88823065
3673.80393666,4369.57741691,3470.87000492
3661.80784218,4396.56862951,3473.86902854
3641.81435136,4335.58848253,3461.87293406
3643.81370044,4275.6080101,3417.88725427
3561.84038812,4249.61647204,3384.89799443
3459.87358498,4281.60605734,3303.92435664
3486.86479757,4473.54356913,3368.90320178
3674.8036112,4830.42738012,3605.8260679
3647.81239861,4687.47392082,3638.81532774
3477.86772671,4300.59987361,3467.8709813
3425.8846506,4025.68937495,3397.89376346
3334.9142674,3788.76650883,3212.95397345
3250.94160599,3587.83192617,3011.01971625
3035.01190523,3344.91101281,2798.08903911
2827.07960078,3183.96341177,2649.13753256
2691.12386326,3102.98977399,2525.17788953
2606.15152731,3051.00669788,2442.20490266
2571.16291839,3055.00539604,2428.20945909
2511.18244596,3067.00149053,2447.20327536
2476.19383704,3111.98684485,2510.18277142
2599.15380553,3257.93932778,2643.13948532
2848.07276614,3501.85991568,2835.07699711
3148.97480285,3789.76618337,3127.9816375
3361.90548,4021.69067679,3323.91784746
3496.86154298,4221.6255849,3413.88855611
3559.84103904,4263.61191561,3437.88074508
3562.84006266,4205.63079226,3454.87521227
3530.85047736,4178.63957966,3495.86186844
