x1,x2,x3
7302.2269757,10501.06289186,7675.35597235
7050.39060055,10259.50555243,7575.64932586
7020.58139696,10254.36603457,7553.03544728
6905.4561969,10310.90073103,7669.18855092
7149.06934347,10677.86230625,7988.86656182
7913.82960106,11660.53812111,8725.87342296
8496.6509264,12263.91751789,9313.83426616
8736.15245868,12522.94921804,9607.81468776
8912.95187307,12454.07967872,9681.82374495
8976.68189454,12367.73577866,9851.42783434
8978.73770168,12344.09399651,9823.67443789
8979.76560525,12256.72219289,9754.80489856
8797.826673,12138.5132821,9666.40519137
8802.96619086,12078.89487492,9578.00548418
8895.47751235,12220.74556786,9497.82900556
8819.41264802,12493.14001445,9368.31315548
8724.84551939,12569.20487878,9345.6992769
8581.96692288,12553.7863252,9317.94588045
8556.26933358,12500.33533946,9440.26640552
8597.38547646,12305.03366077,9668.46099851
8259.20520126,11787.99816404,9363.17363762
8316.76780129,11754.07734616,9101.05822675
8191.36356551,11559.80357105,8721.76180867
7696.94194736,10938.94981354,8238.64712982
7462.57993294,10532.92790259,7911.77379391
7267.27825425,10328.37509176,7742.16970453
7178.87854706,10180.35697738,7751.42083668
7085.339322,10247.17070957,7893.27152962
7282.69680783,10728.22958128,8232.47970839
7983.72704396,11594.7522925,8895.47751235
8452.4510728,12164.2108714,9461.85238054
8739.2361694,12492.11211088,9803.11636645
8837.91491231,12397.54498225,9986.08320227
8829.69168374,12209.43862857,9990.19481656
8848.19394803,12115.89940352,9941.88334867
8908.84025878,12079.9227785,9904.87882008
8964.34705167,11973.02080701,9802.08846288
8987.98883383,11924.70933912,9623.23324134
8880.05895877,11985.35564987,9619.12162706
8852.30556232,12227.94089287,9662.29357708
8867.7241159,12353.34512866,9742.4700557
8735.12455511,12383.15433225,9767.13974143
8746.4314944,12419.13095727,9875.06961649
8763.90585513,12227.94089287,9967.58093797
8375.3583049,11589.61277464,9389.89913049
8459.64639781,11659.51021754,9252.16005184
8317.79570487,11442.62256384,8887.25428377
7842.90425459,10980.06595642,8345.54910131
7475.94267937,10655.24842766,8013.53624755
7173.7390292,10457.89094183,7878.88087961
7101.78577916,10365.37962035,7861.40651889
7014.41397553,10495.923374,7950.83412965
7165.51580062,10930.72658497,8294.15392271
7908.6900832,11812.66784977,9032.18868743
8579.91111573,12243.35944645,9397.0944555
8867.7241159,12512.67018232,9727.05150212
8962.29124453,12267.00122861,9776.39087358
9012.65851956,12259.8059036,9778.44668072
9070.22111959,12373.9032001,9875.06961649
9097.97451604,12349.23351437,9833.95347361
9059.94208387,12268.02913218,9793.8652343
9019.85384456,12226.9129893,9683.87955209
8917.06348736,12399.6007894,9627.34485563
8917.06348736,12683.30217528,9619.12162706
8889.31009092,12714.13928244,9629.40066278
8760.82214441,12737.7810646,9623.23324134
8791.65925157,12758.33913604,9763.02812714
8773.15698728,12577.42810736,10027.19934515
8394.88847277,12081.97858564,9571.83806274
8372.27459418,12120.01101781,9364.20154119
8248.92616554,11787.99816404,8990.04464097
7838.7926403,11306.93929233,8454.50687995
7493.4170401,11021.18209931,8136.88467619
7290.92003641,10768.31782059,7997.08979039
7228.21791851,10751.87136343,7952.8899368
7193.26919707,10857.74543135,8086.51740116
7451.27299365,11307.9671959,8382.5536299
8132.7730619,12205.32701428,9008.54690527
8736.15245868,12718.25089673,9534.83353415
8986.96093026,12863.18530038,9850.39993076
9053.77466244,12652.46506812,9893.57188079
9002.37948384,12612.37682881,9884.32074864
9095.91870889,12587.70714308,9873.01380935
9047.60724101,12585.65133593,9814.42330574
8926.31461951,12546.5910002,9672.5726128
8969.48656953,12552.75842163,9587.25661632
8853.33346589,12627.79538239,9549.22418416
8765.96166227,12902.24563612,9443.35011624
8795.77086586,12924.8595147,9435.12688766
8754.65472298,12915.60838256,9450.54544124
8766.98956584,12916.63628613,9573.89386989
8746.4314944,12809.73431464,9930.57640938
8444.22784423,12251.58267503,9583.14500204
8526.46012999,12363.62416438,9366.25734834
8439.08832637,12125.15053567,9005.46319455
7943.63880465,11663.62183182,8464.78591567
7659.93741877,11302.82767804,8164.63807263
7590.03997587,11072.57727791,8016.61995826
7530.42156869,11034.54484574,8034.09431899
7435.85444006,11154.80956367,8173.88920478
7653.76999734,11566.99889605,8462.73010852
8355.82813703,12542.47938591,9171.98357322
8909.86816236,12982.42211474,9629.40066278
9090.77919103,13087.26827909,9843.20460576
9203.84858396,13105.77054338,9868.90219506
9177.12309108,12990.64534331,9790.78152359
9266.55070185,12969.0593683,9745.55376642
9191.51374109,12905.32934684,9694.15858781
9154.5092125,12836.45980751,9594.45194133
9133.95114106,12821.04125393,9534.83353415
9040.411916,12905.32934684,9593.42403776
8938.64946237,13139.69136126,9539.97305201
8904.7286445,13158.19362556,9529.69401629
8736.15245868,13110.91006124,9602.6751699
8751.57101226,13030.73358262,9746.58166999
8632.33419791,12769.64607533,9934.68802367
8275.65165841,12207.38282143,9517.35917343
8296.20972985,12249.52686788,9358.03411976
8200.61469766,11946.29531413,8891.36589806
7726.75115095,11441.59466027,8389.74895491
7305.31068642,10997.54031715,8110.15918332
7074.03238271,10691.22505268,7881.96459033
6974.32573622,10630.57874193,7881.96459033
6866.39586116,10627.49503122,7962.14106894
6952.73976121,10764.2062063,8060.81981186
7185.04596849,11011.93096716,8237.61922625
7323.81295071,11108.55390293,8279.7632727
7628.07240803,11511.49210316,8522.3485157
7844.96006173,11454.9574067,8771.10118013
7933.35976893,11549.52453533,8934.53784808
7955.97364751,11624.56149609,8986.96093026
8029.9827047,11644.09166396,8937.6215588
7996.06188682,11685.20780684,8938.64946237
7946.72251536,11650.25908539,8875.94734448
8036.15012613,11871.25835337,8834.8312016
8109.13127974,12174.48990712,8986.96093026
8205.75421552,12373.9032001,9177.12309108
8242.75874411,12429.40999299,9270.66231614
8318.82360844,12313.25688935,9341.58766261
8224.25647981,11933.96047127,9458.76866982
7955.97364751,11408.70174596,9035.27239814
8038.20593327,11522.79904246,8904.7286445
7991.95027253,11341.88801378,8591.21805503
7621.9049866,10874.19188851,8151.2753262
7273.44567568,10466.11417041,7901.49475819
7066.83705771,10203.99875954,7757.58825811
6907.51200404,10062.1480666,7755.53245097
6852.00521115,10081.67823447,7781.23004027
6819.11229685,10146.43615951,7831.5973153
7051.41850413,10324.26347747,7880.93668675
7218.96678637,10384.90978822,7870.65765103
7477.99848652,10669.63907767,8094.74062974
7703.10936879,10758.03878487,8368.1629799
7836.73683316,10925.58706711,8506.92996212
