x1,x2,x3
11345.65249845,18032.31539747,11105.6132517
10982.04874493,17811.51980341,10910.13825329
10874.68941938,17662.63470099,10867.5996526
10824.04822808,17731.50672115,10845.31752842
10720.74019783,17814.55827488,10897.98436737
10684.2785401,18568.0992014,11333.49861254
11018.51040266,20177.47626086,12418.23293015
11244.37011585,21402.99309028,13632.60869748
11616.07645998,22108.93129697,13646.78823104
12102.23189645,21750.39166258,13751.10908512
12435.45093519,21536.6858353,13723.76284181
12420.2585778,21270.31316907,13418.9028702
12381.77127241,21145.73583848,13335.85131647
12294.66842338,20991.78661693,13283.18447752
12282.51453747,21149.78713378,13176.83797579
12223.77075556,21322.98000802,13325.72307821
12251.11699886,21709.87870954,13418.9028702
12211.61686965,21702.78894276,13214.31245735
12273.39912303,21437.42910036,13045.17087842
12362.52761972,21165.992315,13143.41478954
12410.13033954,20852.01692895,13415.86439872
12387.84821537,20358.77172571,13210.26116205
12327.07878581,19684.23105761,12592.43862821
12040.44964306,18774.7152619,11910.80819334
11414.52451862,18205.50827171,11428.70405218
11113.7158423,17878.36617592,11087.38242283
11003.31804527,17702.1348302,11098.52348492
10980.02309728,17781.13508863,11045.85664597
10991.16415936,18017.12304008,11197.78021986
11326.40884576,18719.00995147,11486.43501026
12456.72023553,20100.50165009,12579.27191848
13675.14729817,21598.46808869,13653.87799782
14180.54638732,22072.46963924,13502.96724775
14096.48200977,21951.94360395,13780.48097607
13919.23784023,21906.36653178,13787.57074285
13741.99367068,21764.57119614,13824.03240059
13803.77592407,21526.55759704,13831.12216737
14779.12526847,21486.044644,13725.78848947
13955.69949796,21490.09593931,13820.99392911
13681.22424112,21792.93026327,13669.07035521
13579.94185853,22148.43142618,13664.00623608
13334.83849264,22068.41834393,13598.1726874
13256.85105805,21895.22546969,13392.56945072
13083.65818381,21627.83997964,13447.26193733
13060.36323581,21320.95436037,13864.54535362
12985.41427269,21055.59451797,13614.37786861
12928.69613843,20142.02742695,13244.69717213
12518.50248892,19465.46111121,12218.70663643
12009.05210446,18695.71500347,11706.21778049
11445.92205722,18390.85503186,11492.51195322
11339.57555549,18212.59803849,11371.98591793
11169.42115273,18218.67498144,11359.83203201
11151.19032387,18400.98327012,11496.56324852
11353.75508906,18868.90787771,11852.06441143
12588.38733291,20427.64374587,13089.73512676
13812.8913385,22000.55914759,14377.03420956
14112.68719098,22412.77844476,14704.17630535
14023.5586943,22328.71406721,14517.81672137
13949.622555,22210.21367957,14152.1873202
13852.39146771,21850.66122135,14168.39250141
13747.05778981,21661.2631659,13989.12268422
