x1,x2,x3
11325.67023958,16943.80537483,10783.24346092
10872.64342999,16726.83466337,10678.77608133
10830.45468054,16707.74927671,10592.38959435
10809.36030582,16944.80986886,10490.93569686
10717.95134867,17301.40525113,10535.13343438
11300.55788871,17873.96685082,11239.28375261
12846.47420789,20125.03798226,12966.008998
14610.36573256,22090.83280788,14492.83993052
15038.28019128,22161.14739029,15019.19480463
15128.68465439,21880.89355465,15275.34078344
15142.74757088,22047.63956439,15376.79468093
15139.73408877,22089.82831384,15349.67334199
14952.89819835,21948.19465497,15366.74974058
14829.3454321,21761.35876454,15381.8171511
14961.93864466,21697.07114633,15079.4644467
14936.82629379,22121.97212295,14814.27802158
14580.23091153,22481.58098732,14871.53418155
14630.45561325,22576.00342656,15132.70263053
14461.70061545,22384.14506596,14645.52302377
14261.80630257,21880.89355465,14593.28933398
13849.96374841,20870.37255589,14734.92299285
13440.13018231,20208.41098712,13599.8447338
12757.07423881,19112.50799543,12404.49683269
12814.33039878,18150.20271033,11805.81838809
11319.64327537,17279.30638237,10934.92206014
11074.54673094,16992.02108849,10953.00295276
11151.8927716,16936.77391659,11043.40741587
11380.91741148,16993.02558252,11213.16690771
10855.56703141,17151.73563998,11207.1399435
11102.67256391,17817.71518489,11570.76678401
12660.6428115,19726.25385054,13035.31908639
14211.58160085,21489.14088118,14479.78150807
14830.34992613,22114.9406647,15014.17233445
14976.00156114,21680.99924178,15151.78801719
15034.26221514,21763.36775261,15386.83962127
14951.89370431,21614.7026355,15447.10926335
14833.36340823,21335.45329389,15502.35643525
14811.26453947,21171.72076626,15275.34078344
14564.15900697,21156.65335574,15062.38804811
14343.17031937,21579.54534429,15372.77670479
14278.88270116,22355.01473896,15439.07331107
14239.70743381,22594.08431919,16248.69550292
13828.86937368,22138.0440275,16653.50659884
13738.46491057,21773.41269296,16417.45050072
13657.10089377,21334.44879986,16206.50675347
13041.34605059,20688.55913564,15271.3228073
12521.01814069,19216.97537502,14189.48273209
13087.55277618,18453.55990876,12944.91462328
11421.09717286,17330.53557813,11473.33086266
11108.69952811,17407.88161879,11125.7759267
11077.56021304,17234.10415081,11032.35798149
10979.11979766,17322.49962586,11037.38045166
11013.27259483,17706.21634705,11161.93771195
11557.70836156,18488.71719997,11710.39145481
12970.02697414,21038.12305966,13600.84922784
14526.9927277,23189.74928168,15070.42400039
14973.99257307,23242.98746551,15274.3362894
15107.59027967,22929.58532673,15482.26655456
15262.28236099,22768.8662812,15570.6620296
15372.77670479,22489.61693959,15415.96994827
14787.15668264,22308.80801337,15271.3228073
14964.95212676,22313.83048355,15057.36557794
14710.81513602,22710.60562719,14788.16117668
14670.63537464,23141.53356802,14535.02867997
14641.50504763,23276.13576865,14612.37472063
14490.83094245,23180.70883536,14899.66001451
14264.81978468,22657.36744336,14846.42183068
14079.99288232,22380.12708983,15024.2172748
13999.63335956,21621.73409374,14970.97909097
13515.4672349,20344.01768179,14087.02434056
13025.27414604,19551.47188853,12996.14381904
12345.23168465,18524.87898521,12251.81373943
11523.55556438,17590.69953308,11710.39145481
11428.1286311,17203.96932978,11225.22083612
11438.17357145,16909.65257765,11201.11297929
11294.53092451,16807.19418613,11390.96235182
11077.56021304,17207.98730592,11612.95553346
11380.91741148,18086.91958615,12118.21603284
13085.54378811,20049.70092966,13565.69193663
14457.68263931,21687.02620598,15091.51837511
15123.66218422,21989.37891039,15778.59229475
14923.76787134,21592.60376674,15516.41935173
14901.66900258,21852.76772169,15329.5834613
14915.73191907,21836.69581713,15349.67334199
14827.33644403,22008.46429704,15433.04634686
14438.59725266,22075.76539736,15065.40153022
14224.6400233,22107.90920646,14771.08477809
14182.45127384,22540.84613535,14870.52968751
14372.30064637,22823.10895906,15143.75206491
14312.0310043,22906.48196393,15191.96777857
14066.93445987,22410.26191086,15146.76554701
14050.86255532,21977.32498197,15247.21495047
13560.66946646,21087.34326736,14924.77236538
13100.61119863,20229.50536185,14113.14118546
12442.667606,19343.54162337,13014.22471166
11780.70603723,18326.99366041,12025.80258166
11282.47699609,17390.8052202,11490.40726124
10873.64792403,17111.5558786,11320.6477694
10745.07268761,16913.67055379,11281.47250206
10914.83217945,16965.90424359,11060.48381446
10897.75578086,17318.48164972,11194.08152105
11289.50845433,18316.94872006,11944.43856486
12841.45173772,20241.55929026,13455.19759283
14513.93430525,22500.66637397,15139.73408877
14946.87123414,22710.60562719,15663.07548077
15039.28468532,22483.58997538,15939.31134028
14932.80831766,22763.84381103,15752.47544985
14585.2533817,22617.18768198,15545.54967873
14655.56796412,22363.05069124,15312.50706272
14108.11871529,22261.59679375,14957.92066852
13900.18845014,21963.26206549,14712.82412409
13776.63568389,21837.70031117,14254.77484433
13728.41997023,22038.59911808,14089.03332863
13633.99753098,22194.29569343,14604.33876836
13572.72339487,21900.98343534,14430.56130038
13241.24036347,20966.80398321,14150.30746474
13120.70107932,19929.16164552,13787.68511827
12610.41810977,19303.36186199,12766.11468513
12105.15761039,18287.81839306,12046.89695639
11615.96901556,17847.85000593,11643.0903545
11023.31753518,16991.01659445,11375.89494131
10694.84798588,16714.78073495,11243.30172874
10378.43236499,16571.13808801,10771.1895325
10369.39191868,16568.12460591,10633.57384977
10230.77174192,16529.95383259,10631.5648617
10019.82799466,16765.00543668,10859.58500755
10467.83233407,17321.49513182,11191.06803895
11332.70169782,18262.7060422,11642.08586046
12152.36883001,19042.19341301,12714.88548936
12668.67876377,19653.93028005,13312.55943992
13003.17527728,20288.77050989,13385.88750444
13149.83140632,20463.5524719,13404.9728911
12869.57757068,20486.65583469,13030.29661621
12545.12599752,20361.09408038,12854.51016017
12376.37099972,20158.1862854,12745.0203104
12284.96204258,20354.06262213,12746.02480443
12346.23617868,20954.7500548,12988.10786676
12429.60918355,21042.1410358,13321.59988623
12534.07656314,20811.10740786,13804.76151685
12487.86983755,20108.9660777,13815.81095123
12321.12382782,19389.74834896,13539.57509173
12070.00031918,18736.8272265,13008.19774745
11812.84984634,18035.69039039,12272.90811416
12480.83837931,17403.86364265,11731.48582954
10894.74229875,16866.45933417,11318.63878134
10462.8098639,16687.65939602,11144.86131336
10187.57849843,16490.77856525,10811.36929389
9940.47296593,16536.98529084,10680.7850694
9885.22579403,16646.4751406,11012.2681008
10013.80103045,16699.71332443,11164.95119405
10134.3403146,17108.5423965,11125.7759267
10499.97614318,17628.87030639,11583.82520646
11404.02077427,18362.15095162,12412.53278496
11991.64978449,19099.44957298,13278.40664275
12360.29909517,19622.79096498,13235.21339926
12459.74400459,20023.58408477,13292.46955923
12314.09236958,20001.48521601,13312.55943992
12188.53061526,19876.92795572,13042.35054463
12056.94189673,19981.39533532,13059.42694321
12139.31040756,20365.11205651,13110.65613898
12325.14180396,21022.05115511,13525.51217525
12428.60468952,21283.21960409,14034.79065077
12481.84287335,21014.01520283,14163.36588719
12762.09670899,20595.14119043,14382.34558672
12824.37533913,19628.81792919,13977.5344908
12581.28778277,18901.56424817,13155.85837053
12324.13730992,18313.93523796,12336.19123834
11595.87913487,17488.24114156,11870.1060063
