x1,x2,x3
0.0,0.0,-0.0
0.0,0.0,-0.0
4.656e-5,0.0,-0.0
0.01218693,0.0,-0.0
0.10233289,0.0,0.00021082
0.20421188,0.0,0.05988293
0.34944522,0.0,0.2132588
0.534228,0.00035261,0.34825222
0.6746362,0.08291392,0.49186641
0.77627868,0.20435907,0.62365732
0.79098228,0.27521598,0.68510939
0.74011677,0.32195045,0.70954185
0.64408679,0.31213402,0.68418636
0.57171888,0.25830134,0.59201674
0.4858449,0.15323528,0.47206194
0.38398394,0.01486568,0.33850127
0.2869387,3.8e-7,0.18452631
0.18168634,0.0,0.05120405
0.10273082,0.0,0.00018367
0.00633743,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
5.984e-5,0.0,-0.0
0.01639373,0.0,-0.0
0.09491761,0.0,0.00018263
0.18380162,0.0,0.05459355
0.30082443,0.0,0.14667029
0.42621989,0.00047169,0.22198224
0.53407875,0.07959652,0.29626405
0.60262111,0.20931711,0.36054124
0.61663821,0.30128474,0.38094212
0.58787157,0.34442146,0.39147314
0.56288548,0.35218864,0.32611147
0.49564928,0.2757365,0.26277039
0.45809172,0.17235796,0.21169693
0.34311908,0.0156978,0.13408853
0.25524792,9.8e-7,0.06519498
0.16311959,0.0,0.02251749
0.08534549,0.0,0.00011295
0.00690251,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
5.387e-5,0.0,-0.0
0.01163198,0.0,-0.0
0.08764737,0.0,5.108e-5
0.172966,0.0,0.02013549
0.29238245,0.0,0.13069674
0.42094138,0.00044849,0.26558816
0.55724031,0.05022614,0.4031614
0.63194947,0.12430415,0.5204821
0.68819434,0.18132857,0.58485274
0.71265407,0.19850836,0.58018829
0.67573876,0.18285323,0.53357047
0.61780508,0.14531626,0.46202955
0.52437837,0.07565518,0.37671321
0.40732385,0.00408564,0.27927619
0.2951736,4.0e-7,0.16849385
0.18414178,0.0,0.04968915
0.10030525,0.0,6.609e-5
0.00873854,0.0,-0.0
7.0e-8,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
9.235e-5,0.0,-0.0
0.02077292,0.0,-0.0
0.12012328,0.0,9.283e-5
0.2280333,0.0,0.04250831
0.37545448,0.0,0.16110665
0.51339851,0.00022519,0.24061585
0.64550649,0.0197355,0.3335221
0.73830357,0.05834579,0.40602937
0.78547568,0.07540629,0.44294106
0.75901691,0.08793291,0.44886861
0.67730237,0.0784544,0.43880272
0.59699974,0.0540319,0.39377724
0.50153711,0.02325029,0.34511035
0.40527612,0.0024152,0.24152898
0.3188971,1.1e-6,0.13673889
0.20783222,0.0,0.02491098
0.12167983,0.0,3.454e-5
0.01034757,0.0,-0.0
2.5e-7,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.00011326,0.0,-0.0
0.02095108,0.0,-0.0
0.12910397,0.0,6.157e-5
0.2398828,0.0,0.03894497
0.39504762,0.0,0.13408834
0.51145959,0.00023062,0.24648214
0.6115804,0.01917599,0.35436244
0.70061011,0.0667645,0.42874004
0.7013694,0.09741744,0.46741446
0.67178166,0.11957009,0.42238334
0.63346067,0.12330061,0.38580314
0.58803584,0.09367842,0.314332
0.49695342,0.05138554,0.2416635
0.40782949,0.00595496,0.17811196
0.29266653,2.54e-6,0.10008388
0.18155633,0.0,0.01516368
0.10100334,0.0,2.02e-5
0.00917723,0.0,-0.0
5.5e-7,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.00013451,0.0,-0.0
0.02218027,0.0,-0.0
0.10089502,0.0,4.493e-5
0.19143755,0.0,0.03303497
0.30584963,0.0,0.10602866
0.43716146,0.00045192,0.17440793
0.54447983,0.05926093,0.26250046
0.61805703,0.1598236,0.34670749
0.65954131,0.21080585,0.35788811
0.65394164,0.23932923,0.379171
0.60627228,0.20808359,0.35119353
0.53936755,0.16666704,0.31441931
0.498035,0.09981141,0.26714025
0.37276772,0.01383531,0.21795403
0.27881483,7.97e-6,0.12538358
0.16725401,0.0,0.0298991
0.08808349,0.0,1.809e-5
0.01008011,0.0,-0.0
1.38e-6,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.00015806,0.0,0.0
0.02201514,0.0,0.0
0.09741476,0.0,1.914e-5
0.18594855,0.0,0.03169869
0.31594937,0.0,0.18126522
0.45989449,0.00073465,0.33259012
0.60107784,0.0890005,0.49747537
0.71177991,0.20873375,0.57985885
0.75935818,0.26544547,0.62796475
0.77856841,0.29700358,0.60422047
0.71868406,0.31429921,0.52085499
0.64623737,0.27056923,0.41074358
0.54514475,0.18947539,0.29592262
0.45800221,0.04476287,0.22484282
0.34024501,1.953e-5,0.13097491
0.21528131,0.0,0.02490878
0.12399862,0.0,1.135e-5
0.01223525,0.0,0.0
2.39e-6,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
