x1,x2,x3
0.0,0.0,-0.0
0.00025092,0.0,-0.0
0.0073069,0.0,-0.0
0.04592169,0.0,-0.0
0.11623159,0.0,1.621e-5
0.17389611,0.0,0.00609133
0.269679,0.0,0.04061423
0.31259254,0.0,0.08974353
0.38280369,0.00017724,0.14565119
0.43627005,0.02655812,0.19133719
0.48058369,0.07787152,0.20861671
0.51602357,0.11032992,0.19241168
0.49738775,0.12055659,0.20795251
0.47784185,0.09024932,0.20865283
0.42391832,0.03772941,0.22229677
0.37373245,0.00135107,0.17803138
0.29753256,0.0,0.14866153
0.22247516,0.0,0.08482564
0.13281295,0.0,0.00361648
0.08326425,0.0,-0.0
0.03399334,0.0,-0.0
0.00185058,0.0,-0.0
3.88e-6,0.0,-0.0
0.0,0.0,-0.0
1.2e-7,0.0,-0.0
0.0004131,0.0,-0.0
0.0110744,0.0,-0.0
0.05959197,0.0,-0.0
0.1253884,0.0,4.78e-6
0.18310055,0.0,0.0046192
0.28497901,0.0,0.04312194
0.4264254,0.0,0.07578664
0.52663088,0.00015814,0.14907519
0.60562841,0.01943439,0.2285515
0.60295921,0.05553771,0.29660261
0.59937923,0.10257746,0.31161011
0.53550994,0.12646514,0.26270542
0.44579788,0.10362254,0.21332433
0.44852091,0.03784794,0.17660002
0.33823135,0.00178649,0.15090169
0.29181867,0.0,0.09868842
0.2298398,0.0,0.06295548
0.16017304,0.0,0.00211847
0.12041103,0.0,-0.0
0.06441108,0.0,-0.0
0.00411426,0.0,-0.0
3.137e-5,0.0,-0.0
0.0,0.0,-0.0
8.5e-7,0.0,-0.0
0.00087046,0.0,-0.0
0.01968114,0.0,-0.0
0.07285235,0.0,-0.0
0.15295808,0.0,4.45e-6
0.21674759,0.0,0.00459072
0.32189467,0.0,0.06237204
0.39697058,0.0,0.14344839
0.50916031,9.833e-5,0.23637341
0.61539001,0.00909486,0.28720224
0.67873744,0.05642681,0.30551113
0.7095431,0.11724385,0.33137362
0.64382115,0.12823501,0.38359208
0.60445919,0.07980591,0.36507913
0.54318439,0.01194056,0.28726741
0.48883316,0.0002625,0.19503245
0.40871037,0.0,0.1299779
0.33638604,0.0,0.06713941
0.23867799,0.0,0.00236305
0.17615777,0.0,-0.0
0.08892138,0.0,-0.0
0.00592186,0.0,-0.0
7.332e-5,0.0,-0.0
0.0,0.0,-0.0
2.8e-6,0.0,-0.0
0.00077584,0.0,-0.0
0.00769586,0.0,-0.0
0.04522216,0.0,-0.0
0.1216757,0.0,3.01e-6
0.18410354,0.0,0.00701737
0.25874071,0.0,0.10661728
0.31789435,0.0,0.20276612
0.43708534,0.00013253,0.31800952
0.52512014,0.00655692,0.40345247
0.64946041,0.02698959,0.42650843
0.64645913,0.05427075,0.41723779
0.5780821,0.06101293,0.39684771
0.61936733,0.03394471,0.36570496
0.59922565,0.01370301,0.3185472
0.5476643,0.00084664,0.24454354
0.41665131,0.0,0.14722909
0.28954549,0.0,0.07365137
0.18398307,0.0,0.00181693
0.14027116,0.0,-0.0
0.06875396,0.0,-0.0
0.00542864,0.0,-0.0
0.00010903,0.0,-0.0
0.0,0.0,-0.0
7.82e-6,0.0,-0.0
0.00145521,0.0,-0.0
0.02387696,0.0,-0.0
0.08465278,0.0,-0.0
0.17498641,0.0,1.44e-6
0.25641784,0.0,0.00638094
0.39257284,0.0,0.09038321
0.53227149,0.0,0.16147413
0.68580189,0.00010957,0.23355968
0.79431164,0.00529588,0.30862922
0.8784179,0.03384455,0.38102548
0.90375762,0.08116621,0.38932978
0.87710065,0.08283059,0.38744985
0.82217642,0.05559616,0.36661398
0.72647578,0.01249916,0.3048108
0.63468505,0.00088741,0.25249268
0.51095374,0.0,0.16817043
0.3542547,0.0,0.08725386
0.20934023,0.0,0.0013715
0.13999537,0.0,-0.0
0.05078554,0.0,-0.0
0.00377438,0.0,-0.0
0.00014005,0.0,-0.0
0.0,0.0,-0.0
1.411e-5,0.0,-0.0
0.00148129,0.0,-0.0
0.02186913,0.0,-0.0
0.07316876,0.0,-0.0
0.15203632,0.0,5.1e-7
0.20005012,0.0,0.00287655
0.32916854,0.0,0.05167636
0.44006536,0.0,0.12957264
0.54623548,0.00014326,0.19567193
0.6217563,0.01139234,0.25095421
0.70671031,0.03705635,0.26974543
0.69547156,0.08457052,0.29911793
0.69006532,0.083007,0.29573668
0.6458174,0.05727426,0.28075474
0.56315367,0.02341264,0.27591184
0.51575745,0.00176787,0.20769708
0.4080511,0.0,0.13023252
0.25523641,0.0,0.06093319
0.1658825,0.0,0.000826
0.12189435,0.0,-0.0
0.05885705,0.0,-0.0
0.0058913,0.0,-0.0
0.00027262,0.0,-0.0
2.8e-7,0.0,-0.0
3.079e-5,0.0,0.0
0.00165451,0.0,0.0
0.02147402,0.0,0.0
0.06553533,0.0,0.0
0.13591092,0.0,4.0e-8
0.20230041,0.0,0.00226376
0.29592105,0.0,0.08338645
0.36694324,0.0,0.1708386
0.39836307,0.00017011,0.27039215
0.50945678,0.00924289,0.30720142
0.59102102,0.03073933,0.33372617
0.6633566,0.08101846,0.30635082
0.67780171,0.07419753,0.27781456
0.65134751,0.04807022,0.27771384
0.59014748,0.01402828,0.25343234
0.46385156,0.00084414,0.18673584
0.37029632,0.0,0.11286165
0.27412734,0.0,0.04349928
0.19340189,0.0,0.00045729
0.12658588,0.0,0.0
0.06747701,0.0,0.0
0.00694845,0.0,0.0
0.00034256,0.0,0.0
8.7e-7,0.0,0.0
