x1,x2,x3
0.22565895,0.74181544,0.12500523
0.21383945,0.74184994,0.11695765
0.20408592,0.74290213,0.11381351
0.20676001,0.73986762,0.10566516
0.20818305,0.73488465,0.10425049
0.16983968,0.72396146,0.0984856
0.12712464,0.70582188,0.09420963
0.11585089,0.68535349,0.08988734
0.12717128,0.6605676,0.09355835
0.16554196,0.62527762,0.10768703
0.17435624,0.56776762,0.11085398
0.19135007,0.54792698,0.12401684
0.22129111,0.54496021,0.12364597
0.24550442,0.49586229,0.12887233
0.27543789,0.45457565,0.13784368
0.29560971,0.44209925,0.13522768
0.29756643,0.43525635,0.13681978
0.29596058,0.43672642,0.16152559
0.31268479,0.46849927,0.19980505
0.33979375,0.52301324,0.24601526
0.34999029,0.55312466,0.29287029
0.36072007,0.55988095,0.31772086
0.37354696,0.5594317,0.39540883
0.37455004,0.54672384,0.38183157
0.36109629,0.52734763,0.3630712
0.33093328,0.51259525,0.34001387
0.3249665,0.5187222,0.32344736
0.32877606,0.5385669,0.33274712
0.3058234,0.54257374,0.32881024
0.2274341,0.54650765,0.30514697
0.16538643,0.57504481,0.28036258
0.12969619,0.61885096,0.28529965
0.12255914,0.64995594,0.31685802
0.12778949,0.65839391,0.36458478
0.11298814,0.63255389,0.35594704
0.12121657,0.62251743,0.43097162
0.12369751,0.63649778,0.48725641
0.13190933,0.6582955,0.55966854
0.15139445,0.66487676,0.61114986
0.17857459,0.64733024,0.63091914
0.20273298,0.61013995,0.65174605
0.20765009,0.57428482,0.68894817
0.20863619,0.54877619,0.7317826
0.21459169,0.52848822,0.77415521
0.21641064,0.50758739,0.80686354
0.20379372,0.47108207,0.83253779
0.21513443,0.44628669,0.85181652
0.19808504,0.43876976,0.85976824
0.17199486,0.43246932,0.85612657
0.15577805,0.44036241,0.84695461
0.14268863,0.44562502,0.83630419
0.12949024,0.42219532,0.82042007
0.11003752,0.39863137,0.80965989
0.08270496,0.38439521,0.79549885
0.06234791,0.37520412,0.77235614
0.05859212,0.36970999,0.75475526
0.06475563,0.36613557,0.77368479
0.07627276,0.34617753,0.80855589
0.07003623,0.30551702,0.78422201
0.10349502,0.30100587,0.80652382
0.15318181,0.30379361,0.82119735
0.20863813,0.31539042,0.81943224
0.27455657,0.33604777,0.80976955
0.32016065,0.35361306,0.78197584
0.34239214,0.36348916,0.77414901
0.34339073,0.35834626,0.77475952
0.35928228,0.34001805,0.78330089
0.38694429,0.32563261,0.77838755
0.39705329,0.31465895,0.764615
0.40770665,0.31286749,0.75042089
0.45025713,0.26839471,0.71685592
0.41809177,0.25757081,0.69582652
0.39033178,0.25170941,0.66688419
0.36888708,0.25190272,0.63384879
0.34592896,0.25095387,0.60507978
0.3352843,0.25422792,0.58986592
0.32411574,0.27225233,0.58776957
0.29322118,0.28700867,0.58350147
0.28028924,0.28885759,0.57503897
0.30210826,0.29483052,0.58041028
0.35360699,0.30634635,0.58276427
0.43671257,0.29718292,0.56887392
0.42759442,0.26909748,0.51315968
0.47801796,0.26200399,0.49396309
0.5036631,0.25163992,0.47905382
0.52519589,0.26501479,0.46873199
0.55158715,0.29153292,0.45266347
0.58157582,0.33330542,0.43252755
0.58832726,0.37980346,0.40775085
0.58236324,0.40228979,0.38875658
0.59994752,0.41411232,0.37531453
0.62066185,0.42034239,0.36940052
0.61691482,0.41209345,0.36190222
0.59333641,0.41305226,0.35464732
0.57891773,0.341056,0.36997351
0.55531356,0.35377441,0.3370872
0.51974239,0.37681761,0.29645765
0.4981808,0.38345976,0.27580648
0.47590406,0.37873539,0.27525308
0.44571999,0.37312685,0.28304449
0.3879306,0.37207951,0.29676753
0.29986305,0.37761982,0.31959559
0.2502925,0.3844871,0.34106262
0.23100086,0.39793948,0.362752
0.23240537,0.41110654,0.39969318
0.25586706,0.40163405,0.42163998
0.21968635,0.34379514,0.39825912
0.23822862,0.31758241,0.40925168
0.26917791,0.29485271,0.4178159
0.30124287,0.28998004,0.42122545
0.32498919,0.30421226,0.41419466
0.33909098,0.33763079,0.40968887
0.33649415,0.37504457,0.40300812
0.34485761,0.39573414,0.39908307
0.37541299,0.40063191,0.40199353
0.4202319,0.40186526,0.40882398
0.44570932,0.39665247,0.41508408
0.4509221,0.3858595,0.41821124
0.45617511,0.351352,0.43467903
0.42453952,0.34641375,0.43239772
0.38852457,0.35124302,0.42942784
0.34964978,0.34701663,0.44364021
0.31465516,0.34457582,0.46065087
0.28297151,0.3442278,0.47756751
0.24245397,0.35522451,0.49597395
0.18098477,0.36842782,0.51787112
0.131302,0.37022007,0.52939593
0.09560191,0.36839578,0.52648124
0.07993124,0.37191066,0.54512795
0.08282419,0.37936699,0.57863465
0.08694891,0.41548608,0.56441409
0.1250516,0.38557357,0.59473981
0.14954252,0.35119779,0.61840594
0.14669368,0.31785789,0.6182182
0.13885807,0.30856811,0.6162584
0.12151869,0.31291939,0.62601491
0.1153046,0.32918922,0.59406198
0.12752732,0.34501599,0.58524346
0.16276383,0.35816341,0.58531382
0.2130523,0.36112496,0.58341515
0.25234253,0.35772702,0.57885717
0.2695338,0.35643327,0.56050586
0.24526886,0.34143332,0.58901411
0.22754389,0.34340797,0.52466636
0.21737443,0.33235447,0.4410014
0.19680244,0.31637658,0.40239999
0.18143096,0.3058003,0.42586015
0.1737468,0.30318494,0.46383487
0.16450094,0.31758887,0.49546143
0.15116119,0.33322285,0.50313044
0.15576193,0.34661463,0.48741795
0.17476404,0.34983641,0.47566524
0.18807498,0.3567713,0.48721147
0.20204338,0.34595278,0.48683959
0.19475812,0.31299107,0.47067809
0.21075872,0.29007612,0.47055424
0.24360724,0.27815906,0.51148967
0.29597094,0.28293633,0.5335975
0.34692191,0.29012788,0.53421539
0.39584403,0.31339204,0.50426516
0.42793215,0.33977706,0.47556976
0.44792389,0.3645146,0.46311142
0.47355771,0.38914774,0.44324073
0.4991486,0.41680196,0.44051783
0.52248475,0.44177737,0.43944286
0.5190311,0.4693952,0.46307548
0.52560424,0.4185606,0.51295628
0.47820804,0.45843293,0.52546514
