x1,x2,x3
0.29504428,0.3839127,0.69107466
0.27563524,0.36818793,0.69380574
0.2654591,0.33985525,0.69486904
0.24687951,0.30944227,0.66101585
0.24667539,0.2758776,0.63370134
0.25336883,0.24016174,0.63624775
0.24035614,0.2098852,0.61030744
0.26061472,0.1785026,0.58180401
0.28093281,0.15843985,0.56759383
0.30318657,0.14897752,0.56044328
0.3204619,0.11413301,0.47719074
0.3492845,0.10316561,0.47575051
0.36588123,0.09235518,0.53413171
0.37411129,0.08629347,0.55686537
0.37695616,0.09105889,0.56262801
0.3897428,0.10489572,0.58071521
0.40396805,0.12971362,0.54336846
0.40681811,0.16963086,0.52966853
0.42224976,0.22100252,0.49456924
0.43493966,0.28192056,0.47932716
0.44101965,0.33642772,0.47132405
0.4414116,0.38814014,0.47058231
0.49315083,0.44700266,0.52872463
0.43161399,0.51957274,0.52154425
0.36793456,0.58237293,0.50123124
0.32437662,0.64707385,0.478248
0.30536742,0.71125863,0.48165711
0.30834439,0.75087005,0.48282611
0.30603913,0.78674049,0.51379657
0.28129542,0.8320017,0.59151127
0.21488062,0.87509397,0.67634756
0.16853748,0.90061976,0.76363441
0.13405667,0.91353938,0.82605114
0.11649909,0.92095596,0.87440344
0.11201479,0.93600304,0.90334901
0.10910142,0.94522044,0.92241598
0.09594814,0.9514459,0.93188139
0.08138709,0.95395431,0.93626523
0.08017549,0.95286033,0.92462412
0.09162562,0.95193254,0.92514104
0.10782167,0.94940004,0.92060583
0.12267924,0.94345863,0.90873439
0.1328076,0.93046616,0.88823335
0.13368555,0.91234971,0.85933569
0.12327877,0.89420601,0.82345632
0.09892112,0.87882817,0.79345363
0.08525338,0.82235605,0.77922516
0.06919764,0.79941583,0.78460794
0.06074725,0.78699976,0.76042162
0.05192668,0.76300861,0.74500203
0.04523456,0.70923691,0.75661463
0.04457624,0.66203866,0.73585951
0.04858082,0.60115268,0.73867735
0.0533433,0.57745307,0.77487886
0.04885152,0.55861377,0.79790563
0.04310317,0.54206339,0.81301814
0.04380857,0.52815356,0.82650495
0.04441455,0.48880756,0.8218268
0.0390673,0.4147175,0.82303873
0.04411281,0.37890649,0.82427138
0.05554172,0.36720764,0.83616533
0.07379745,0.37086386,0.81855906
0.09971953,0.3772146,0.81274216
0.1241813,0.39921557,0.81570666
0.13811886,0.42612735,0.77362157
0.14979589,0.42766384,0.73854019
0.16529247,0.40455056,0.6986381
0.18112792,0.37589349,0.67695815
0.1947587,0.34600641,0.65270024
0.20520893,0.28374151,0.62274346
0.19416177,0.23149666,0.56346703
0.18081118,0.20098798,0.54260778
0.17620478,0.18912319,0.51490075
0.17512011,0.18041319,0.48848334
0.17850046,0.18955768,0.46204392
0.19067776,0.22114299,0.43145985
0.20674735,0.22668974,0.40440003
0.20846376,0.20958202,0.39225215
0.19061955,0.18729664,0.3881873
0.18899389,0.16724485,0.3908384
0.20718123,0.15574141,0.40619885
0.23297028,0.14454174,0.45660736
0.24607277,0.14007232,0.4005296
0.27554445,0.14590726,0.43544293
