x1,x2,x3
0.56014526,0.66222628,0.28342644
0.53662792,0.71001816,0.26542329
0.50798926,0.7474126,0.25658416
0.48272588,0.7619689,0.2471121
0.44112104,0.76811128,0.2541061
0.38713805,0.77901059,0.26415404
0.36845046,0.78770906,0.28008344
0.37792987,0.78837238,0.31358859
0.38338116,0.77905485,0.33324078
0.40338068,0.76784193,0.35226126
0.36378407,0.73697558,0.3024693
0.41011165,0.72044622,0.34250242
0.4359883,0.70292943,0.38153393
0.44846313,0.68508513,0.40805494
0.44561883,0.68318204,0.4252513
0.4223432,0.65828962,0.44240963
0.3843376,0.63316254,0.49257782
0.3665538,0.63431758,0.55485202
0.36756398,0.62009599,0.60732967
0.35850611,0.61042829,0.63862782
0.33537227,0.60886811,0.66060637
0.29522307,0.60240509,0.66432579
0.28044258,0.5941923,0.65043568
0.22955406,0.56916296,0.63110253
0.20742844,0.55459147,0.60622011
0.20469808,0.54232024,0.57620761
0.20633983,0.48526983,0.54649391
0.22350816,0.4731006,0.52657442
0.23781934,0.45360414,0.50904407
0.2157126,0.45101517,0.51231318
0.19789941,0.42577854,0.52395954
0.1932974,0.40856889,0.57549026
0.19383368,0.40115625,0.59937458
0.19420357,0.39806975,0.5880264
0.20486407,0.35948845,0.45079105
0.209655,0.36175051,0.51472834
0.22441077,0.35052496,0.58619837
0.23997987,0.33722556,0.61796525
0.24652295,0.29895904,0.62226678
0.24818934,0.25557854,0.61180033
0.24192218,0.21034049,0.61859778
0.24200688,0.16716,0.6203106
0.24746136,0.13965506,0.61466907
0.24904569,0.12250221,0.60787456
0.25319084,0.11749786,0.59385781
0.26276616,0.11889127,0.57802456
0.33011549,0.12500071,0.53511185
0.36808331,0.1384479,0.49772987
0.39380913,0.14159495,0.47514187
0.40711603,0.13580615,0.46580147
0.40819504,0.12730059,0.45039408
0.40548242,0.11772358,0.43450255
0.39523003,0.1107772,0.42736578
0.38175702,0.09871082,0.42089919
0.36904672,0.08258989,0.42894169
0.37826528,0.07002431,0.44006599
0.39654348,0.06357709,0.45521399
0.42550839,0.06147922,0.47791797
0.42452324,0.07011241,0.51218253
0.44997793,0.0636286,0.51081802
0.46830769,0.05962863,0.55612432
0.47464409,0.05833319,0.60297428
0.46772195,0.05862288,0.64930447
0.4402472,0.05693034,0.68152188
0.403367,0.0573923,0.68906432
0.37282613,0.05695766,0.68532201
0.36962784,0.05402412,0.69247152
0.37673815,0.04731638,0.69712636
0.38874845,0.04299242,0.70523958
0.37598278,0.03956125,0.71778448
0.36357486,0.04347296,0.71665074
0.3169111,0.04580997,0.70635103
0.28617117,0.04840354,0.72640098
0.26225107,0.05151514,0.74712643
0.23674253,0.0548389,0.75569393
0.20579384,0.0552621,0.77022721
0.16440311,0.05873432,0.77630589
0.14785849,0.06414084,0.78106627
0.14062998,0.07072885,0.77671644
0.13994554,0.07837383,0.78399771
0.14289756,0.0839698,0.76060113
0.15964404,0.08926778,0.71980671
0.17022183,0.13167509,0.60801
0.18747484,0.1239758,0.6086693
0.19328676,0.12001568,0.62655712
0.19459278,0.12111267,0.64671669
0.1916778,0.12653646,0.63558278
0.18865947,0.1364752,0.59989652
0.18455529,0.15252281,0.5816004
0.16879484,0.17891244,0.56700487
0.16231671,0.20383226,0.54240699
0.15968323,0.22663047,0.52342038
0.15591627,0.24230829,0.49985263
0.1565157,0.25598015,0.49179666
0.19390246,0.26672818,0.5033337
0.20043549,0.28014913,0.46833828
0.21215755,0.29634785,0.43496379
0.23625081,0.30337849,0.43783852
0.26029853,0.31269258,0.4507594
0.27437432,0.32438731,0.47860528
0.2662791,0.33218034,0.50709217
0.24819481,0.33099993,0.53925393
0.26018771,0.3351883,0.55740407
0.28051774,0.34364412,0.57905095
0.30573137,0.35610759,0.58394577
0.33229169,0.36625224,0.58220133
0.34940471,0.36475597,0.51552907
0.36660308,0.38000012,0.52182135
0.38050171,0.38177809,0.56095672
0.39477566,0.38857224,0.58103318
0.4001057,0.39077218,0.595224
0.39690099,0.38490099,0.60244345
0.37984771,0.38123533,0.58583007
0.39265107,0.37363381,0.57153364
0.42936259,0.36376366,0.55194589
0.45793396,0.35980343,0.52887073
0.46601881,0.35218815,0.50824395
0.45227612,0.34372958,0.498148
0.43543012,0.30513486,0.48805593
0.40382537,0.3021015,0.47336815
0.37552327,0.29292821,0.47248452
0.33723694,0.28148346,0.48633439
0.28991947,0.2755964,0.49672043
0.23474296,0.28200754,0.54089846
0.18201735,0.28077954,0.5803364
0.15929373,0.26496523,0.63166095
0.17008788,0.25999047,0.67543809
0.191296,0.25428284,0.69629143
0.20403774,0.24708842,0.71667776
0.20892861,0.24402848,0.72817973
0.19698438,0.24014136,0.67208801
0.1985633,0.2403231,0.66882736
0.1938787,0.2470477,0.68154048
0.18687981,0.2507738,0.70139941
0.18666765,0.26146434,0.68314273
0.18153829,0.25696416,0.65360602
0.18158236,0.27072433,0.60622782
0.19805048,0.28030918,0.56395153
0.24268294,0.29809872,0.51888128
0.29244631,0.31301085,0.48939718
0.34400515,0.31764865,0.47076042
0.3958912,0.32087841,0.46291149
0.48229165,0.29390077,0.45647483
0.47888053,0.30150933,0.42844
0.47883079,0.31456608,0.43248322
0.4638539,0.3350175,0.45128051
0.45103704,0.35336621,0.47197391
0.43323748,0.37073621,0.49264539
0.38976295,0.38815183,0.49941844
0.34215719,0.39594537,0.49492646
0.30011995,0.41712267,0.49072215
0.26641517,0.43677801,0.5064055
0.25845829,0.46442913,0.52105928
0.27231154,0.48168659,0.54616253
0.25583551,0.48217329,0.51822618
0.2680016,0.49580706,0.54754279
0.2686167,0.50595841,0.54752406
0.26871523,0.51598989,0.55341719
0.25553041,0.53137759,0.55749281
0.23694794,0.54897184,0.53124617
0.21853537,0.56896876,0.52318838
0.20841724,0.58479984,0.54125776
0.20736709,0.60147142,0.54379704
0.22358422,0.61453574,0.54452394
0.23490036,0.62761411,0.53650536
0.22947739,0.64265062,0.51909029
0.2582429,0.61511314,0.50562029
0.23435137,0.63406765,0.44379928
