x1,x2,x3
0.36130704,0.70654529,0.43295986
0.32592736,0.67769357,0.43437202
0.29530558,0.65220336,0.44842001
0.28025972,0.62730384,0.46328023
0.26594654,0.60542306,0.48752012
0.24081833,0.57039389,0.51125601
0.22835232,0.5422919,0.5480941
0.23032055,0.5192136,0.587088
0.23714491,0.50503262,0.61410109
0.2488685,0.49232785,0.6431659
0.26059349,0.46756778,0.60804256
0.27357418,0.47826708,0.61920529
0.2840973,0.49229308,0.61440872
0.29374993,0.49781114,0.61690015
0.29159993,0.51066069,0.63273529
0.27787884,0.51238277,0.62718793
0.26098471,0.51139789,0.62607323
0.24451302,0.50123416,0.61083106
0.24572224,0.48553408,0.59765443
0.25763068,0.47539356,0.58094233
0.27250217,0.46220227,0.55931921
0.2779018,0.44194425,0.52510088
0.27532836,0.3793447,0.53218023
0.24594277,0.37210862,0.51424543
0.22210693,0.36573495,0.50547903
0.19682524,0.35148087,0.49711938
0.17217522,0.33472848,0.48385666
0.16151926,0.32138993,0.48277672
0.15113216,0.31580888,0.48122929
0.12745235,0.31866576,0.4967822
0.10482152,0.33789742,0.5199951
0.1122388,0.35436322,0.54161797
0.13512113,0.36267947,0.55147777
0.16175357,0.36416763,0.57432374
0.16846671,0.36681068,0.50025823
0.18757531,0.37636923,0.56942195
0.20346861,0.3823781,0.63661849
0.22095419,0.39223328,0.65502606
0.24363798,0.39837756,0.66683637
0.26367723,0.39413485,0.66165153
0.28238404,0.38279606,0.65297545
0.28078035,0.36892998,0.64155225
0.27841663,0.35427365,0.62394829
0.29840771,0.34022818,0.60138735
0.32327114,0.3303661,0.57391582
0.33584713,0.32478542,0.55128162
0.32132622,0.37384431,0.55152984
0.33205379,0.36239723,0.53427601
0.33492778,0.35414747,0.51813532
0.3360396,0.3508485,0.51060063
0.33186426,0.34648275,0.51792579
0.32505621,0.34346897,0.5245867
0.30668409,0.33677152,0.52021658
0.29019715,0.32966834,0.51638482
0.25214577,0.32356217,0.52048933
0.22304101,0.32109428,0.52153047
0.19824129,0.32623621,0.53878946
0.18006049,0.33346633,0.55497382
0.15842977,0.34426109,0.57026557
0.15422756,0.32989731,0.56294541
0.15520341,0.32345318,0.57194493
0.16232123,0.31808637,0.59525348
0.16485021,0.31496938,0.61475822
0.16278133,0.31512956,0.62605915
0.15528754,0.30416114,0.62848604
0.1439719,0.2927314,0.63620413
0.13896909,0.27717567,0.64278302
0.1454797,0.26099463,0.65326645
0.1485099,0.25168781,0.67173664
0.14493284,0.25371345,0.68369671
0.13998458,0.25090736,0.72884742
0.13062583,0.24661672,0.70189238
0.12108656,0.24461415,0.68381873
0.12020773,0.24956922,0.6837028
0.12539447,0.2520937,0.67564044
0.13107801,0.24685834,0.65643485
0.13042598,0.24501526,0.6326154
0.11104724,0.24324399,0.60807829
0.10233915,0.24087939,0.57779711
0.11088612,0.24590621,0.54812474
0.13612552,0.24427462,0.54729195
0.16619958,0.24027276,0.50445196
0.18916381,0.23482144,0.37998896
0.20710784,0.22083634,0.37338787
0.2321154,0.21483537,0.39486638
0.25093876,0.21953135,0.43109018
0.25869454,0.23615544,0.44315174
0.26293069,0.26351232,0.44359166
0.26391646,0.27938012,0.43380244
0.25793763,0.29759051,0.44234014
0.26974149,0.30967817,0.44865522
0.28772854,0.324433,0.45496211
0.29307316,0.33331001,0.46267776
0.28650046,0.33820149,0.46721009
0.28295074,0.30337307,0.46645344
0.26944719,0.29988576,0.43281886
0.25208087,0.29884052,0.42809901
0.24027003,0.29708114,0.43977164
0.23815169,0.29950163,0.44276225
0.24017169,0.30231554,0.44716632
0.23514855,0.30358029,0.45907313
0.21162107,0.3014918,0.45979327
0.19716577,0.30096668,0.45961478
0.20676155,0.30723711,0.45669127
0.23313416,0.31387466,0.4710707
0.27065171,0.31802497,0.46621662
0.30000922,0.32514233,0.42645579
0.32090459,0.32939565,0.45180855
0.33774466,0.31593871,0.47150201
0.35466253,0.29641754,0.48710573
0.37277336,0.27944694,0.49857723
0.38786188,0.26961599,0.49167043
0.39224125,0.26918964,0.47555775
0.38539908,0.26045366,0.48513171
0.39511465,0.25394366,0.50217912
0.41474257,0.24707447,0.51195779
0.43222271,0.23682171,0.52025479
0.43953897,0.23056933,0.52926001
0.42284985,0.22090357,0.53883747
0.40381572,0.22529262,0.5274043
0.37964826,0.21547539,0.52083777
0.34929166,0.20516465,0.52969103
0.32009975,0.19801199,0.54361664
0.29548773,0.19819328,0.56125719
0.28073918,0.20756282,0.58947218
0.25637269,0.21259581,0.60234985
0.24187964,0.21896851,0.5935112
0.22563874,0.23275833,0.58525436
0.21340828,0.24275463,0.58529485
0.21313344,0.25571074,0.57828315
0.18394332,0.25957372,0.48087943
0.18570314,0.26458402,0.48630764
0.19093087,0.25746505,0.49281802
0.20515992,0.25073067,0.51877478
0.22321199,0.26109786,0.5470702
0.22501645,0.27455911,0.55120757
0.23050441,0.29836396,0.54214881
0.23316958,0.32037677,0.55973683
0.23442024,0.33774515,0.57624156
0.23964035,0.34298565,0.58802452
0.25563106,0.34110345,0.59466788
0.27819857,0.34363985,0.58869231
0.29080365,0.29547649,0.57782304
0.31327533,0.31322134,0.56651413
