x1,x2,x3,x4
2186.17796131,2773.4648591,2423.67638529,2214.99576171
2131.52351228,2700.92349947,2408.77062646,2181.20937503
2114.63031894,2683.03658888,2395.85230214,2131.52351228
2139.47325032,2708.87323751,2419.70151627,2135.4983813
2255.73816917,2867.86799834,2575.71512533,2192.14026484
2652.23135397,3350.81458434,2951.34024777,2617.45125004
3045.74338701,3870.52870877,3352.80201885,3031.83134543
3356.77688787,4212.36744454,3742.33918286,3354.78945336
3534.65227654,4324.65749437,3876.4910123,3513.78421418
3547.57060085,4340.55697046,3891.39677113,3506.82819339
3539.62086281,4331.61351516,3862.57897073,3497.8847381
3513.78421418,4254.10356926,3756.25122443,3452.17374436
3586.3255738,4309.75173555,3778.11300405,3516.76536594
3553.53290438,4331.61351516,3730.4145758,3479.9978275
3505.83447614,4284.90880417,3661.84808519,3440.2491373
3419.38107494,4391.23655047,3564.46379419,3349.82086708
3327.95908747,4373.34963988,3479.9978275,3260.38631412
3279.26694197,4288.88367319,3448.19887534,3206.72558234
3263.36746588,4147.77582296,3417.39364043,3135.17793997
3356.77688787,4011.636559,3494.90358633,3083.5046427
3275.29207294,3785.06902483,3479.9978275,3036.79993171
2918.54757835,3443.23028906,3145.11511252,2956.30883404
2591.61460141,3150.0836988,2808.24496303,2651.23763672
2384.92141234,2912.58527482,2572.73397356,2401.81460568
2236.85754132,2799.30150773,2395.85230214,2282.56853506
2192.14026484,2732.72245164,2335.23554958,2230.89523779
2177.23450601,2713.84182379,2324.30465977,2241.8261276
2206.05230641,2727.75386536,2346.16643939,2246.79471387
2319.3360735,2859.9182603,2492.24287589,2344.17900488
2703.90465124,3242.49940352,2879.7926054,2837.06276343
3095.42924976,3665.82295421,3269.32976941,3042.76223524
3435.28055102,3970.89415154,3666.81667147,3369.69521218
3587.31929106,4079.20933235,3797.98734915,3508.8156279
3609.18107067,4130.88262962,3807.9245217,3522.72766947
3585.33185655,4125.91404335,3798.9810664,3488.9412828
3549.55803536,4069.2721598,3703.58420991,3441.24285455
3606.19991891,4097.09624295,3757.24494169,3508.8156279
3609.18107067,4070.26587706,3702.59049266,3480.99154476
3554.52662164,4081.19676686,3650.91719539,3449.19259259
3472.04808946,4296.83341123,3584.33813929,3357.77060512
3366.71406042,4341.55068771,3492.91615182,3270.32348667
3323.98421845,4258.07843828,3469.0669377,3214.67532038
3321.99678394,4183.54964414,3431.305682,3143.12767801
3430.31196475,4043.43551117,3524.71510398,3103.37898781
3299.14128707,3751.28263816,3482.97897927,3029.84391092
2940.40935796,3444.22400632,3128.22191918,2936.43448894
2618.4449673,3164.98945762,2792.34548695,2636.33187789
2393.86486763,2951.34024777,2631.36329161,2413.73921274
2295.48685938,2834.08161166,2479.32455158,2277.59994878
2218.97063073,2764.5214038,2418.70779901,2206.05230641
2217.97691347,2741.66590693,2400.82088842,2188.16539582
2245.80099662,2762.53396929,2431.62612333,2163.32246444
2358.09104645,2874.82401912,2561.80308375,2220.95806524
2753.590514,3262.37374863,2926.49731639,2654.21878848
3139.15280899,3693.64703736,3306.09730785,3077.54233917
3468.07322044,4000.7056692,3702.59049266,3398.51301258
3591.29416008,4106.03969824,3829.78630131,3535.64599379
3589.30672557,4158.70671276,3830.78001857,3537.6334283
3572.41353223,4147.77582296,3789.04389385,3492.91615182
3523.72138673,4075.23446333,3704.57792717,3457.14233064
3609.18107067,4109.02085001,3755.25750718,3537.6334283
3567.44494596,4087.15907039,3689.67216834,3496.89102084
3521.73395222,4123.92660883,3641.97374009,3464.09835142
3442.23657181,4255.09728651,3565.45751145,3375.65751571
3332.92767374,4304.78314927,3488.9412828,3288.21039726
3295.16641805,4220.31718258,3477.01667574,3253.43029333
3295.16641805,4117.9643053,3447.20515808,3182.87636822
3408.45018513,3984.80619312,3513.78421418,3138.15909174
3318.02191492,3764.20096247,3450.18630985,3075.55490466
2949.35281326,3458.13604789,3121.2658984,2975.18946189
2616.45753279,3166.97689213,2772.47114184,2689.99260967
2401.81460568,2986.1203517,2583.66486337,2439.57586137
2279.58738329,2835.07532892,2450.50675118,2284.55596957
2218.97063073,2763.52768655,2394.85858489,2216.98319622
2196.11513386,2747.62821046,2388.89628136,2208.03974092
2222.94549975,2784.3957489,2418.70779901,2182.20309229
2337.22298409,2934.44705443,2560.8093665,2246.79471387
2716.82297556,3401.49416435,2909.60412305,2672.10569907
3104.37270506,3925.18315781,3295.16641805,3072.5737529
3445.21772357,4290.8711077,3641.97374009,3396.52557807
3585.33185655,4399.18628851,3773.14441777,3530.67740752
3586.3255738,4371.36220536,3768.17583149,3522.72766947
3572.41353223,4330.6197979,3721.4711205,3504.84075888
3510.80306241,4289.87739044,3641.97374009,3457.14233064
3583.34442204,4345.52555673,3689.67216834,3524.71510398
3562.47635968,4323.66377712,3638.99258833,3469.0669377
3506.82819339,4383.28681243,3575.394684,3446.21144083
3423.35594396,4460.79675833,3498.87845535,3354.78945336
3321.00306668,4459.80304107,3410.43761964,3258.39887961
3280.26065922,4367.38733634,3402.4878816,3227.5936447
3303.11615609,4244.16639671,3364.72662591,3163.00202311
3434.28683377,4091.13393942,3433.29311651,3110.33500859
3280.26065922,3873.50986054,3417.39364043,3050.71197328
2931.46590267,3544.58944909,3101.39155329,2951.34024777
2604.53292572,3222.62505842,2765.51512106,2672.10569907
2388.89628136,2976.18317915,2570.74653905,2428.64497156
2281.5748178,2908.6104058,2411.75177823,2274.61879702
2226.92036877,2844.01878421,2359.0847637,2197.10885112
2202.07743739,2816.19470107,2348.1538739,2189.15911308
2237.85125858,2846.99993598,2384.92141234,2167.29733346
2346.16643939,2993.07637248,2524.04182806,2227.91408603
2723.77899634,3496.89102084,2882.77375716,2660.18109201
3101.39155329,4023.56116607,3290.19783177,3070.58631839
3422.36222671,4362.41875007,3606.19991891,3381.61981924
3564.46379419,4472.72136539,3750.2889209,3518.75280045
3535.64599379,4462.78419284,3734.38944482,3501.85960712
3553.53290438,4426.0166544,3687.68473383,3495.89730359
3519.74651771,4341.55068771,3602.22504989,3444.22400632
3578.37583576,4387.26168145,3636.01143656,3510.80306241
3516.76536594,4369.37477085,3582.35070478,3454.16117887
3464.09835142,4364.40618458,3491.92243457,3414.41248866
3380.62610199,4448.87215127,3415.40620592,3314.04704589
3273.30463843,4477.68995167,3337.89626002,3238.5245345
3228.58736195,4372.35592262,3305.1035906,3177.90778194
3189.832389,4243.17267945,3272.31092118,3097.41668427
3292.18526628,4102.06482922,3298.14756981,3046.73710426
3199.76956155,3866.55383975,3304.10987334,2966.2460066
2882.77375716,3566.4512287,3016.92558661,2899.6669505
2581.67742886,3281.25437648,2710.86067202,2649.25020221
2378.95910881,3067.60516662,2504.16748296,2426.65753705
2259.71303819,2923.51616462,2454.4816202,2304.43031467
2184.1905268,2853.95595676,2381.94026057,2214.00204445
2154.37900915,2821.16328735,2353.12246017,2172.26591974
2151.39785738,2828.11930813,2354.11617743,2124.56749149
2187.17167857,2916.56014384,2399.82717117,2089.78738756
2267.66277623,3162.00830586,2480.31826883,2240.83241034
2451.50046843,3499.87217261,2659.18737476,2463.42507549
2714.83554105,3778.11300405,2908.6104058,2760.54653478
2913.57899207,3934.1266131,3123.25333291,2963.26485483
2976.18317915,4007.66168998,3216.66275489,3012.95071759
2988.10778621,4030.51718685,3192.81354077,3007.98213131
2983.13919993,4004.68053822,3149.08998154,2979.16433091
2964.25857209,3983.81247586,3108.34757408,2971.21459287
2937.4282062,3968.90671703,3043.7559525,2914.57270933
2903.64181952,3988.78106214,2997.05124151,2868.86171559
2870.8491501,4112.99571903,2962.27113758,2833.08789441
2846.99993598,4177.58734061,2963.26485483,2811.22611479
2836.06904617,4094.11509118,2984.13291719,2803.27637675
2843.02506696,4049.3978147,2983.13919993,2774.45857635
2969.22715836,3932.13917859,3038.78736622,2742.65962419
2912.58527482,3758.23865894,3077.54233917,2713.84182379
2680.05543712,3501.85960712,2861.90569481,2714.83554105
2448.51931667,3251.44285882,2618.4449673,2534.97271786
2260.70675545,3042.76223524,2412.74549548,2318.34235624
2172.26591974,2892.71092972,2312.38005271,2203.07115465
2110.65544992,2816.19470107,2268.65649349,2142.45440208
2085.81251854,2782.40831439,2238.84497583,2083.82508403
2084.81880129,2788.37061793,2241.8261276,2066.93189069
2118.60518796,2865.88056383,2289.52455584,1982.46592401
2162.32874719,3078.53605643,2328.2795288,2102.70571188
2286.54340408,3377.64495022,2475.34968256,2247.78843113
2535.96643512,3637.00515382,2718.81041007,2550.87219395
2770.48370733,3815.87425974,2933.45333718,2768.49627282
2889.72977795,3917.23341977,3033.81877995,2871.84286736
2906.62297129,3956.98210997,3035.80621446,2880.78632265
2893.70464697,3940.08891663,3005.9946968,2861.90569481
2884.76119167,3936.11404761,2977.1768964,2858.92454304
2866.87428108,3925.18315781,2937.4282062,2839.05019794
2857.93082579,3935.12033036,2910.59784031,2797.31407322
2848.98737049,4081.19676686,2908.6104058,2782.40831439
2856.93710853,4278.94650064,2919.5412956,2799.30150773
