x1,x2,x3,x4
2647.60672666,3420.44861486,2875.96903943,2769.2669981
2555.86291542,3343.66303371,2801.17788896,2700.45913966
2534.92139329,3341.66860303,2750.31990664,2612.70418978
2543.89633134,3357.62404847,2763.28370606,2556.86013076
2587.77380629,3428.42633758,2829.09991847,2525.94645523
2816.13611906,3698.67169461,3093.36198347,2550.87683872
3423.44026088,4363.81432613,3646.81649695,2730.37559985
3853.24007225,5090.78430871,4232.1819013,2983.66829611
4167.36290423,5346.07143565,4452.56649136,3296.79391275
4280.0482376,5326.12712885,4505.41890436,3449.36785971
4254.12063877,5300.19953002,4583.20170085,3524.15901018
4459.54699873,5178.53925859,4505.41890436,3535.12837892
4334.89508128,5078.81772463,4387.74749428,3540.11445561
4437.60826126,5071.83721725,4369.79761817,3581.00028454
4353.84217274,5045.90961842,4288.02596032,3581.99749988
4155.39632015,4991.06277475,4125.47985996,3593.96408395
4136.4492287,5236.37774829,4098.5550458,3649.80814297
4305.97583643,5663.18591364,4375.78091021,3989.85857378
4208.24873315,5406.90157136,4296.00368304,4027.75275668
4026.75554134,5015.99315824,4106.53276851,3773.46284508
3914.07020797,4676.93994277,4024.76111066,3540.11445561
3642.82763559,4331.90343526,3807.36816663,3385.54607797
3298.78834343,3959.94211359,3496.23698067,3260.89416052
2999.62374155,3611.91396007,3193.08351743,3047.49007785
2798.18624294,3399.50709273,3006.60424892,2880.95511613
2700.45913966,3260.89416052,2976.68778873,2776.24750547
2645.61229598,3191.08908675,2901.89663826,2743.33939927
2667.55103346,3184.10857937,2930.81588311,2762.28649072
2720.40344645,3183.11136403,3000.62095689,2854.03030196
2979.67943475,3400.50430807,3235.96377703,2975.69057339
3535.12837892,3999.83072717,3844.26513419,3446.37621369
4059.66364755,4687.9093115,4395.725217,4010.80009591
4312.95634381,4885.35794875,4253.12342343,4298.99532906
4453.5637067,4864.41642662,3229.980485,4371.79204885
4619.10145307,5019.98201959,3285.82454401,4469.51915213
4544.3103026,4906.29947088,3243.94149975,4513.39662707
5383.96561855,4795.60856818,3728.5881548,4434.61661524
4655.0012053,4816.55009031,4015.78617261,4445.58598398
4582.20448551,4727.79792509,3925.0395767,4383.75863292
4457.55256805,4657.99285132,3788.42107518,4241.15683936
4379.76977156,4870.39971865,4039.71934076,4188.30442636
4447.58041466,5254.3276244,4500.43282766,4378.77255623
4407.69180107,5045.90961842,4395.725217,4292.01482168
4189.3016417,4715.83134101,4146.4213821,4117.50213725
4037.72491008,4369.79761817,4113.51327589,3939.9978068
3768.47676838,4056.67200153,4017.78060329,3788.42107518
3425.43469156,3729.58537014,3653.79700433,3622.8833288
3114.3035056,3412.47089214,3319.72986556,3327.70758828
2820.12498042,3195.07794811,3114.3035056,3090.37033745
2745.33382994,3086.38147609,3059.45666192,2972.69892738
2707.43964704,3054.47058522,3050.48172387,2915.85765302
2712.42572374,3088.37590677,3060.45387726,2927.82423709
2766.27535208,3193.08351743,3116.29793628,2951.75740524
3020.56526368,3484.2703966,3360.61569448,3099.34527551
3694.68283325,4155.39632015,3917.06185399,3579.00585386
4187.30721102,4863.41921128,4452.56649136,4141.4353054
4352.8449574,5080.81215531,4595.16828492,4395.725217
4383.75863292,5094.77317007,4603.14600764,4472.51079815
4421.65281583,5194.49470403,4628.07639113,4569.24068609
4427.63610787,5220.42230286,4577.21840881,4550.29359464
4365.80875681,5150.61722908,4461.54142941,4475.50244417
4426.63889253,5149.62001374,4501.430043,4492.45510494
4354.83938807,5030.95138833,4393.73078632,4418.66116981
4159.38518151,4948.18251514,4241.15683936,4271.07329955
4176.33784228,5112.72304618,4186.30999568,4200.27101044
4397.71964768,5456.76233834,4345.86445002,4361.81989545
4254.12063877,5199.48078072,4263.09557683,4274.06494557
4038.72212542,4877.38022603,4043.70820212,4068.63858561
4018.77781863,4591.17942356,3965.92540563,3882.1593171
3770.47119906,4276.05937625,3852.24285691,3720.61043208
3388.53772399,3927.03400738,3542.10888629,3580.0030692
3061.4510926,3610.91674473,3226.98883898,3312.74935818
2854.03030196,3397.51266205,3038.51513979,3086.38147609
2744.33661461,3282.83289799,2963.72398932,2962.72677398
2711.4285084,3230.97770033,2924.83259107,2896.91056157
2713.42293908,3231.97491567,2951.75740524,2912.866007
2776.24750547,3293.80226673,3040.50957047,2921.84094506
3032.53184775,3534.13116358,3303.77442013,3079.40096871
3586.98357658,4216.22645587,3833.29576546,3604.93345269
4045.7026328,4908.29390156,4421.65281583,4052.68314017
4271.07329955,5141.64229103,4572.23233211,4322.92849721
4298.99532906,5146.62836772,4546.30473328,4444.58876864
4369.79761817,5212.44458014,4533.34093386,4571.23511677
4393.73078632,5175.54761257,4506.4161197,4593.17385424
4309.96469779,5084.80101667,4396.72243234,4577.21840881
4326.91735857,5081.80937065,4414.67230845,4731.78678645
4283.03988362,5033.94303435,4294.00925236,4773.66983071
4173.34619627,4954.16580718,4096.56061512,4640.0429752
4150.41024345,5133.66456831,4055.67478619,4561.26296337
4331.90343526,5434.82360087,4264.09279217,4695.88703422
4188.30442636,5166.57267452,4231.18468596,4527.35764183
4026.75554134,4863.41921128,4057.66921687,4274.06494557
3962.93375961,4528.35485717,4006.81123455,4040.7165561
3693.68561791,4178.33227296,3802.38208993,3827.31247342
3355.62961779,3838.28184216,3480.28153524,3689.69675656
3055.46780056,3522.1645795,3216.01947024,3421.4458302
2870.98296274,3299.78555877,3028.54298639,3146.21439647
2779.23915149,3197.07237879,2947.76854389,3034.52627843
2720.40344645,3138.23667375,2875.96903943,2987.65715747
2721.40066179,3131.25616637,2855.0275173,2990.64880349
2790.20852023,3202.05845549,2944.77689787,2984.66551145
3031.53463241,3448.37064437,3196.07516345,3105.32856754
3608.92231405,4117.50213725,3685.7078952,3512.1924261
4091.57453842,4827.51945905,4231.18468596,4051.68592483
4297.99811372,5072.83443259,4423.64724651,4403.70293972
4312.95634381,5036.93468037,4451.56927602,4483.48016688
4387.74749428,5091.78152405,4450.57206068,4534.3381492
4356.83381875,5056.87898716,4408.68901641,4555.27967134
4242.1540547,4933.22428505,4234.17633198,4438.6054766
4151.40745879,4855.44148856,4142.43252074,4297.00089838
4002.82237319,4727.79792509,3951.96439087,4086.58846172
3902.10362389,4661.98171267,3825.31804274,3955.95325223
3961.93654427,4868.40528797,3822.32639672,3921.05071534
4150.41024345,5191.50305801,4029.74718736,4004.81680387
4084.59403104,5025.96531163,3986.86692776,3960.93932893
3849.25121089,4630.07082181,3753.51853829,3775.45727576
3712.63270937,4278.05380692,3668.75523442,3599.94737599
3458.34279777,3994.84465048,3538.12002493,3454.35393641
3226.98883898,3737.56309286,3278.84403664,3336.68252633
2886.93840817,3451.36229039,3074.41489202,3111.31185958
2662.56495676,3242.94428441,2914.86043768,2906.88271496
2550.87683872,3094.35919881,2774.25307479,2718.40901578
2494.03556436,3001.61817222,2739.35053791,2640.62621929
2470.10239621,2981.67386543,2700.45913966,2605.7236824
2478.08011893,2998.62652621,2719.40623112,2560.84899212
2548.88240804,3079.40096871,2805.16675032,2537.91303931
2701.456355,3287.81897469,2900.89942292,2721.40066179
2958.73791262,3609.91952939,3232.97213101,3055.46780056
3253.91365315,3964.92819029,3497.23419601,3351.64075643
3406.48760011,4200.27101044,3672.74409578,3538.12002493
3462.33165912,4358.82824943,3755.51296897,3664.76637306
3465.32330514,4385.7530636,3717.61878606,3652.79978899
3453.35672107,4324.92292789,3639.83598957,3632.8554822
3409.47924612,4265.09000751,3627.8694055,3634.84991288
3376.57113992,4239.16240868,3615.90282142,3553.07825503
3295.79669741,4271.07329955,3570.0309158,3451.36229039
3360.61569448,4462.53864475,3658.78308103,3478.28710456
3596.95572997,4818.54452099,3949.96996019,3665.7635884
3629.86383618,4675.94272743,3933.01729942,3638.83877424
3459.34001311,4290.020391,3727.59093946,3469.3121665
3389.53493933,4015.78617261,3594.96129929,3417.45696884
3205.0501015,3779.44613712,3448.37064437,3326.71037294
3003.6126029,3579.00585386,3250.92200713,3242.94428441
2791.20573557,3336.68252633,3009.59589494,3027.54577105
2642.62064997,3176.13085666,2815.13890372,2820.12498042
2518.96594785,3095.35641415,2705.44521636,2684.50369423
2436.19707467,3043.50121649,2664.55938744,2599.74039036
2422.23605991,3047.49007785,2654.58723404,2564.83785348
