x1,x2,x3,x4
7564.55034269,10349.46381423,9246.23690608,7196.80803997
7466.28311579,10111.39372845,9096.30340525,6948.60731224
7443.9957035,10106.32840748,9099.34259783,6919.22845059
7558.47195752,10162.04693819,9174.30934825,6805.76526077
7873.5349221,10523.71085574,9506.59440415,7045.86147494
8599.90194979,11492.20022599,10197.50418501,7799.58123588
9179.37466922,12086.86890834,10709.10160339,8373.98863434
9469.11102894,12342.16108544,10931.97572625,8610.03259174
9542.05165097,12274.28578438,10999.8510273,8784.27963324
9709.20724311,12189.18839202,10965.40684468,8847.08961332
9681.85450985,12165.88791554,10935.01491884,8849.11574171
9613.9792088,12079.77745898,10797.23818834,8850.12880591
9526.85568804,11963.27507657,10575.37712968,8670.81644342
9439.73216729,11904.51735328,10440.63959177,8675.8817644
9360.71316009,12044.32021216,10386.94718944,8767.05754193
9233.06707155,12312.78222379,10290.70609093,8692.09079152
9210.77965926,12387.7489742,10279.56238479,8598.88888559
9183.426926,12372.55301128,10198.51724921,8458.07296251
9303.98156518,12319.87367315,10381.88186847,8432.74635764
9528.88181643,12127.39147613,10501.42344346,8473.26892544
9228.00175057,11617.82018614,10275.51012801,8139.97080534
8969.6703809,11584.38906771,10266.39255026,8196.70240025
8595.84969301,11392.91993489,10036.42697804,8073.10856848
8119.70952144,10781.02916122,9607.90082363,7585.82469078
7797.55510749,10380.86880427,9341.46494039,7354.84605436
7630.39951535,10179.2690295,9243.1977135,7162.36385734
7639.5170931,10033.38778545,9192.54450375,7075.24033659
7779.31995199,10099.23695811,9287.77253807,6983.05149486
8113.63113628,10573.35100129,9608.91388782,7177.55982027
8767.05754193,11427.36411752,10160.0208098,7868.46960113
9325.25591328,11988.60168144,10672.63129238,8330.42687397
9661.59322595,12311.76915959,10889.42703007,8613.07178432
9841.91865263,12218.56725367,10827.63011419,8710.32594702
9845.97090941,12033.17650602,10687.8272553,8702.22143346
9798.35689225,11940.98766429,10588.54696421,8720.45658897
9761.88658124,11905.53041747,10471.03151761,8780.22737646
9660.58016176,11800.17174121,10208.64789115,8834.93284298
9484.30699186,11752.55772405,10109.36760006,8858.23331947
9480.25473508,11812.32851155,10052.63600515,8751.86157901
9522.80343126,12051.41166152,10028.32246448,8724.50884575
9601.82243846,12175.00549329,10018.19182253,8739.70480867
9626.13597914,12204.38435494,10038.45310643,8609.01952754
9732.50771959,12239.84160176,10179.2690295,8620.16323368
9823.68349712,12051.41166152,10399.10395978,8637.385325
9254.34141964,11422.29879654,10455.83555469,8254.44705936
9118.59081753,11491.18716179,10556.12890998,8337.51832333
8758.95302837,11277.43061668,10361.62058457,8197.71546445
8225.06819771,10821.55172902,9997.93053863,7729.67980644
7897.84846278,10501.42344346,9696.03740858,7368.01588889
7765.13705326,10306.91511805,9555.2214855,7070.17501562
7747.91496195,10215.73934052,9514.69891771,6999.26052198
7836.0515469,10344.39849326,9627.14904333,6913.15006542
8174.41498797,10772.92464767,9849.01010199,7062.07050206
8901.79507984,11642.13372682,10487.24054473,7794.51591491
9261.432869,12066.60762445,10914.75363494,8456.04683412
9586.62647554,12332.03044349,10761.78094152,8739.70480867
9635.25355689,12089.90810093,10627.04340361,8832.90671459
9637.27968528,12082.81665156,10426.45669304,8882.54686014
9732.50771959,12195.26677719,10293.74528352,8939.27845505
9691.9851518,12170.95323651,10286.65383415,8966.63118831
9652.4756482,12090.92116512,10076.94954583,8929.1478131
9544.07777936,12050.39859733,9961.46022762,8889.6383095
9488.35924864,12220.59338206,9928.02910919,8788.33189002
9480.25473508,12500.19909983,9789.2393145,8788.33189002
9490.38537703,12530.59102567,9827.7357539,8760.97915676
