x1,x2,x3,x4
10879.77777341,17665.62366418,15115.59823074,11114.93576085
10688.27780895,17449.31800485,14892.34697684,10758.72598241
10646.60424156,17303.46051897,14763.35736348,10653.54983612
10624.77523007,17370.93200904,14786.17860277,10603.93844637
10676.37107541,17452.29468824,15016.37545123,10502.73121127
11103.02902731,18190.5121678,15653.3856957,10467.01101064
12165.70499588,19767.16213423,16713.08498088,10794.44618303
13355.38612222,20967.75776632,18062.51478223,11015.71298134
13369.27731135,21659.34053951,18581.44991907,11379.86058215
13471.47677424,21308.09190004,18392.926638,11856.1299238
13444.68662378,21098.73183527,18230.2012796,12182.57286839
13146.02605745,20837.77592516,18143.87746143,12167.68945147
13064.66337825,20715.73190636,17995.04329216,12129.98479525
13013.0675329,20564.9132815,17751.94748236,12044.65320487
12908.88361441,20719.70081754,17713.25059835,12032.74647133
13054.7411003,20889.37177051,17609.06667986,11975.19725921
13146.02605745,21268.40278824,17679.51485332,12001.98740968
12945.59604283,21261.45719367,17510.83612815,11963.29052567
12779.89400105,21001.49351135,17439.3957269,12023.81642117
12876.14009718,20735.57646226,17445.34909367,12111.13246714
13143.04937406,20427.98584578,17523.73508948,12157.76717351
12941.62713165,19944.77090956,17424.51230997,12135.93816202
12336.36817663,19283.94719801,16865.88806132,12076.40449432
11668.59887052,18392.926638,15966.92967895,11795.6040283
11196.29844005,17835.29461715,15444.02563093,11182.40725092
10861.9176731,17514.80503933,15229.70442718,10887.71559577
10872.83217884,17342.15740298,15155.28734255,10779.5627661
10821.2363335,17419.551171,15111.62931956,10756.74152682
10970.07050276,17650.74024726,15361.67072393,10767.65603256
11252.85542437,18338.35410927,15732.76391931,11096.08343274
12323.4692153,19691.7528218,17137.75847718,12203.40965209
13376.22290591,21159.25773078,18579.46546348,13397.05968961
13228.38096444,21623.62033889,18734.25299952,13892.18135937
13500.2513803,21505.54523127,18247.06915212,13809.82645238
13507.19697487,21460.89498049,17727.14178748,13636.18658823
13542.91717549,21321.98308917,17336.20403621,13462.54672409
13549.86277006,21088.80955732,17049.45020342,13523.07261959
13446.67107937,21049.12044552,16708.1238419,14478.58798628
13539.94049211,21053.0893567,16582.11091192,13671.90678886
13391.10632284,21349.76546744,16557.30521704,13403.01305638
13386.14518386,21698.03742352,16515.63164965,13303.79027687
13321.65037718,21619.65142771,16348.93738007,13063.67115045
13120.22813477,21449.98047474,16182.24311049,12987.26961023
13173.80843571,21188.03233683,16250.70682835,12817.59865726
13582.6062873,20887.38731491,16602.94769562,12794.77741798
13337.5260219,20627.4236326,16750.78963709,12721.35256114
12975.36287669,19732.4341614,16380.68866951,12665.78780461
11970.23612024,19069.62599427,15672.2380238,12263.93554759
11468.16885591,18315.53286998,15119.56714193,11764.84496665
11258.80879114,18016.87230365,14837.77444811,11213.16631257
11140.73368352,17842.24021171,14718.7071127,11108.98239408
11128.82694998,17848.19357849,14901.277027,10942.2881245
11262.77770232,18026.79458161,15048.12674068,10924.42802419
11611.04965841,18485.20382295,15517.45048777,11122.87358321
12823.55202403,20012.24239963,16700.18601954,12332.39926545
14084.67355162,21553.17216544,18164.71424513,13532.00266975
14405.16312944,21957.00887805,18393.9188658,13825.7020971
14222.59321514,21874.65397105,17731.11069866,13738.38605113
13864.39898111,21758.56331902,17146.68852734,13665.95342209
13880.27462583,21406.32245176,16751.78186489,13570.69955375
13704.65030609,21220.77585407,16552.34407807,13467.50786306
13549.86277006,21080.87173496,16254.67573953,13542.91717549
13695.72025594,21103.69297425,16152.47627664,13343.47938867
13580.62183171,21320.99086138,16085.99701437,13322.64260498
13583.59851509,21604.76801078,15953.03848982,13339.51047749
13546.88608667,21533.32760953,15781.38308127,13234.33433121
13674.88347224,21252.52714352,15665.29242924,12977.34733228
13686.79020578,21026.29920623,15747.64733623,12884.07791954
13991.40413888,20610.55576008,16142.55399869,12901.93801985
13853.48447536,20120.39522929,16525.5539276,12816.60642947
13092.44575651,19399.04562225,16062.18354728,12630.06760399
12399.87075552,18578.47323569,15469.8235536,12132.96147864
11949.39933654,17905.7427906,14936.99722762,11569.37609101
11630.89421431,17409.62889305,14762.36513568,11107.99016629
11520.75692905,17123.86728805,14668.10349515,10981.97723631
11553.50044629,17229.04343433,14737.55944081,10933.35807435
11632.8786699,17321.32061928,14958.82623912,10876.80109002
11950.39156434,17774.76872165,15445.01785872,10958.16376922
13056.72555589,19004.13895979,16824.21449393,11785.68175035
