x1,x2,x3,x4
10620.43998805,16687.99084475,13296.57321279,11154.67730463
10517.54983818,16474.29591811,13312.40246662,10708.49021245
10432.46759888,16455.4986792,13314.38112335,10666.93842116
10332.54543411,16688.98017311,13505.32149761,10646.16252551
10376.07588213,17040.19174235,13559.73455763,10556.13364438
11069.59506532,17604.10890985,14337.34665177,11129.94409553
12770.25052312,19821.19377368,16195.30531945,12652.5204478
14274.02963647,21757.30938212,17478.46420762,14389.78105507
14792.43769923,21826.56236761,17607.07689495,14811.23493815
15044.71643206,21550.53975404,17501.21875999,14900.27449091
15144.63859683,21714.76826247,17112.41271292,14914.12508801
15117.926731,21756.32005376,17020.40517507,14911.15710292
15134.74531319,21616.82475443,16737.45726295,14727.14202721
15149.58523865,21432.80967872,16506.94375413,14605.45463843
14851.79740108,21369.49266342,16660.28965055,14736.04598248
14590.61471297,21787.97856141,16630.60979963,14711.31277338
14647.00642972,22142.15811574,16644.46039673,14360.10120414
14904.23180437,22235.15498196,17013.47987652,14409.56762235
14424.40754781,22046.19326443,17004.57592124,14243.36045719
14372.96247288,21550.53975404,17085.70084709,14046.48411274
14512.45777221,20555.27541981,17233.11077334,13640.85948348
13394.51672083,19903.3080279,16673.15091929,13237.21351095
12217.21596762,18823.95078272,15608.63359957,12564.4702234
11627.57626265,17876.17420997,14567.86016059,12620.86194015
10769.82857102,17018.42651834,13722.9737377,11148.74133445
10787.63648157,16735.47860622,13675.48597622,10907.34521362
10876.67603433,16681.0655462,13611.17963256,10983.52349765
11043.87252786,16736.46793459,13719.01642424,11209.09036465
11037.93655767,16892.7818161,14109.80112804,10691.67163026
11396.07342546,17548.70652147,15026.90852151,10935.04640781
12838.51418024,19428.43041316,16477.2639032,12469.49470045
14261.16836774,21164.70169206,17948.39518054,13997.01769454
14787.49105741,21781.05326286,18365.89175017,14606.44396679
14923.02904329,21353.66340959,17985.00033001,14749.89657958
15154.53188047,21434.78833544,17496.27211817,14807.27762469
15213.89158232,21288.36773757,17226.18547479,14726.15269884
15268.30464234,21013.33445236,16779.00905424,14609.41195188
15044.71643206,20852.07392902,16494.08248539,14587.64672787
