x1,x2,x3,x4
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,4.597e-5
-0.0,0.0,0.0,0.01203197
0.00020814,0.0,0.0010456,0.10103171
0.05912151,0.0,0.10707449,0.2016153
0.21054719,0.0,0.28665085,0.34500199
0.34382415,0.00034812,0.46774099,0.52743524
0.48561228,0.08185966,0.62276722,0.66605813
0.61572746,0.20176062,0.74149516,0.76640822
0.67639816,0.27171658,0.81623563,0.78092486
0.70051996,0.31785682,0.84644793,0.73070611
0.67548686,0.3081652,0.81995016,0.63589716
0.58448919,0.25501701,0.75035737,0.56444941
0.46605962,0.15128688,0.62905505,0.47966733
0.3341972,0.01467666,0.46698284,0.37910154
0.18218004,3.7e-7,0.310001,0.28329024
0.05055298,0.0,0.13988359,0.17937618
0.00018134,0.0,0.00310229,0.10142459
-0.0,0.0,0.0,0.00625685
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,5.908e-5
-0.0,0.0,0.0,0.01618528
0.0001803,0.0,0.00112338,0.09371072
0.05389939,0.0,0.10172504,0.18146457
0.14480536,0.0,0.26976424,0.29699941
0.21915971,0.0004657,0.429599,0.42080046
0.29249702,0.07858444,0.57077073,0.52728788
0.35595692,0.20665562,0.67387528,0.59495872
0.3760984,0.29745387,0.74870815,0.60879759
0.38649552,0.3400421,0.78380978,0.58039672
0.32196493,0.34771053,0.75933691,0.55572834
0.25942924,0.27223048,0.68047625,0.48934705
0.20900518,0.17016642,0.57481294,0.45226704
0.13238358,0.0154982,0.42165909,0.33875629
0.06436602,9.7e-7,0.26272047,0.25200241
0.02223118,0.0,0.1191505,0.16104551
0.00011152,0.0,0.00310046,0.08426031
-0.0,0.0,0.0,0.00681475
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,5.319e-5
-0.0,0.0,0.0,0.01148408
5.043e-5,0.0,0.00204372,0.08653292
0.01987947,0.0,0.11927509,0.17076672
0.12903492,0.0,0.28363603,0.28866478
0.26221118,0.00044278,0.41350549,0.41558906
0.39803516,0.04958751,0.54521882,0.55015495
0.51386412,0.12272361,0.67176776,0.62391417
0.57741628,0.17902296,0.73791016,0.67944388
0.57281114,0.19598431,0.75874113,0.7035926
0.52678607,0.18052824,0.72199372,0.66714668
0.4561548,0.14346854,0.61322228,0.60994963
0.37192327,0.07469322,0.47860168,0.51771085
0.27572516,0.00403369,0.35307588,0.40214469
0.16635144,4.0e-7,0.21652326,0.29142044
0.04905735,0.0,0.10936188,0.1818004
6.525e-5,0.0,0.0031651,0.09902986
-0.0,0.0,0.0,0.00862743
-0.0,0.0,0.0,7.0e-8
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,9.118e-5
-0.0,0.0,0.0,0.02050879
9.165e-5,0.0,0.00266248,0.1185959
0.04196781,0.0,0.11891066,0.22513383
0.15905817,0.0,0.28664751,0.37068054
0.23755639,0.00022233,0.45532639,0.5068706
0.32928134,0.01948456,0.6028476,0.63729882
0.40086667,0.05760392,0.71362992,0.72891597
0.43730902,0.07444749,0.78806686,0.77548828
0.44316121,0.08681484,0.81702337,0.74936594
0.4332233,0.07745684,0.79520652,0.66869041
0.38877033,0.05334488,0.72103787,0.58940883
0.34072224,0.02295466,0.60764213,0.49516002
0.23845792,0.00238449,0.47000642,0.400123
0.13500025,1.08e-6,0.30495436,0.3148423
0.02459423,0.0,0.14551343,0.20518961
3.41e-5,0.0,0.00468562,0.12013265
-0.0,0.0,0.0,0.010216
-0.0,0.0,0.0,2.5e-7
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.00011182
-0.0,0.0,0.0,0.02068468
6.078e-5,0.0,0.00350803,0.1274624
0.03844978,0.0,0.13211,0.23683267
0.13238339,0.0,0.29733232,0.39002455
0.24334809,0.00022769,0.44681295,0.50495633
0.34985669,0.01893217,0.59188,0.6038041
0.42328857,0.06591558,0.70382876,0.69170179
0.46147124,0.09617877,0.76549226,0.69245142
0.4170127,0.11804975,0.76562542,0.66323989
0.38089762,0.12173283,0.73704263,0.62540616
0.31033524,0.09248729,0.65958569,0.5805589
0.23859073,0.05073217,0.54798858,0.4906346
0.17584725,0.00587925,0.40923736,0.4026439
0.09881131,2.51e-6,0.26083274,0.28894524
0.01497087,0.0,0.11848615,0.17924782
1.995e-5,0.0,0.00377705,0.09971907
-0.0,0.0,0.0,0.00906054
-0.0,0.0,0.0,5.5e-7
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0001328
-0.0,0.0,0.0,0.02189824
4.435e-5,0.0,0.00457136,0.09961213
0.03261493,0.0,0.12812862,0.1890034
0.1046805,0.0,0.2859435,0.30196072
0.17219032,0.00044618,0.44796702,0.43160291
0.25916274,0.05850742,0.58116257,0.53755672
0.34229907,0.15779143,0.68502973,0.61019837
0.35333753,0.20812543,0.71700526,0.65115518
0.3743498,0.23628614,0.7026419,0.6456267
0.34672807,0.20543778,0.66579529,0.59856346
0.31042143,0.16454785,0.58571876,0.53250944
0.26374354,0.09854229,0.48721659,0.49170243
0.21518272,0.0136594,0.38153299,0.36802795
0.12378932,7.86e-6,0.26220601,0.27526968
0.02951893,0.0,0.1284226,0.16512736
1.786e-5,0.0,0.00607581,0.0869635
-0.0,0.0,0.0,0.00995194
-0.0,0.0,0.0,1.36e-6
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.00015605
0.0,0.0,0.0,0.02173521
1.89e-5,0.0,0.00474587,0.09617612
0.03129563,0.0,0.12218982,0.1835842
0.17896042,0.0,0.27876399,0.31193204
0.32836121,0.00072531,0.4412795,0.45404689
0.49114992,0.08786885,0.59020885,0.59343508
0.57248589,0.20607968,0.70006315,0.70272956
0.61998011,0.2620703,0.76224714,0.74970287
0.59653775,0.29322715,0.75157905,0.76866883
0.51423227,0.31030287,0.71636233,0.70954592
0.40552093,0.26712891,0.64199281,0.6380204
0.29215994,0.18706619,0.50018736,0.53821318
0.22198392,0.04419371,0.35804645,0.45217867
0.12930955,1.928e-5,0.22731272,0.33591876
0.02459206,0.0,0.09960249,0.21254398
1.121e-5,0.0,0.00596148,0.12242197
0.0,0.0,0.0,0.01207967
0.0,0.0,0.0,2.36e-6
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
