x1,x2,x3,x4
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.00013137
-0.0,0.0,0.0,0.01399188
-0.0,0.0,0.0,0.11039814
0.00187387,0.0,0.00301978,0.18040788
0.07022762,0.0,0.027014,0.30132983
0.14054852,0.0,0.0596023,0.43753309
0.17193666,0.0,0.12035868,0.57937746
0.23236656,0.00085018,0.16624705,0.69900033
0.28318384,0.05854269,0.20461021,0.78475855
0.28862132,0.2016074,0.23247095,0.83627261
0.30220815,0.25801203,0.25012443,0.84836606
0.3127771,0.20201164,0.2573076,0.82082291
0.30804593,0.06058428,0.26538378,0.75215215
0.27547851,0.00081043,0.23811904,0.65088142
0.20385282,0.0,0.18897129,0.52785843
0.13157304,0.0,0.1300613,0.39348376
0.02807325,0.0,0.0622759,0.25427709
1.56e-5,0.0,0.00174497,0.16759014
-0.0,0.0,0.0,0.08082064
-0.0,0.0,0.0,0.00182012
-0.0,0.0,0.0,8.1e-7
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.00018126
-0.0,0.0,0.0,0.01566151
-0.0,0.0,6.6e-7,0.12558469
0.00090454,0.0,0.0093691,0.19297019
0.02645377,0.0,0.12270892,0.31244866
0.05920568,0.0,0.25484499,0.45052324
0.07786048,0.0,0.38904929,0.57245081
0.09660569,0.00085365,0.51600321,0.67664464
0.10978883,0.03272608,0.63234534,0.77057552
0.11844464,0.11319753,0.73321135,0.82188702
0.13732558,0.17989509,0.76281321,0.8231619
0.17639757,0.1478863,0.76533501,0.7660578
0.16956859,0.05741742,0.71196054,0.62168172
0.11550901,0.00105978,0.6121891,0.46917793
0.07865319,0.0,0.47319646,0.33596775
0.02579812,0.0,0.31190692,0.22123975
0.00499314,0.0,0.14791282,0.13162934
1.95e-6,0.0,0.00378243,0.07116929
-0.0,0.0,0.0,0.02899313
-0.0,0.0,0.0,0.00159256
-0.0,0.0,0.0,1.54e-6
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.00019839
-0.0,0.0,0.0,0.01035323
-0.0,0.0,4.15e-6,0.0660905
0.00027811,0.0,0.01914566,0.12871654
0.0189537,0.0,0.18110512,0.21372283
0.06443664,0.0,0.34840049,0.33236023
0.13294062,0.0,0.50232796,0.49226787
0.18656404,0.0010304,0.63972512,0.61912014
0.26244626,0.04236034,0.74576094,0.74133514
0.28259309,0.09685773,0.81160781,0.78247713
0.28139614,0.10001766,0.81803161,0.80671818
0.32819304,0.06503028,0.77882899,0.7951203
0.29075402,0.02669815,0.69567192,0.7258289
0.24005018,0.00087183,0.56532387,0.61701669
0.15437148,0.0,0.42621876,0.49588851
0.09554072,0.0,0.26847249,0.37029779
0.01596658,0.0,0.12455559,0.2482094
2.9e-7,0.0,0.00453713,0.16724261
-0.0,0.0,0.0,0.09041827
-0.0,0.0,0.0,0.00283146
-0.0,0.0,0.0,3.77e-6
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.00031553
-0.0,0.0,0.0,0.01970498
-0.0,0.0,1.228e-5,0.12240916
0.00041926,0.0,0.01832548,0.17970841
0.05131831,0.0,0.14677955,0.29808148
0.14840107,0.0,0.29124947,0.43951851
0.23090688,0.0,0.4315199,0.53487854
0.30085108,0.0005534,0.55755031,0.65100587
0.33945594,0.00954488,0.65550459,0.67029745
0.40032121,0.02428307,0.69813412,0.66769112
0.38015564,0.03136522,0.69467825,0.69918439
0.38135779,0.02155047,0.69793135,0.70014382
0.3423011,0.01133143,0.65017427,0.6307185
0.28879237,0.00055713,0.56348389,0.52314424
0.25058671,0.0,0.43942712,0.41748412
0.15356292,0.0,0.27873088,0.33130289
0.01609227,0.0,0.12708723,0.21326086
2.0e-8,0.0,0.00564427,0.13582725
-0.0,0.0,0.0,0.08449777
-0.0,0.0,0.0,0.00327104
-0.0,0.0,0.0,6.23e-6
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.00036796
-0.0,0.0,0.0,0.0210496
-0.0,0.0,3.362e-5,0.12847575
0.00058728,0.0,0.0337514,0.19345737
0.06782892,0.0,0.19587374,0.31026651
0.17047614,0.0,0.36176636,0.45213366
0.26648125,0.0,0.52267188,0.58278943
0.35687257,0.00089247,0.65818695,0.69718447
0.37481265,0.02068582,0.76050322,0.78248667
0.31720447,0.03888848,0.82472191,0.83467283
0.30721402,0.04880222,0.84046813,0.84698264
0.25380618,0.0339831,0.80963915,0.81957041
0.22329053,0.01498492,0.7366681,0.7547448
0.19930961,0.00089212,0.62508287,0.65623135
0.1378039,0.0,0.48259714,0.53266769
0.07792221,0.0,0.32000451,0.39053886
0.00810032,0.0,0.15797939,0.25063269
-0.0,0.0,0.00773212,0.16303535
-0.0,0.0,0.0,0.07885295
-0.0,0.0,0.0,0.00291384
-0.0,0.0,0.0,1.112e-5
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,1.0e-8
-0.0,0.0,0.0,0.00049196
-0.0,0.0,0.0,0.02305028
-0.0,0.0,7.351e-5,0.11420286
0.00032099,0.0,0.0427897,0.17659034
0.01935464,0.0,0.20433798,0.28175805
0.04686285,0.0,0.37132447,0.39730692
0.05642191,0.0,0.5324133,0.4972318
0.07996666,0.00082437,0.66869821,0.60377341
0.08960812,0.01579485,0.77124395,0.69039274
0.10476072,0.04388173,0.83388453,0.74553435
0.11012575,0.03892841,0.85009038,0.77125405
0.09993567,0.05004016,0.81898618,0.75184792
0.09103721,0.02875655,0.74072853,0.69391281
0.10450217,0.00103223,0.60759842,0.60573321
0.09166271,0.0,0.45237076,0.4947335
0.05050506,0.0,0.28749316,0.33398648
0.0061857,0.0,0.13291428,0.1900316
-0.0,0.0,0.00811151,0.10570403
-0.0,0.0,0.0,0.05731559
-0.0,0.0,0.0,0.00412063
-0.0,0.0,0.0,1.775e-5
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
0.0,0.0,0.0,9.0e-8
0.0,0.0,0.0,0.00046242
0.0,0.0,0.0,0.01467339
0.0,0.0,0.000132,0.07731122
0.00021041,0.0,0.04699584,0.13867092
0.07351929,0.0,0.18750514,0.2546172
0.22416518,0.0,0.33666933,0.39368542
0.30982575,0.0,0.48630692,0.54179487
0.40746366,0.00121899,0.60955803,0.65813929
0.45685079,0.0241817,0.71723605,0.7603103
0.50080952,0.06035275,0.76155908,0.81208311
0.48555954,0.0671851,0.78388738,0.83494015
0.44089729,0.05116738,0.75860388,0.81623328
0.36464597,0.02490276,0.66182491,0.75545089
0.28409583,0.00126429,0.53439866,0.66193003
0.2141295,0.0,0.405621,0.54001982
0.11979661,0.0,0.27147149,0.40276799
0.00613782,0.0,0.13679481,0.26372103
0.0,0.0,0.00989407,0.17601676
0.0,0.0,1.0e-8,0.10297492
0.0,0.0,0.0,0.00518146
0.0,0.0,0.0,1.766e-5
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
