x1,x2,x3,x4
-0.0,0.0,0.0,4.036e-5
-0.0,0.0,0.0,0.00018789
-0.0,0.0,0.0,0.00105375
-0.0,0.0,3.48e-6,0.01145709
0.00019849,0.0,0.00053484,0.09297938
0.01146254,0.0,0.01557204,0.15350455
0.06282193,0.0,0.06382142,0.24391988
0.11712576,0.0,0.12215089,0.33164694
0.18919786,0.0,0.18945026,0.43361261
0.24878721,0.00071761,0.26556173,0.50681954
0.3007879,0.03601351,0.34407633,0.57790202
0.35507984,0.08725451,0.39221799,0.6201305
0.39259572,0.0965041,0.43156821,0.65311345
0.38347072,0.09417491,0.4278644,0.65215781
0.32828852,0.04153068,0.37736568,0.58926818
0.25110007,0.00171782,0.31896368,0.50297358
0.19042105,0.0,0.24712384,0.40322572
0.11465337,0.0,0.1591712,0.28014711
0.02104811,0.0,0.0715622,0.15833075
1.086e-5,0.0,0.00133195,0.08521868
-0.0,0.0,0.0,0.03502656
-0.0,0.0,0.0,0.00238175
-0.0,0.0,0.0,0.00017293
-0.0,0.0,0.0,5.33e-5
-0.0,0.0,0.0,0.00013819
-0.0,0.0,0.0,0.00067683
-0.0,0.0,0.0,0.00161691
-0.0,0.0,8.97e-6,0.01462018
7.221e-5,0.0,0.00118668,0.04909173
0.0050595,0.0,0.03215384,0.09534686
0.04531563,0.0,0.16356818,0.16345721
0.09600491,0.0,0.26615033,0.26624987
0.15954415,0.0,0.37494369,0.34881199
0.20083879,0.00106562,0.4739701,0.39216009
0.23632203,0.07401953,0.54154163,0.37637695
0.24713015,0.20881005,0.60170185,0.36470642
0.21338463,0.24175398,0.64158028,0.38224669
0.18650139,0.20902754,0.62599772,0.39680789
0.18942379,0.0905599,0.58956337,0.43752125
0.16432289,0.00305966,0.5036183,0.38932336
0.1191727,0.0,0.40011912,0.34432513
0.07560151,0.0,0.26704346,0.2668344
0.00944254,0.0,0.12728741,0.19891157
2.49e-6,0.0,0.00251062,0.12466852
-0.0,0.0,0.0,0.06976086
-0.0,0.0,0.0,0.00465879
-0.0,0.0,0.0,0.00031712
-0.0,0.0,0.0,9.201e-5
-0.0,0.0,0.0,0.00027013
-0.0,0.0,0.0,0.0018753
-0.0,0.0,0.0,0.00863658
-0.0,0.0,9.23e-6,0.02775039
2.869e-5,0.0,0.00071693,0.10539534
0.00439612,0.0,0.03158722,0.15727267
0.07009917,0.0,0.17636006,0.25943017
0.14115002,0.0,0.31400642,0.35471711
0.22442676,0.0,0.47124252,0.4838882
0.31915656,0.00065867,0.60579764,0.59253167
0.36851325,0.03914707,0.69522288,0.67356302
0.37744544,0.12969994,0.7582971,0.70986563
0.35318364,0.17385957,0.76781128,0.72201878
0.33249805,0.14007209,0.73022301,0.67202531
0.25061691,0.04029676,0.67789354,0.63242643
0.16031699,0.00092706,0.57230436,0.56422516
0.12853246,0.0,0.44048675,0.47163588
0.06608931,0.0,0.29731729,0.36019209
0.00784275,0.0,0.15417368,0.25579397
5.1e-7,0.0,0.00396854,0.18715627
-0.0,0.0,0.0,0.10455537
-0.0,0.0,0.0,0.00646244
-0.0,0.0,0.0,0.00046629
-0.0,0.0,0.0,0.00012489
-0.0,0.0,0.0,0.00033387
-0.0,0.0,0.0,0.00149451
-0.0,0.0,0.0,0.00370281
-0.0,0.0,1.077e-5,0.02112963
9.86e-6,0.0,0.00090217,0.09844631
0.00118757,0.0,0.04513248,0.16216682
0.06505011,0.0,0.22449134,0.24363025
0.1323111,0.0,0.38251299,0.35990634
0.2092597,0.0,0.53178524,0.46479148
0.28125103,0.00051429,0.66401731,0.55907561
0.32029771,0.00948755,0.76585204,0.65051967
0.33404804,0.02442785,0.83170568,0.67606185
0.30617435,0.03521919,0.85060999,0.68096061
0.2703235,0.02578267,0.82212729,0.67125296
0.24060578,0.01404169,0.74797632,0.64194111
0.16393104,0.00122629,0.63733804,0.56390481
0.11043639,2.0e-8,0.49436563,0.46612443
0.05509287,0.0,0.33503117,0.3581743
0.0067202,0.0,0.17130775,0.24899471
4.0e-8,0.0,0.00527875,0.18222901
-0.0,0.0,0.0,0.10573447
-0.0,0.0,0.0,0.00464837
-0.0,0.0,0.0,0.00026364
-0.0,0.0,0.0,6.371e-5
-0.0,0.0,0.0,0.00014545
-0.0,0.0,0.0,0.00130009
-0.0,0.0,0.0,0.01264752
-0.0,0.0,3.71e-5,0.04658466
1.294e-5,0.0,0.00453826,0.15453161
0.00147602,0.0,0.06079388,0.22018691
0.04819413,0.0,0.2223161,0.3274627
0.10353516,0.0,0.33569441,0.46712203
0.16065817,0.0,0.47609091,0.60146334
0.23276426,0.00105518,0.58900901,0.70313117
0.28289315,0.03587785,0.66673158,0.7948922
0.32101882,0.1054213,0.70400177,0.8283545
0.32334044,0.10389866,0.70355687,0.83062632
0.27840254,0.09258966,0.674011,0.7824698
0.20140676,0.04714651,0.59656949,0.70447927
0.14489355,0.00330303,0.4891536,0.62000175
0.08816427,1.6e-7,0.36840571,0.49484199
0.04603307,0.0,0.22726515,0.3540529
0.00268818,0.0,0.10930873,0.23542074
-0.0,0.0,0.00533048,0.1547375
-0.0,0.0,0.0,0.0852957
-0.0,0.0,0.0,0.00509949
-0.0,0.0,0.0,0.00044352
-0.0,0.0,0.0,0.00015949
-0.0,0.0,0.0,0.00034414
-0.0,0.0,0.0,0.00215552
-0.0,0.0,0.0,0.00763613
-0.0,0.0,5.963e-5,0.02319895
1.828e-5,0.0,0.00580779,0.11655088
0.0021445,0.0,0.07046548,0.17684178
0.05710445,0.0,0.22275377,0.28779259
0.164338,0.0,0.37997008,0.402526
0.23754373,0.0,0.52207102,0.52442857
0.28950084,0.00093564,0.63142758,0.63067631
0.32702803,0.04086094,0.72114599,0.70095609
0.34301143,0.12324719,0.78358868,0.71510664
0.32831206,0.15378273,0.80231925,0.70937118
0.33062215,0.12889768,0.76441856,0.70471152
0.30496924,0.06203165,0.70029515,0.661709
0.25214122,0.00332173,0.60121697,0.58079234
0.16448499,3.0e-7,0.46636455,0.46205316
