x1,x2,x3,x4
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.00024667
-0.0,0.0,0.0,0.00718313
-0.0,0.0,0.0,0.04514379
1.593e-5,0.0,0.00091002,0.11426268
0.00598815,0.0,0.05709187,0.17095039
0.03992625,0.0,0.15641081,0.26511076
0.08822332,0.0,0.23390319,0.30729736
0.14318392,0.00017423,0.34474283,0.37631917
0.18809603,0.02610824,0.45086008,0.42887983
0.20508283,0.07655241,0.55343027,0.47244282
0.18915231,0.10846098,0.57355184,0.50728236
0.20442989,0.11851441,0.65335997,0.48896222
0.20511834,0.08872054,0.63176567,0.46974742
0.21853116,0.03709029,0.53740003,0.41673733
0.17501561,0.00132819,0.42185162,0.36740159
0.14614327,0.0,0.32329037,0.29249249
0.08338874,0.0,0.19304728,0.21870653
0.00355522,0.0,0.06335632,0.13056316
-0.0,0.0,0.00019094,0.08185379
-0.0,0.0,0.0,0.03341751
-0.0,0.0,0.0,0.00181923
-0.0,0.0,0.0,3.81e-6
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,1.1e-7
-0.0,0.0,0.0,0.0004061
-0.0,0.0,0.0,0.01088681
-0.0,0.0,0.0,0.05858251
4.7e-6,0.0,0.00153066,0.12326437
0.00454095,0.0,0.08037166,0.17999891
0.04239148,0.0,0.22626819,0.28015159
0.07450284,0.0,0.35773362,0.41920194
0.14654993,0.00015546,0.48796967,0.51770999
0.22467994,0.01910518,0.60772038,0.59536934
0.2915783,0.05459692,0.67782433,0.59274535
0.30633158,0.10083984,0.72000217,0.58922601
0.25825531,0.12432288,0.72665125,0.52643864
0.20971071,0.10186722,0.68683495,0.43824626
0.1736085,0.03720682,0.59457109,0.44092317
0.14834548,0.00175622,0.48781621,0.33250186
0.09701668,0.0,0.36227706,0.28687539
0.06188905,0.0,0.22418673,0.22594642
0.00208258,0.0,0.08792433,0.15745978
-0.0,0.0,0.00035563,0.11837132
-0.0,0.0,0.0,0.06331999
-0.0,0.0,0.0,0.00404457
-0.0,0.0,0.0,3.084e-5
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,8.4e-7
-0.0,0.0,0.0,0.00085571
-0.0,0.0,0.0,0.01934775
-0.0,0.0,0.0,0.07161827
4.38e-6,0.0,0.00181008,0.15036703
0.00451295,0.0,0.07907826,0.21307598
0.06131548,0.0,0.2312629,0.31644192
0.14101844,0.0,0.36527032,0.39024607
0.23236935,9.666e-5,0.48734191,0.50053536
0.28233716,0.00894079,0.58986032,0.60496558
0.30033591,0.05547096,0.6745479,0.66723993
0.3257603,0.11525779,0.71545632,0.69752376
0.3770942,0.12606277,0.70578096,0.63291511
0.35889486,0.07845403,0.6566067,0.59421992
0.28240123,0.01173829,0.61019372,0.53398309
0.19172869,0.00025806,0.49731876,0.48055254
0.12777614,0.0,0.34960228,0.401787
0.0660021,0.0,0.20564864,0.33068781
0.00232302,0.0,0.08550516,0.23463489
-0.0,0.0,0.00057405,0.17317373
-0.0,0.0,0.0,0.08741509
-0.0,0.0,0.0,0.00582154
-0.0,0.0,0.0,7.207e-5
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,2.76e-6
-0.0,0.0,0.0,0.0007627
-0.0,0.0,0.0,0.0075655
-0.0,0.0,0.0,0.04445612
2.96e-6,0.0,0.00208142,0.11961457
0.00689849,0.0,0.08856133,0.18098491
0.10481124,0.0,0.24466285,0.25435776
0.19933136,0.0,0.43743815,0.31250937
0.31262258,0.00013028,0.57506279,0.42968131
0.39661817,0.00644584,0.71762288,0.51622484
0.41928357,0.0265324,0.81216092,0.63845884
0.41016996,0.05335142,0.87166805,0.6355084
0.39012529,0.0599794,0.86901942,0.56828965
0.35951009,0.0333697,0.82763838,0.60887552
0.31315116,0.01347088,0.73898809,0.58907504
0.24040108,0.00083229,0.61414772,0.53838711
0.14473509,0.0,0.45646758,0.40959342
0.07240375,0.0,0.28362939,0.28464071
0.00178615,0.0,0.11902021,0.18086648
-0.0,0.0,0.00091586,0.13789503
-0.0,0.0,0.0,0.0675893
-0.0,0.0,0.0,0.00533668
-0.0,0.0,0.0,0.00010718
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,7.69e-6
-0.0,0.0,0.0,0.00143056
-0.0,0.0,0.0,0.0234725
-0.0,0.0,7.0e-8,0.0832188
1.42e-6,0.0,0.00538469,0.17202222
0.00627285,0.0,0.12716783,0.25207423
0.08885216,0.0,0.27906927,0.38592283
